Percentage of total rainfall ocurring in 'heavy' rainfall events - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual       JF      MAM     JJAS      OND
         30.67    17.11    24.81    46.69    23.23
Timeseries in anomalies relative to 1970-1999 mean (% of total rainfall)
Year    Annual       JF      MAM     JJAS      OND
20th Century Model Run
1960     -9.71      NaN      NaN      NaN      NaN
1961     -0.05    -3.95    -3.72    -0.22    -2.15
1962      5.68     2.99    -7.63   -19.44    11.57
1963      2.10     6.42     5.84     1.54     1.50
1964     -3.59     6.02     5.01    32.31    -4.56
1965     -3.92     1.18    -7.03    10.15    -3.91
1966     -0.23    -2.33    -0.06    14.17     5.15
1967     -3.83    -1.92    -0.80    10.00    -5.83
1968     -2.35     0.14     7.85     4.89   -10.62
1969      3.87   -11.33    -4.88     4.19     4.50
1970     -7.92     4.30    -1.69     2.29   -11.41
1971      3.09   -11.80     1.02   -15.90     5.34
1972      0.56     2.89    -2.00    12.06     3.27
1973     -1.31     3.58    -2.94    -0.15     3.64
1974      1.73    -7.32     3.57   -14.83    -4.14
1975     -6.87     1.96    -0.84    -0.64   -12.80
1976     -1.42   -10.93    -0.72    -1.80    -2.45
1977    -10.22     1.43    -9.25     3.70   -15.38
1978      3.75   -11.30     6.53     2.40     3.86
1979      0.38     4.80   -11.44    -4.69     8.08
1980     -0.37     3.29    -2.71     4.21    -2.04
1981      0.68     4.89     7.10    15.55    -3.72
1982     -2.00    -9.95    -1.22   -11.63     1.20
1983     -8.21     3.64    -7.69    15.69   -15.61
1984     -4.18    -5.79   -10.97   -18.38     3.14
1985      2.49    -5.86     8.06    -8.93    -4.14
1986      0.39     4.58     4.34     3.84    -5.30
1987      4.56     0.38    -4.13     3.15    10.30
1988      1.59     4.30     1.39    -6.29     4.83
1989      0.70    -3.66     0.99    -1.50     2.22
1990      1.82     4.30    -5.88    24.23     7.02
1991     -3.27     0.90     3.23     1.56    -8.09
1992      5.37     7.14    12.90    16.52     1.76
1993     -1.25    10.44    -1.69    -0.44     0.96
1994      4.64    -2.38    -4.01   -15.36    12.01
1995      1.53     4.02     5.03   -15.05    -3.46
1996      3.33     2.71     3.95    22.91     9.72
1997      6.25    -4.33     3.78    -8.89    10.48
1998      0.46     4.62     4.93    -1.50    -3.99
1999      3.70    -0.83     0.36    -2.12     4.70
2000     -3.41     9.49   -10.72   -18.56     4.45
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      2.27     8.40    -7.00    -2.45    -1.08
2047      3.13     7.04     0.50    -3.35    -4.31
2048      1.13     9.83     4.23     0.42     3.64
2049      5.29    -3.48     3.04    29.07     6.73
2050     -3.22     5.84    -3.27     0.92    -8.74
2051      8.74    -1.00    -1.80    18.17     7.65
2052      7.06    11.44     9.91    -8.61     8.76
2053     10.32    -2.78     4.22    -1.71    17.93
2054      8.25     9.29    -6.51     2.68    14.81
2055      6.90    11.49     3.89   -16.43    -3.59
2056      5.54    13.66    11.69    -4.86     5.45
2057      8.66    -1.22    -8.16    -6.62    11.82
2058      7.41    12.11    20.54    11.95    -4.98
2059      6.78     1.22    -0.40   -20.91    14.95
2060      1.67    -1.98     8.02     6.38     2.98
2061      3.04    -8.15     3.90     0.80    -6.17
2062      7.93     7.00     6.28    -8.25     8.53
2063      1.17     1.47    10.72     8.57    -5.65
2064      4.50   -11.35     9.66    -0.19    -8.00
2065      9.75     7.85     7.90   -12.38    14.20
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      6.46     6.92    10.52    30.51     6.58
2082      5.35     5.94     4.77    15.76     6.44
2083      6.31     3.87    10.59    15.45    -1.15
2084     10.24     0.98    12.35    -1.53    14.65
2085      7.79     2.85    -2.87    12.21    13.05
2086      9.28     5.74     0.77    -2.62    10.33
2087      6.61    10.99     7.59    -3.28    16.14
2088     16.66   -12.15     1.04   -13.64    23.11
2089     10.51    14.26    12.68    -6.12     6.38
2090      6.17     7.00     3.22     4.27    11.25
2091     14.03     2.50    22.71     8.94    10.65
2092     14.05     1.78    18.78    10.49    16.09
2093     13.38    11.44    10.02    21.90    14.93
2094      9.25    14.93     5.00    13.52    12.82
2095      8.58     6.86    -5.51    -0.25    12.97
2096      9.40    13.64     4.40    13.50    16.18
2097      8.83     0.59     3.96    10.93     5.65
2098     11.35    12.27     2.65     9.59    24.85
2099      9.00    10.64    -4.67    16.15    14.28
2100      8.82     7.82    11.17    22.63     5.60
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      2.44     7.67    -6.73    -7.39    10.22
2047      6.59    -6.60    12.15   -19.51    -9.64
2048      3.79     7.25    -3.85    -9.71     3.51
2049      6.00     1.52     8.37    11.66     7.17
2050     10.80     3.34    18.14    -7.00     8.93
2051      5.72    11.16     2.09   -13.64    -1.31
2052      5.74    14.44     6.07    -2.81     7.46
2053      8.66     8.95     1.55    -3.73    11.11
2054      6.52     3.91     5.47    -5.76     9.08
2055      6.49     8.73     0.95   -10.35     0.94
2056      9.21    13.64    14.82     3.06    -1.70
2057      4.59    -4.91   -12.00   -10.87     7.92
2058      4.25     7.59     7.13     8.91    -2.99
2059      4.07     1.28    -2.54     9.11     0.87
2060     14.13    11.07    11.96    -3.29    10.30
2061      6.31    16.22     6.57     0.28    13.60
2062      5.94   -10.83    11.86   -14.57     8.39
2063      3.94    -7.31   -12.35    -1.20     3.29
2064      7.53     9.01     5.27    19.22     7.41
2065      1.58     4.46     5.70    14.99    -4.43
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     13.10     7.18     2.35    12.23    22.79
2082      9.31     6.15     3.71    -1.48    17.79
2083      9.81     9.72    10.75   -15.05    14.03
2084     12.49     5.82     9.96    20.57    11.15
2085      2.75    13.67    -9.23     5.95    -0.57
2086      4.86     0.40     2.56    -8.68     8.71
2087      0.69     7.99     5.12   -17.23    -4.79
2088     12.80     3.79    19.77    15.23     9.79
2089     11.81     3.29    16.09   -11.62    19.31
2090     13.75     4.60    14.97   -29.67    18.40
2091      7.55     9.67    -1.33   -11.04    18.84
2092      2.31    -4.11     4.00   -16.50     5.01
2093      9.86     1.24    -9.31   -15.15    10.61
2094      4.89     8.09     6.24    15.39    -2.52
2095      4.50    -1.69     3.19    15.52    -9.23
2096     10.90     8.05     3.23   -15.38    17.24
2097      3.30     6.17    10.76     8.61    -5.64
2098      0.58    -3.60     3.22   -14.20    -9.02
2099      8.15     1.05     6.66   -24.86    11.82
2100      8.94     9.09     8.80     9.18    11.61
Projections under SRES B1 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      3.70    13.94    -1.86   -12.18    10.85
2047      8.08    -2.40     0.73     2.97     2.98
2048      9.89     9.98     1.62    13.10     5.86
2049      5.86    19.23     5.57   -15.64     7.41
2050      2.88     5.92     7.88    20.55     2.23
2051      2.11    -4.02    -0.64   -12.92     1.35
2052     -3.59    -4.23    -9.73    24.52    -3.79
2053      6.48     8.78     7.66    12.87     0.30
2054     -0.18     2.70    -0.86   -20.17    -0.98
