Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual       JF      MAM     JJAS      OND
         43.48    31.30    21.72     7.70    27.47
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual       JF      MAM     JJAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     -4.49    -1.55    -5.10     2.42    -3.64
1962     -7.41     3.65     2.37    -2.82    -6.88
1963     16.52    -1.39     2.78    -2.41    21.49
1964     12.82     5.26    -5.79    -1.28     6.24
1965     16.85    15.83    13.31    -2.65     5.43
1966     -9.82     7.75    -1.30    -3.61    -0.48
1967     -9.01    -9.91    -2.80     4.96    -3.86
1968     11.34    -3.07    -5.34    -0.75    -5.62
1969     -6.63    16.06    -2.63    -1.05   -10.75
1970     -5.51     1.34    -2.82    -1.53     2.82
1971    -18.26    -5.65     0.50    -1.80   -10.87
1972      4.96   -15.23    -6.70     5.01    -0.87
1973     -7.20     4.98     5.88     5.35    -0.40
1974      8.26    -7.68     0.76    -1.23     1.72
1975     -3.84    12.81    -4.15    -2.29    -5.06
1976     -0.77     4.97    10.29    -2.77    -8.55
1977      7.06     0.45     1.38     2.79     7.52
1978     22.49     2.65    30.23    -2.92     2.20
1979     -5.50     1.94    -0.25    -1.18     4.53
1980     -8.49    -8.36     3.78     1.53    -0.21
1981     -8.31    -9.90     3.54     2.14    -4.70
1982      2.01    -5.18     2.43    -0.08    11.34
1983    -11.59    -7.43    -2.53    -2.15    -8.02
1984      4.81    -9.54    -4.10    -1.31   -10.35
1985      6.62    14.80    -5.16    -0.06     8.71
1986    -10.36    -2.37    -4.37     0.00    -3.60
1987     -1.13    -8.59    -3.28     3.30     5.36
1988      4.69     1.56     0.63    12.13     0.05
1989      1.69     9.64     5.83     2.20    -0.43
1990     -5.09    -5.62     0.07    -0.62    -2.89
1991     -5.94    -1.01    -2.04     1.35    -3.43
1992     -2.34     2.26    -2.77    -3.46    -0.57
1993      0.33    -2.31    -4.59    -3.54     5.78
1994     -1.08     3.52     1.48    -2.85    -3.49
1995     10.16     6.37    -3.72     1.70     6.74
1996     19.28    10.43    -5.13     0.28    28.69
1997     -9.07     0.32    -4.80    -4.34    -9.87
1998      7.19    -0.11    -6.31    -3.94     2.52
1999      4.92    10.97    -4.06    -1.71   -14.67
2000     -8.26    13.58    -1.18    -1.90     5.12
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     -2.90    14.67    -0.09    -0.96     2.68
2047     14.44    -0.76     0.57    -2.11     8.14
2048      1.87    16.20    -4.04     1.49     9.25
2049     -8.37    -6.89    -3.51    -3.43    -7.95
2050      9.29    -0.70    -6.64    -0.05    11.62
2051     11.35    10.49     7.33    -0.97    10.82
2052     -6.01    11.20    10.83    -1.69    -7.34
2053      2.01   -14.80    18.73    -0.70    -5.98
2054     13.17   -13.80     3.64    -0.07     6.84
2055      4.17    18.17    -0.06    -1.30    11.32
2056     10.31    -3.82    -2.71    11.34    12.36
2057    -10.86     9.74    -1.19    -2.56   -13.23
2058     -8.35    -2.87    -2.60     0.27     1.95
2059     -8.21   -12.46     1.86     0.41    -7.58
2060     -7.35    -1.23     0.78    -1.61   -12.27
2061     11.97    -0.85    -2.76     0.35     8.59
2062      4.24     8.83    18.62     1.96    -0.40
2063     -6.59    -8.44    -2.30    -3.42     1.46
2064     -1.37    -3.47     6.50    -0.34    -2.69
2065     -9.00     1.49    -2.50    -1.71     3.97
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
