Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual       JF      MAM     JJAS      OND
          9.99     9.99     9.98     9.98     9.97
Timeseries (% days occurring)
Year    Annual       JF      MAM     JJAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     15.63    15.88     8.05    19.12    20.20
1962     12.90    18.17     8.89    15.28     9.74
1963      8.73    17.03     4.34     9.58     5.87
1964      8.69     6.97    12.45     8.53     8.74
1965      9.11     5.91     9.73     4.65    14.79
1966     20.81    20.79    20.12    28.02    20.07
1967     19.44    19.31    17.43    26.91    14.52
1968     13.99    13.98    11.50    20.70     6.36
1969      4.92     6.01     4.19     4.03     6.13
1970      8.86     7.55     9.48     4.84    12.20
1971     16.67    17.49    14.14    20.08    19.89
1972     16.08    19.42     9.63    23.40    10.38
1973     11.17     8.34     9.10    11.31    11.73
1974     12.88     9.83     8.03    17.61    11.60
1975      9.54     9.28    10.91     7.92    13.29
1976      9.86     6.82    20.09     8.15     2.74
1977     12.75     9.97     8.57    13.79     8.11
1978      8.27    11.91    13.06     7.53    11.25
1979     13.51    15.98     9.14    16.14    14.54
1980     11.93    10.74    12.65    12.13    11.92
1981      9.28     8.63     8.62     9.68     7.97
1982     13.14     9.91     9.21    10.89    20.19
1983     13.18    20.12    13.07    13.51    12.57
1984     11.09     4.32     7.47    12.73    13.74
1985     15.54    24.34    11.89    18.13    14.97
1986      8.87     8.57     7.94     8.27     2.91
1987      3.41     4.01     3.84     1.08     8.80
1988     12.91     5.76    15.36    15.82     5.39
1989      9.33     8.15    19.33     5.70     8.96
1990      6.00     3.49     2.63     6.10     2.56
1991      3.65     2.79     2.67     1.41    12.26
1992     18.63    27.67    19.19    18.96    21.40
1993     13.97    14.32    17.38    12.59     9.10
1994      6.65     5.82     8.40     5.43     0.90
1995      4.20     2.98     2.68     4.17     5.23
1996      5.73     4.11     8.73     6.06     4.73
