Frequency of Hot Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual       JF      MAM     JJAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     16.54    26.72    24.52    15.67     9.43
1962      9.04    10.31    12.41    15.33    12.21
1963     10.08     7.85    15.31    13.75    11.58
1964     10.84    11.93    14.12    13.65     9.30
1965     10.78     8.79    12.76    16.82    12.93
1966      8.50     5.16    11.11    13.67     6.87
1967     10.89     8.19    12.10    13.76    11.82
1968     10.42    14.33     9.84    12.18    12.22
1969     14.34    14.95    18.91    16.26    14.92
1970     12.23    13.47    18.80    13.76    18.90
1971      9.07    20.90    20.60    11.58     7.93
1972      9.44    12.50    11.09     9.07    13.03
1973     13.17     8.47    21.98    14.77    14.47
1974     13.34    10.97    15.51    16.52    16.86
1975     16.33    34.18    39.52    12.16    17.31
1976     12.57    11.78    17.61    14.09    15.29
1977     10.11    22.26    11.44    14.73    11.59
1978     12.74    13.54    15.80    14.94    13.78
1979     14.98    14.23    17.15    16.43    11.01
1980     24.12    39.81    43.12    14.69    22.94
1981     16.27    33.45    20.67    19.67    19.60
1982     12.83    22.32    16.90    13.32    13.39
1983     12.79    33.41    19.22    16.27    13.37
1984     12.26    13.99    19.99    12.27    11.33
1985     13.81    16.14    15.33    11.93    15.67
1986     10.68    14.11    14.16    13.38    16.40
1987     15.60    27.30    23.34    15.61    17.55
1988     21.33    27.59    21.13    20.48    45.12
1989     20.46    45.37    25.90    19.74    17.98
1990     17.52    20.28    15.43    24.04    43.19
1991     30.67    45.13    61.25    20.38    14.78
1992     15.25    24.28    17.98    17.98    16.18
1993     18.42    13.84    14.88    21.11    35.48
1994     21.71    31.61    25.19    22.79    25.55
1995     23.63    30.45    30.63    17.66    50.53
1996     18.14    29.77    30.05    19.60    21.05
1997     20.69    23.08    39.90    29.40    25.93
1998     19.72    34.82    32.36    18.64    16.28
1999     22.38    32.94    28.90    20.02    32.47
2000     21.43    31.12    35.75    19.41    33.98
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     55.21    68.62    76.87    58.52    84.38
2047     59.71    83.92    71.62    71.88    88.46
2048     53.85    97.29    81.22    53.39    73.64
2049     56.41    83.97    74.97    57.41    72.04
2050     61.51    85.09    84.05    66.69    85.43
2051     54.72    89.56    74.63    58.34    76.23
2052     60.05    86.16    85.58    65.52    83.03
2053     66.80    95.96    89.98    67.58    89.99
2054     65.68    94.14    89.39    65.98    89.15
2055     64.52    95.58    86.61    66.49    88.16
2056     68.88    99.36    91.84    64.77    84.83
2057     65.81    95.35    79.92    78.16    91.74
2058     70.81    99.46    95.56    82.79    93.50
2059     64.38    99.46    87.26    68.00    90.31
2060     63.90    89.03    79.66    63.59    91.66
2061     72.26    99.99    91.08    78.83    92.21
2062     65.21    93.43    88.46    81.03    87.73
2063     73.44    97.39    96.11    83.18    96.09
2064     73.64    99.47    95.72    80.03    91.36
2065     70.15    94.66    83.04    78.22    94.90
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
