Frequency of Cold Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual       JF      MAM     JJAS      OND
          9.99    10.00     9.99     9.95     9.98
Timeseries (% days occurring)
Year    Annual       JF      MAM     JJAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     11.45    13.54     4.63     6.10    24.04
1962     21.33    22.86    19.78    35.29    21.13
1963     16.26    10.01    22.78    16.18    17.92
1964     12.84    14.38    14.58     3.54    21.12
1965     16.62    22.56    17.67    16.50    19.00
1966     18.01    27.97    17.72    20.08    16.78
1967     13.32     6.86    14.82    15.24    14.13
1968      8.96    15.21     8.38     9.44     6.02
1969      8.64    13.95     7.51     4.44    11.70
1970     11.83     8.44    11.37    13.36    15.70
1971     16.80    17.46    18.46    29.81    10.20
1972     10.09     8.44     9.26     8.53    10.74
1973      8.41     4.46    12.82     7.30     8.19
1974      9.41     9.76     4.61     9.21    13.28
1975      8.82    15.20     7.85     6.08    10.23
1976     10.53    16.26    12.00     6.53    10.51
1977     10.14     9.79     7.39    14.00     9.94
1978     10.08    12.67    11.85     7.07     9.39
1979     10.23     5.98     7.87    15.46     8.84
1980     11.83    23.52     7.02    10.76    10.32
1981      5.55     6.05     3.34     2.13     7.99
1982     10.07     6.02    11.79     8.85    11.49
1983     12.69    14.79    10.37    13.76    14.36
1984      9.84     6.52    12.49     5.08    15.67
1985     15.46    10.07    19.56    21.69    12.17
1986     11.03     8.38    15.08     7.41    10.95
1987      7.95     7.70     8.65     9.73     5.51
1988     10.96    12.53    14.40    12.24     4.59
1989      7.61     6.73     9.62     4.56     4.30
1990      7.32     8.45     4.33     6.09    11.19
1991     11.12     9.08    10.05    14.33     9.62
1992     11.37    10.23    12.29    14.26    11.49
1993      8.61    10.10     7.80     9.35     5.56
1994      8.82    10.54     8.40     3.93    10.37
1995      7.88     8.83     7.20     5.42     8.16
1996      8.63     7.18     7.49     3.49    14.08
1997      5.44     7.38     5.30     0.87     6.25
1998     11.82    10.08    14.78    10.70     9.01
1999      9.30     7.45     6.32    16.52     9.38
2000      6.77     4.18     9.71     9.47     5.90
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      4.14     5.62     2.11     3.56     5.38
2047      6.40     7.61     4.48     0.80    11.26
2048      6.49     5.28     6.41     9.49     5.71
2049      3.76     3.33     3.50     3.77     3.62
2050      5.66     5.60     6.67     4.48     5.06
2051      3.83     5.34     4.41     1.23     3.05
2052      2.80     4.16     1.31     0.51     4.87
2053      2.69     6.39     2.09     1.52     0.53
2054      3.21     4.35     2.58     3.43     2.21
2055      3.05     2.55     4.33     0.60     2.86
2056      3.69     6.25     3.53     2.67     3.67
2057      3.84     4.05     2.65     0.77     5.71
2058      3.40     6.11     4.12     1.31     1.66
2059      1.94     2.31     1.52     1.41     2.66
2060      3.43     3.19     4.28     0.88     3.66
2061      4.99     5.05     5.85     3.94     4.35
2062      2.61     4.31     2.65     0.28     3.82
2063      2.73     3.26     0.84     0.66     5.15
2064      3.62     3.94     1.93     1.70     6.29
2065      3.52     1.74     4.06     1.00     3.86
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      2.03     3.20     0.83     0.42     2.76
2082      1.05     0.86     0.58     0.24     2.14
2083      1.08     1.10     0.30     0.67     1.80
2084      1.12     2.17     1.60     0.09     1.67
2085      0.53     0.24     0.03     0.20     2.22
2086      0.67     0.19     0.46     0.19     0.60
2087      1.84     0.92     2.10     0.33     2.63
2088      1.00     0.83     0.58     0.01     0.89
2089      0.66     0.20     0.71     0.08     0.96
2090      1.29     0.20     0.67     2.69     1.68
2091      0.85     2.40     0.82     0.01     0.80
2092      0.53     0.18     0.44     1.79     0.07
2093      0.43     0.19     0.61     0.32     0.66
2094      1.42     1.33     0.74     0.41     0.97
2095      0.25     0.02     0.17     0.44     0.43
2096      0.32     0.20     0.07     0.51     0.20
2097      1.54     0.68     2.42     2.14     1.33
2098      1.48     4.26     1.35     0.62     0.24
2099      0.41     0.25     0.43     0.18     0.23
2100      0.70     0.33     0.79     0.40     0.94
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
