Frequency of Cold Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual       JF      MAM     JJAS      OND
          9.99    10.00    10.00    10.01     9.98
Timeseries (% days occurring)
Year    Annual       JF      MAM     JJAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     17.57    26.50    10.85    32.54     5.14
1962     13.71     7.40    11.49    22.80     5.91
1963     12.86    12.34     9.13    18.99    11.19
1964     10.34    11.37     7.11     8.31    15.05
1965      7.60     5.45     7.13     3.93    13.28
1966     16.39    19.71    21.99    25.06     5.82
1967     14.74    11.97    19.49    18.44     6.82
1968     12.93    10.49    11.37    10.77    23.65
1969      3.73     9.51     3.22     2.35     7.85
1970     12.89     6.79     8.52    15.75    11.15
1971     14.90    24.09    16.68    18.75     7.81
1972     14.43    13.24    10.83    20.56    11.36
1973      5.03     7.44     6.75     4.36     2.64
1974      9.44     7.43     6.69     5.34    13.82
1975      5.33    17.95     2.75     2.58    10.15
1976      8.03     6.78    15.76     2.13    12.24
1977      8.99     4.66    13.57     7.61     7.38
1978     13.14    15.47    18.42    11.85    11.39
1979     15.75     5.99    10.29    23.67    15.24
1980     12.16     5.92    12.24    16.42     5.01
1981      7.54     6.39     5.42     9.36     8.86
1982     10.20     6.50     7.83     8.28    13.11
1983      9.08     7.65    12.66     4.96    14.74
1984     13.30     8.62     9.96    14.50    20.50
1985     12.87    21.71     7.45    10.87    16.21
1986      9.09     8.61     6.78     6.00    12.51
1987      8.15    13.48     6.32     2.63    12.56
1988     10.07    13.85    12.11     9.30     3.88
1989      6.49     5.15    12.13     2.94     8.35
1990      9.78     3.40     4.59    17.58     5.78
1991      9.03     2.05    10.23     4.41    15.47
1992     22.18    31.71    24.67    31.26    17.38
1993     14.28    16.08    14.64    19.97     7.02
1994      3.69     7.27     3.52     2.10     5.35
1995      3.70     7.77     0.95     4.17     3.39
1996      8.71     8.46    11.11    10.15     4.44
1997      7.00     2.71     7.17     2.94    12.03
1998      8.71     9.50    14.93     5.33     3.07
1999      5.62     3.40     4.89     4.53     6.68
2000      5.98     1.73     1.06     2.47    16.73
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      3.59     1.84     3.81     2.48     3.61
2047      4.20     4.56     8.42     1.75     4.88
2048      1.21     2.13     0.00     0.86     2.02
2049      1.25     1.40     0.74     0.86     1.60
2050      1.44     2.97     0.26     1.96     0.68
2051      4.08     1.21     5.21     3.57     1.69
2052      5.02     1.78     7.91     6.14     1.91
2053      0.77     1.21     0.57     0.75     1.84
2054      1.31     1.25     1.61     0.64     1.98
2055      3.86     6.24     3.04     3.35     0.58
2056      2.31     3.78     1.03     3.59     0.54
2057      3.17     1.99     3.13     3.05     1.26
2058      2.17     0.37     2.44     1.55     1.64
2059      1.08     2.12     0.14     0.78     2.71
2060      1.40     6.91     0.84     2.40     0.81
2061      1.76     0.55     1.55     1.26     3.04
2062      2.06     3.82     1.48     2.04     2.26
2063      2.10     5.16     1.14     0.82     3.27
2064      2.03     2.08     0.31     0.99     2.02
2065      1.24     1.47     0.44     0.37     1.41
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      1.30     4.23     0.12     0.75     1.98
2082      0.30     1.54     0.01     0.21     0.41
2083      0.57     0.24     0.14     0.17     1.55
2084      1.11     1.38     2.27     2.33     0.47
2085      0.78     4.96     0.36     0.41     0.31
2086      0.65     2.26     0.00     0.19     1.45
2087      0.69     3.18     0.20     0.56     0.00
2088      0.43     0.30     0.41     0.26     0.47
2089      0.44     1.43     0.07     0.61     0.46
2090      0.90     0.44     0.16     0.33     2.22
2091      0.51     0.54     0.00     0.54     0.52
2092      0.10     0.12     0.07     0.08     0.78
2093      0.87     1.92     0.98     1.91     0.36
2094      0.28     2.06     0.09     0.48     0.28
2095      0.33     0.13     0.44     0.32     0.58
2096      0.81     0.97     0.40     0.01     1.41
2097      0.44     0.40     0.00     0.07     0.63
2098      1.27     1.60     0.70     0.92     0.29
2099      0.55     1.01     0.25     1.26     0.47
2100      0.46     0.01     0.51     0.70     0.69
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
