Frequency of Cold Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual       JF      MAM     JJAS      OND
          9.99     9.97     9.97    10.02    10.02
Timeseries (% days occurring)
Year    Annual       JF      MAM     JJAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     19.42    12.23    20.67    27.54    15.29
1962     13.04    17.38    17.20    13.24     6.19
1963     15.32     6.06     5.63    20.52    23.66
1964     15.30    25.08     9.55    15.12    12.47
1965     21.29    21.26    22.68    29.47    21.05
1966     17.86    25.74    14.87    22.06    16.06
1967      6.03     5.29     2.67     5.72     7.87
1968     12.20     6.32    10.67    20.11    18.97
1969     27.08    40.96    35.39    40.36    16.08
1970     14.79    11.89    11.16    16.02    16.59
1971     11.59    10.17    11.01    16.43    13.61
1972      9.99     2.65     2.91     9.63    10.72
1973     11.98    13.88    14.44    11.44     8.53
1974     11.14    15.36    11.61    10.77    13.53
1975     11.16    15.17    11.17     7.71    15.45
1976     16.53    22.07    28.02    15.24     8.39
1977      9.26     7.89     7.10     8.28    10.63
1978     19.25    15.63    36.54    22.43    14.28
1979      6.21     5.01     2.86     5.28     9.78
1980     11.78     9.92    21.30    10.19     8.49
1981      6.83     2.66     5.11     6.23     8.39
1982     15.04     7.45    10.78    16.16    19.88
1983      9.52    12.52    10.98    12.24     7.92
1984      9.90     5.88    13.48     6.35     8.88
1985     10.69    12.70     7.21     9.32    11.91
1986     10.56    14.37     5.45    12.39    11.88
1987      5.95     4.65     5.82     5.22     8.87
1988      8.16    10.64     7.42    10.28     6.45
1989     12.18    14.52    16.96    14.06     6.93
1990      4.37     5.20     5.03     3.55     2.54
1991      3.35     2.34     2.59     5.19     6.85
1992      9.62    11.31     8.19     8.99     7.54
1993      8.16     9.52     4.66     4.97    11.80
1994      9.65     3.72     7.64    12.78     6.91
1995      7.14     9.11     6.76     3.96    10.18
1996      9.96    15.96     5.75     6.44    18.62
1997      6.93    14.99     5.26     7.80     1.79
1998      6.88     3.05     2.19     5.55    10.17
1999     11.19     8.92     9.72    15.71     2.93
2000      6.12    10.11     5.42     4.83     8.40
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
