Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual       JF      MAM     JJAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     11.73    33.22    16.44     9.85    10.66
1962     12.33    23.30    13.20    11.09    14.07
1963     11.80    13.81    19.48    15.12    14.32
1964     13.32    26.60    19.86    10.14    12.78
1965     12.68    17.36    27.13    13.80    13.79
1966     10.18    13.76    19.02    15.28    11.85
1967     13.69    19.23    17.84    13.88    15.87
1968     10.84    16.94    13.05    13.90    12.59
1969     13.84    19.67    31.42    17.40    11.25
1970     14.04    20.37    17.82    12.84    18.49
1971     11.82    20.15    18.95    17.99    11.50
1972     11.39    21.60    36.07    11.83    12.56
1973     15.00    23.40    23.61    16.47    15.24
1974     16.96    22.99    12.68    16.16    25.22
1975     11.32    21.58    26.59    15.51    14.07
1976     13.21    22.74    15.18    19.22    17.83
1977     12.99    28.42    15.63    12.51    17.27
1978     12.46    26.02    23.27    14.36    14.74
1979     11.73    12.54    17.25    11.59    13.98
1980     14.90    26.64    26.83    14.94    22.20
1981     13.92    28.26    20.25    15.01    15.54
1982     17.40    28.98    24.38    16.04    14.48
1983     14.11    49.81    17.10    15.07    14.95
1984     12.34    16.69    27.77    15.87    12.31
1985     13.20    12.84    17.86    13.54    13.29
1986     12.71    12.58    16.30    13.05    18.41
1987     18.20    36.78    16.79    20.53    17.11
1988     13.67    14.34    19.34    20.00    18.02
1989     16.57    30.28    35.44    23.12    16.03
1990     16.97    23.79    31.12    22.30    27.47
1991     16.40    45.63    29.75    14.61    15.17
1992     12.53    21.43    14.47    14.07    13.03
1993     16.53    12.79    30.15    18.07    18.60
1994     15.84    29.64    29.52    21.29    18.89
1995     21.43    20.81    25.07    17.41    45.62
1996     13.33    16.40    23.25    17.49    19.74
1997     18.34    24.50    42.08    27.98    26.89
1998     17.76    31.47    37.90    24.06    17.50
1999     17.55    33.94    34.41    17.11    17.92
2000     16.60    38.73    26.52    19.71    20.56
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     32.37    47.29    55.68    34.79    39.28
2047     31.50    44.23    50.32    47.62    40.01
2048     36.32    45.38    58.85    54.64    53.03
2049     37.75    64.05    55.88    49.51    40.26
2050     33.74    57.12    57.54    47.70    49.38
2051     35.66    56.44    47.95    43.65    58.02
2052     38.91    52.43    60.48    48.35    51.24
2053     36.42    80.16    55.26    51.12    57.09
2054     36.74    74.70    61.33    53.74    54.16
2055     38.74    58.88    62.44    60.99    54.22
2056     40.57    77.09    76.46    49.17    44.33
2057     42.96    61.54    56.79    63.23    61.64
2058     41.43    75.08    78.43    50.23    59.83
2059     37.51    72.24    57.58    54.13    53.29
2060     39.87    63.66    65.01    49.32    62.51
2061     52.71    84.45    84.82    66.24    57.20
2062     41.15    55.93    59.02    59.80    54.01
2063     43.35    55.20    70.60    58.11    61.91
2064     48.10    82.14    74.26    73.38    58.59
2065     43.01    68.25    63.36    67.37    66.99
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
