Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual      JF     MAM    JJAS     OND
        21.15   21.27   21.43   19.89   22.48
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual      JF     MAM    JJAS     OND
20th Century Model Run
 1960   -0.95   -0.85   -1.02   -0.73   -1.23
 1961   -0.89   -1.32   -0.82   -0.73   -0.88
 1962   -1.29   -1.14   -1.17   -1.44   -1.30
 1963   -0.62   -0.59   -0.10   -0.82   -0.87
 1964   -1.35   -1.10   -1.59   -1.42   -1.18
 1965   -0.86   -0.83   -0.65   -1.04   -0.83
 1966   -0.21   -1.02   -0.22    0.44   -0.54
 1967   -0.44   -1.03   -0.47    0.04   -0.67
 1968    0.08    0.22    0.15    0.42   -0.52
 1969    0.34    0.46    1.05    0.13   -0.18
 1970   -0.44   -0.77   -0.35   -0.31   -0.49
 1971   -1.14   -0.85   -0.81   -0.95   -1.92
 1972   -0.85   -0.49   -0.99   -0.93   -0.85
 1973    0.01   -0.22   -0.26   -0.16    0.64
 1974   -0.44    0.70   -1.13   -0.74   -0.13
 1975    0.35   -0.51    0.76    0.52    0.28
 1976   -0.28   -0.02   -0.35   -0.45   -0.15
 1977   -0.72   -0.67   -0.52   -1.05   -0.53
 1978    0.26    0.47    0.78    0.20   -0.33
 1979   -0.46   -0.27   -0.47   -0.44   -0.59
 1980   -0.57   -0.77   -0.04   -0.62   -0.91
 1981   -0.24   -0.29   -0.56   -0.60    0.58
 1982    0.16    0.40    0.19    0.14   -0.01
 1983    0.09   -0.29    0.27    0.66   -0.60
 1984   -0.14   -0.52    0.07    0.68   -1.19
 1985   -0.14   -0.29   -0.25    0.07   -0.22
 1986    0.12   -0.79    0.22   -0.02    0.82
 1987   -0.12   -0.03    0.01    0.05   -0.52
 1988    0.38    0.10   -0.17    0.19    1.38
 1989    1.13    0.91    1.39    1.50    0.52
 1990    0.20    0.14    0.21    0.31    0.10
 1991    0.35    0.14    0.26    0.11    0.90
 1992    0.57    0.81    0.83    0.71   -0.03
 1993    0.02    0.27    0.05   -0.57    0.61
 1994    0.41    1.01    0.15    0.49    0.16
 1995    0.26    0.42    0.43    0.12    0.19
 1996    0.42    0.43    0.23    0.22    0.87
 1997    0.28    0.64   -0.18    0.40    0.36
 1998    0.37    0.33    0.09    0.56    0.42
 1999    0.17   -0.01    0.15   -0.08    0.63
 2000    0.07    1.31   -0.19    0.04   -0.46
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    0.07    0.26   -0.31   -0.04    0.46
 2002    0.42   -0.07    0.12    0.90    0.40
 2003   -0.19    0.53   -0.32    0.00   -0.80
 2004    0.32    0.15    0.03    0.47    0.54
 2005    1.04    0.89    0.57    1.41    1.11
 2006    0.41    0.21    0.69    0.51    0.13
 2007    0.63    0.41    0.28    0.90    0.78
 2008    0.42    0.30    0.77    0.52    0.00
 2009    0.35    0.15   -0.02    0.21    1.05
 2010    0.20    0.83    0.11   -0.23    0.44
 2011    0.27    0.68   -0.39    0.31    0.59
 2012    0.17    0.12   -0.16   -0.09    0.88
 2013    0.68    0.41    0.81    0.73    0.68
 2014    0.71    0.76    0.82    0.11    1.38
 2015    0.62    0.27    0.18    1.07    0.69
 2016    0.45    0.37    0.27   -0.01    1.28
 2017    0.38    0.48    0.26    0.29    0.56
 2018    0.48    0.15    0.58    0.72    0.28
 2019    0.99    0.38    0.91    1.01    1.43
 2020    0.63    0.47    0.51    0.61    0.89
 2021    0.57    0.65    0.90    0.46    0.32
 2022    0.95    1.08    1.14    1.38    0.08
 2023    0.73    0.99    0.34    0.36    1.43
 2024    1.01    0.90    1.02    0.98    1.10
 2025    0.31   -0.23    0.31    0.51    0.43
 2026    1.60    0.83    1.46    1.92    1.84
 2027    0.95    0.17    0.86    0.76    1.79
 2028    0.67    0.03    0.62    0.88    0.86
 2029    1.11    0.41    1.40    1.46    0.84
 2030    0.62    0.43    0.86    0.49    0.68
 2031    1.24    0.72    1.33    1.34    1.38
 2032    1.25    0.67    1.60    2.11    0.16
 2033    1.60    1.49    1.31    2.10    1.30
 2034    1.41    1.62    1.03    1.56    1.43
 2035    1.80    1.85    1.45    2.27    1.48
 2036    1.28    0.96    1.27    1.47    1.25
 2037    1.46    0.67    1.34    1.52    2.01
 2038    1.46    1.09    1.63    1.75    1.16
 2039    0.85    0.93    0.66    0.57    1.35
 2040    1.59    0.62    1.21    1.82    2.29
 2041    1.55    1.48    1.28    2.03    1.24
 2042    1.30    1.24    1.55    1.58    0.70
 2043    1.55    1.15    1.49    1.55    1.88
 2044    1.44    0.70    1.41    1.68    1.64
 2045    1.42    1.44    1.11    1.59    1.51
 2046    1.75    1.24    1.69    2.42    1.25
 2047    1.89    1.52    1.44    2.40    1.89
 2048    1.95    1.38    1.75    2.17    2.22
 2049    1.75    1.84    1.28    2.31    1.42
 2050    1.76    1.27    1.51    2.06    1.92
 2051    2.00    1.99    1.83    1.84    2.40
 2052    1.95    1.44    1.56    2.30    2.24
 2053    2.33    1.57    2.24    3.27    1.67
 2054    1.40    1.04    1.18    1.64    1.55
 2055    1.83    1.36    1.22    2.13    2.37
 2056    1.71    1.40    1.59    2.08    1.53
 2057    1.67    1.11    1.36    1.58    2.46
 2058    2.04    1.70    1.69    2.41    2.12
 2059    1.79    1.86    1.76    1.89    1.65
 2060    2.15    2.11    1.58    2.31    2.55
 2061    1.99    1.84    1.64    2.17    2.18
 2062    1.63    0.42    1.31    1.66    2.70
 2063    2.01    1.63    1.50    2.24    2.47
 2064    2.03    2.00    1.96    1.94    2.23
 2065    2.20    1.72    2.01    2.59    2.18
 2066    2.31    1.96    1.94    3.00    2.00
 2067    2.58    1.96    1.97    3.35    2.59
 2068    2.79    2.60    2.31    3.22    2.80
 2069    2.05    1.85    1.78    2.25    2.19
 2070    2.23    2.07    2.45    2.51    1.75
 2071    2.39    2.22    2.13    2.50    2.60
 2072    2.58    1.86    2.31    2.86    2.97
 2073    2.52    3.00    1.87    2.65    2.69
 2074    2.40    2.48    1.96    2.25    2.97
 2075    3.23    2.84    2.65    3.64    3.51
 2076    2.40    2.50    2.26    2.02    2.99
 2077    2.93    1.95    2.67    3.63    2.91
 2078    2.83    2.48    2.65    3.23    2.70
 2079    2.98    2.34    2.79    3.78    2.52
 2080    2.70    2.07    2.67    3.15    2.56
 2081    2.82    2.36    2.44    3.22    2.96
 2082    2.91    2.45    2.99    2.96    3.08
 2083    3.00    1.93    2.99    3.75    2.72
 2084    3.33    2.54    2.95    3.65    3.82
 2085    3.00    3.21    2.69    3.25    2.83
 2086    3.24    2.20    2.93    3.62    3.75
 2087    3.41    2.72    3.16    4.14    3.16
 2088    3.41    2.58    2.90    3.71    4.09
 2089    3.54    3.93    3.35    3.87    3.01
 2090    3.11    2.68    3.06    3.54    2.86
 2091    3.59    2.91    3.25    3.98    3.89
 2092    3.97    3.46    3.36    4.53    4.19
 2093    3.50    2.99    2.81    4.05    3.79
 2094    3.85    3.11    3.51    4.14    4.30
 2095    3.77    3.09    3.21    4.48    3.85
 2096    3.39    3.01    3.16    4.16    2.86
 2097    3.30    2.43    3.33    3.44    3.65
 2098    3.85    3.47    3.21    4.33    4.12
 2099    3.82    3.18    3.29    4.38    4.03
 2100    3.55    2.62    3.37    4.45    3.15
Projections under SRES A1B scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    0.05   -0.10   -0.05   -0.21    0.58
 2002    0.24   -0.02   -0.15   -0.11    1.29
 2003   -0.00   -0.11    0.09   -0.46    0.58
 2004    0.91    0.54    0.78    2.15   -0.38
 2005    0.47    0.64   -0.12    0.60    0.77
 2006    0.40    0.36    0.32    0.29    0.65
 2007    0.64    1.34    0.23    0.89    0.24
 2008    0.16    0.21   -0.00    0.47   -0.11
 2009    0.33   -0.06    0.15    0.04    1.13
 2010    0.49    0.78   -0.05    0.04    1.44
 2011    0.58    1.86   -0.02    0.74    0.10
 2012    0.64    0.42    0.48    0.13    1.62
 2013    1.23    0.83    0.90    1.11    1.99
 2014    0.75    0.72    0.45    0.58    1.28
 2015    0.87    0.73    0.74    0.76    1.25
 2016    0.52    0.42    0.26    0.45    0.94
 2017    0.45    0.67    0.37    0.71    0.02
 2018    0.61   -0.08    0.58    0.48    1.27
 2019    1.29    1.19    0.89    1.78    1.12
 2020    0.55    0.31    0.13    0.93    0.61
 2021    0.68    0.87    0.59    0.04    1.51
 2022    0.76    0.69    0.96    0.66    0.73
 2023    1.12    0.64    0.76    1.70    1.01
 2024    0.64    0.45    0.59    0.92    0.43
 2025    0.51   -0.25    0.60    0.62    0.80
 2026    0.63    0.62    0.58    0.87    0.35
 2027    1.35   -0.01    1.30    1.94    1.52
 2028    1.27    2.01    0.66    0.95    1.80
 2029    1.07    0.97    0.62    1.41    1.15
 2030    1.40    0.25    0.84    1.29    2.86
 2031    1.27    0.81    1.27    1.80    0.86
 2032    1.11    0.78    0.91    1.56    0.94
 2033    0.81    1.06    0.79    0.91    0.55
 2034    1.09    1.88    0.96    1.33    0.35
 2035    1.46    0.84    1.28    1.84    1.56
 2036    1.04    0.67    0.85    1.50    0.88
 2037    1.10    0.92    0.67    1.18    1.52
 2038    1.12    0.65    0.84    1.22    1.58
 2039    1.24    1.17    1.03    1.34    1.37
 2040    0.98    0.66    0.72    1.30    1.00
 2041    1.13    0.78    1.21    0.99    1.45
 2042    0.98    1.24    0.69    1.09    0.96
 2043    1.36    1.20    1.29    1.46    1.39
 2044    1.07    0.85    1.33    1.13    0.90
 2045    1.69    1.23    1.32    2.01    1.95
 2046    1.25    1.32    0.97    1.08    1.69
 2047    1.45    1.80    1.54    1.66    0.84
 2048    1.92    1.63    1.90    2.27    1.66
 2049    1.52    0.96    1.23    1.65    2.01
 2050    2.12    1.72    1.55    2.37    2.63
 2051    1.72    1.51    1.66    1.92    1.66
 2052    2.04    1.19    1.90    2.11    2.63
 2053    1.40    1.42    1.12    1.60    1.42
 2054    1.96    1.51    2.00    2.23    1.86
 2055    1.45    1.47    1.27    1.66    1.33
 2056    1.73    1.69    1.91    1.42    1.99
