Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual      JF     MAM    JJAS     OND
         98.7   195.1   115.2     6.8   140.5
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual      JF     MAM    JJAS     OND
20th Century Model Run
 1960    9.87   -6.52   12.49   81.15   18.27
 1961  -14.79  -15.29   -4.86    6.41  -23.84
 1962    8.65   13.65    2.71  -12.30   10.23
 1963   -3.05   19.33  -28.36  -20.67   -1.88
 1964    4.58   10.56    3.41   55.58   -3.30
 1965  -12.15  -21.65   -4.71   57.24  -13.93
 1966    4.46    5.97    2.96   21.56    3.17
 1967   -1.18  -17.09    6.93   36.23    4.47
 1968    2.14  -14.63   48.38    1.19  -20.18
 1969    4.31  -17.34   10.48   50.36   16.30
 1970    1.43   15.03    3.97  -17.85  -11.98
 1971    5.89   -8.90   17.65  -37.62   12.74
 1972   -1.43    0.34    0.15   23.87   -6.00
 1973   -5.07  -11.06  -33.14  -12.17   23.94
 1974   -9.03   -7.76   21.41   -2.66  -35.58
 1975   -2.68   13.00   -3.20   26.95  -18.69
 1976    1.53    2.11   10.54   21.54   -7.69
 1977  -11.52   -1.94  -15.54   -3.75  -17.58
 1978   -4.88  -13.83  -10.08  -24.59    8.92
 1979    0.11   10.34  -25.84  -22.20   13.36
 1980   -2.86   18.20  -15.58   -4.98  -11.78
 1981    8.61   29.98    9.57   17.05  -12.50
 1982   -6.81  -23.18   20.82   -7.82  -14.24
 1983   -7.24   -4.91   -0.53   30.49  -17.34
 1984    5.42  -24.70   19.35  -12.72   23.05
 1985   10.19   -0.17   16.33  -17.59   16.53
 1986    0.75    4.59    3.38   13.87   -5.82
 1987    8.40   -4.85   -2.79    2.19   30.24
 1988    3.99   -5.54  -23.18   -5.88   35.73
 1989  -11.67   -8.68  -15.31   -8.02  -11.68
 1990  -14.43   -0.56  -30.84   42.33  -17.49
 1991  -19.59  -16.67    0.42   -1.20  -39.86
 1992   18.93  -10.16   54.61   34.50   15.59
 1993   -7.47   -5.92  -11.20    6.05   -6.72
 1994   15.05    5.53   11.86  -15.19   28.43
 1995   -1.05    2.69  -17.78  -24.14   10.69
 1996   22.20   20.98   41.03   26.21    7.64
 1997    5.71   15.76   -1.78  -33.46    5.09
 1998    8.50   18.06  -12.07   -8.91   17.63
 1999  -10.98   -7.80  -12.24   15.72  -14.61
 2000   -0.45   30.44  -28.12  -29.46   -4.48
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   18.66   15.03    3.88   38.54   32.84
 2002   -1.74   -0.21    7.70   25.37  -12.65
 2003   15.95   14.15   14.69    7.97   19.17
 2004   -7.99  -12.31  -11.37   10.38   -2.43
 2005   29.48    9.86   26.90   34.70   49.43
 2006    4.14   13.24   15.22    6.65  -13.52
 2007   -0.62   -9.95    1.93    3.45    5.66
 2008    8.22   -1.26    1.92   19.85   21.41
 2009   13.64  -23.94   42.18   76.17   20.98
 2010   10.08    9.32  -10.98  -19.38   29.95
 2011  -15.97  -21.56  -18.17   -1.59   -9.93
 2012    4.80    1.84    4.91   10.96    7.05
 2013   -3.57    0.51  -18.72  -25.95    6.50
 2014   -4.77    9.01  -10.72   -1.87  -12.85
 2015   13.26   19.50    4.20   60.36   11.85
 2016   -8.64  -20.41    0.84    2.62   -6.26
 2017   10.20   13.08  -16.81  -15.86   31.37
 2018   17.48   -5.98   38.29   97.70   16.95
 2019    5.93    3.21   22.27  -13.11   -3.72
 2020  -17.61  -28.56  -30.98   -3.47    2.57
 2021   17.16   14.42   27.66   -3.47   12.42
 2022   -5.14   -2.41   11.18   70.26  -25.94
 2023  -10.89  -31.95   -0.96    6.92   -0.68
 2024   20.75   -7.47   44.24  141.32   19.80
 2025    3.61   22.90  -20.69   -3.57    6.13
 2026   24.22   50.55   37.63   34.23  -11.80
 2027   -3.31    2.94   -1.65   -7.03  -10.22
 2028   24.25   36.44   36.61   66.96    0.08
 2029   -2.37   -7.36  -21.38   -8.75   18.24
 2030    4.65   -7.37    3.13  -33.49   19.49
 2031    8.11   10.98   -6.56   20.19   16.71
 2032   -3.08    1.70   -0.67  -18.58   -8.49
 2033   -8.57   -5.50  -19.25  -11.29   -2.48
 2034    3.23   -0.94   -1.44   58.43    7.35
 2035    7.10    4.71   -1.14  -16.34   17.57
 2036   16.10    6.68    7.09   31.89   31.18
 2037   10.82   22.80    3.83   15.05    5.18
 2038   25.30   17.26   22.92   38.53   33.82
 2039    5.14    4.33   -4.15   32.88   11.71
 2040    6.58   19.17  -21.01  -31.44   20.01
 2041    5.65    3.65    3.58  -10.14   10.22
 2042   19.61    9.04   23.66   28.94   25.48
 2043   14.22   17.41    8.58  -10.46   17.50
 2044   24.70    0.51   45.23    6.18   31.47
 2045   18.93   19.01   45.44   -7.31   -1.19
 2046    1.13    7.97    8.02  -19.29   -9.52
 2047    7.71   24.29   -1.32  -25.05    1.88
 2048   13.07    8.10   45.36   -8.91   -7.38
 2049    8.37  -25.06  -11.59  124.91   48.13
 2050    7.42   20.07   22.71   50.68  -19.63
 2051    5.94   -7.62    8.11   44.73   14.20
 2052   21.75   56.91    7.08  -17.27    3.76
 2053   13.37   17.34   17.60  -16.96    8.19
 2054   13.94    6.94   12.43   24.87   20.94
 2055    5.80   -0.94    2.21   -3.81   15.61
 2056   21.37   46.01   33.74    0.36  -10.22
 2057   10.23   18.73  -18.99    3.00   26.77
 2058   22.10   32.23   48.34   -0.36   -7.32
 2059   17.77   10.60   13.53  -33.89   31.23
 2060   14.11  -12.15    7.55   -3.05   44.90
 2061   -0.07  -14.16   27.77   18.39  -11.03
 2062   14.33   10.35    5.58   13.79   25.22
 2063    4.27   -1.03   26.82   40.19  -11.62
 2064   -0.62  -19.82   28.17  -40.62   -3.87
 2065    5.53   27.46   -8.64  -38.94   -0.27
 2066    0.61  -16.53   31.39   -4.21   -8.45
 2067   13.35   -2.15   12.71   31.29   27.04
 2068   -8.83  -14.35  -17.19  -34.33    4.79
 2069    0.27   19.09  -23.52    1.44    2.27
 2070   19.05  -23.35   51.53   65.25   28.67
 2071    8.13    3.58   34.83   44.81  -11.91
 2072    3.79    6.88  -15.53   -1.47   17.12
 2073   27.42   39.67   16.95   23.01   24.94
 2074   18.77   19.77   41.55   22.82   -1.09
 2075   -9.44  -11.50  -11.68  -42.74   -3.55
 2076    9.53   10.40   -7.87  156.71   13.45
 2077   25.22    5.15   41.87   43.89   28.93
 2078    1.31  -26.82   -5.70  -33.15   35.32
 2079   18.24   20.38   27.71   61.93    5.67
 2080   33.02   40.06   59.31   79.43    1.95
 2081   32.92   15.98   77.69   76.25    9.10
 2082   12.45    6.85    5.17   61.95   20.38
 2083   20.10   20.08   31.94   73.46    6.96
 2084   24.77   11.73   44.70  -23.24   23.61
 2085    7.54   -3.52   -8.35   31.44   29.25
 2086   18.06   23.73   10.40   -4.00   20.52
 2087   29.91   42.83   25.03   -1.34   23.96
 2088   -5.84  -47.37  -38.45   24.17   57.39
 2089   33.65   20.40   45.58   24.12   36.74
 2090   15.17    4.57   22.04   -2.76   20.52
 2091   17.63   -9.89   56.07   22.12   11.31
 2092   41.64   12.28   63.78   61.79   49.36
 2093   20.46   18.50   23.02   43.86   18.67
 2094   19.01   18.03   25.71  -11.01   16.37
 2095    3.33   14.92  -18.30   30.31    8.60
 2096   32.51   21.05   30.73   30.04   44.74
 2097    5.45   27.80   11.63   34.25  -22.17
 2098   22.47   11.92   19.37   -3.54   36.44
 2099   11.40   -2.97  -11.64   36.52   41.96
 2100    7.04    6.29    7.10   66.37    3.85
Projections under SRES A1B scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    3.16    5.40    2.63   20.35    0.40
 2002   12.31   23.20    8.72   20.73    4.63
 2003   -2.04   22.46  -17.00   37.66  -15.02
 2004    4.95   35.66  -35.41   32.32    7.83
 2005   19.57   16.24   37.34   28.98    7.46
 2006   33.16   39.60   19.64   35.07   38.16
 2007   10.48   33.63   -1.57  -34.66    1.84
 2008   10.92   28.17    7.91   48.52   -5.00
 2009    0.66    2.36   14.11  -19.89  -10.60
 2010    3.77    3.35   -2.20    3.45    9.06
 2011    2.93   16.55    2.32   31.99  -11.06
 2012    4.34   14.03   -2.71  -29.38    3.34
 2013    5.40   -0.02   26.01   -3.09   -5.94
 2014   16.85    3.34   32.12   17.66   16.81
 2015   -0.54   31.49  -10.96   -2.63  -21.50
 2016   15.86   26.59    4.13   56.94   12.88
 2017   -5.94   -6.28  -18.31  -19.57    5.39
 2018   10.20    4.99   21.76   71.41    1.60
 2019   11.53  -20.96   14.95   26.60   37.83
 2020    5.90   29.52   -6.96   34.36   -7.27
 2021   10.62   30.39  -31.45   -7.22   27.96
 2022   17.38   -4.37    9.19  102.90   38.68
 2023   10.62    9.80   11.01   -5.20   12.09
 2024   -4.61   -7.91  -23.16    8.61   12.78
 2025    8.10   -1.52   40.92   -0.56   -9.33
 2026    9.25   25.70  -39.33  -18.52   35.65
 2027   24.60   43.40   14.09    8.73   16.84
 2028   -1.63   19.47    0.41   10.01  -23.60
 2029  -15.80    4.35  -49.29  -36.19   -5.68
 2030    4.28    0.58   -6.01  -17.15   17.52
 2031   11.87   14.58   24.72  -28.46    1.43
 2032    9.67   22.26   -9.33  -29.72   16.12
 2033    4.82   -0.29   31.16  -22.17  -10.28
 2034    6.56   36.20  -33.69   19.23   11.30
 2035   18.43   -1.06   33.10   10.95   24.92
 2036   11.71   33.95   18.41   95.42  -19.78
 2037    6.75    2.35   38.54  -19.29  -13.55
 2038    5.05   -3.67   31.57   21.94   -9.71
 2039   11.41   -0.44   10.34  -23.42   25.52
 2040   12.12   20.08  -17.94   27.61   28.40
 2041   12.04   13.07   51.95   84.66  -26.32
 2042   -8.37   -0.83  -26.07  -49.45    1.82
 2043   11.67   39.32  -10.57   35.81    2.75
 2044   20.64    9.96   37.92   41.49   15.01
 2045   -2.00   28.60  -18.33    3.33  -17.27
 2046   -5.30    7.69  -41.94  -32.96   14.49
 2047    7.56   -6.93   38.66  -12.62   -3.22
 2048   18.06   43.49    7.64  -27.11    6.00
 2049   21.34   -3.49   19.47   24.23   45.67
 2050   10.76    0.82   20.81  -18.58   13.63
 2051   -5.53   29.40  -35.45  -26.14  -12.01
 2052   27.13   36.74   20.94   -4.49   25.35
 2053    6.77    0.66  -10.35   -4.29   27.17
 2054   -2.86    4.68  -20.80   -2.35    4.84
 2055   10.85   16.69   -5.29  -23.67   20.91
 2056   26.29   42.20   38.44    8.30    2.78
 2057   -5.84  -10.07  -10.67   18.51    0.45
 2058   16.74   15.52   18.16   42.46   15.02
 2059   -4.79   -5.25    0.16   36.34  -11.08
 2060   10.09  -14.40    8.87  -20.88   35.75
 2061   49.36   63.15   37.26   11.57   48.98
 2062  -12.51  -17.11    1.08   -6.18  -19.80
 2063  -18.75   -3.42  -43.44  -45.22  -10.98
 2064   26.12   39.23  -12.28   63.47   43.05
 2065   13.19    4.83   35.83   28.50    1.39
 2066   12.10   19.09    2.47  -26.87   16.03
 2067   19.96   20.67   22.62   13.42   17.55
 2068   15.32   37.89   -6.49   59.66    9.42
 2069   -2.08   12.72  -30.70  -10.55    8.24
 2070    8.12    8.66    1.69   10.49   12.73
 2071  -10.36    1.72  -25.03   -1.92  -10.05
 2072    0.69    8.44    9.11  -22.67  -11.88
 2073   10.79   27.07   22.95   41.70  -16.25
 2074    9.06   -5.75    9.86   -9.57   23.32
 2075   24.21   43.29   57.20  -24.49  -17.34
 2076    6.38   16.87  -19.11    8.94   17.41
 2077   14.97    2.06   23.31   56.50   17.38
 2078    6.99    0.32   13.52    5.14    7.92
 2079   15.30    6.37   22.30   30.00   16.89
 2080    6.55    4.00    2.26   25.97   11.16
 2081   34.49   27.00    7.05   54.86   62.60
 2082   22.82   21.96   30.89  -12.28   19.26
 2083   19.76   21.91   22.69  -16.37   17.72
 2084   28.15   20.17   15.81   54.86   43.91
 2085   -3.15   17.93  -23.03   29.09   -8.45
 2086   -7.34  -23.13   14.50  -22.58   -9.65
 2087   -1.04    4.24   -3.34   -7.80   -3.60
 2088    3.88  -21.24   35.21   64.50   -2.47
 2089   29.66   20.51   49.84  -10.44   24.20
 2090   17.04   12.50   46.45  -45.49    1.19
 2091    2.09   11.77  -25.67  -14.47   16.95
 2092    7.06   -8.33   21.48  -15.80   10.96
 2093   -7.27   -3.23  -28.11  -16.66    6.67
 2094    2.37   26.88   -3.74   51.53  -18.51
 2095    4.83   -5.23   46.10   62.64  -23.43
 2096   20.94   32.55    5.87    5.51   23.55
 2097   15.27   41.35   -4.93   25.60    7.03
 2098  -10.82  -19.47   14.50   -1.14  -24.21
 2099   11.32   -5.52   35.08  -37.02   10.55
