Frequency of Cold Days - Observed Data
NaN indicates insufficient data is available
Refer to Accompanying Documentation
Average Climatology 1970-1999
       Annual     DJF     MAM     JJA     SON
         8.41    8.40    8.48    8.48    8.69
Timeseries (% days occurring)
YEAR   Annual     DJF     MAM     JJA     SON
1960     3.92     NaN    4.55    3.54     NaN
1961    12.16   18.10    2.18    5.98   17.76
1962     6.92    9.43    4.88    4.53    4.51
1963    10.97    8.51   11.93    9.92   10.45
1964     8.60    8.05    8.10   11.12    8.34
1965     8.26    5.64    6.54    8.24    8.71
1966     5.99    3.21   13.27    4.24    4.97
1967    11.47   16.73    9.99    9.35   15.55
1968    16.54    9.15   24.28   18.00   12.95
1969     4.80    8.21    3.71    4.54    4.47
1970     7.61   12.30    8.76    3.86    6.06
1971    10.02   16.97    6.69   12.29    7.62
1972     8.15    7.01    5.72    4.38   11.12
1973     4.86    2.93    3.36    6.16    4.22
1974     8.32    3.84   11.15    9.65    6.66
1975     9.69    4.47    7.84    9.42   15.60
1976     6.42    6.68    6.72    8.48    5.18
1977     7.05    9.75    7.26    4.92    8.02
1978     9.66   16.36   10.30    6.95    7.38
1979     7.70    4.83   10.57   10.24    4.72
1980     7.71    5.24    8.56    9.54    5.19
1981     8.87    4.77   11.38   11.22    6.53
1982     8.12    7.98    5.97    5.51   14.59
1983     4.21    7.99    2.63    3.44    5.09
1984    11.44   16.56   10.05   14.55   12.14
1985    11.44    7.59    9.99    9.21   13.15
1986     8.19    8.93    8.27    6.59    6.98
1987     5.61    3.01    4.54    6.97    7.51
1988     5.28   15.36    4.68    4.94    6.52
1989    15.75    9.90   19.15   15.71    9.61
1990     9.20     NaN    9.72    8.01   10.53
1991     8.73    8.11   10.55    8.24    7.60
1992     7.22   10.44    6.34   10.08    8.16
1993     7.21    7.78    6.89   13.88   10.15
1994     8.51    9.97    7.69   10.93    8.19
1995     5.51    6.01    7.42    3.44    4.42
1996     9.09    3.72    9.82    6.12   12.79
1997    10.57     NaN   11.53    6.60   13.15
1998     6.33     NaN    6.06    5.61     NaN
1999    13.85     NaN   14.95   17.40   13.11
2000      NaN   10.01    5.97    7.72   14.52
2001     7.70   10.36    6.03    8.77    7.60
2002     7.90    5.32    8.06    4.14    7.74
2003      NaN     NaN    4.38    3.51    3.42
