Mean Monthly Precipitation (mm) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
YEAR   Annual      JF     MAM    JJAS     OND
 1960   88.82  150.32  121.76   24.54  100.60
 1961  104.71  132.29  118.47   16.86  121.73
 1962   84.84  150.37  132.82   13.07   78.84
 1963   86.14  134.15  136.08    8.66   98.08
 1964   77.01  105.60  120.04    9.58   60.81
 1965   69.22  118.73  106.31    9.11   51.57
 1966   71.83  126.53   95.70   12.88   73.72
 1967   77.99  103.33  127.57   17.50   60.10
 1968   69.64  143.26  104.99   12.80   54.14
 1969   72.51  101.44  110.41    9.65   70.26
 1970   67.94  160.19   98.90    9.24   44.96
 1971   75.66   89.24  122.92   12.20   76.06
 1972   64.37   68.77   81.65   12.36  110.08
 1973   66.61  126.98   88.64   11.09   70.57
 1974   79.09  105.37  113.86   14.15   65.43
 1975   61.27  106.56   88.20   14.71   60.39
 1976   70.69  125.65  101.80   14.33   51.12
 1977   55.36  103.72   96.24   11.43   40.81
 1978   92.53   93.45  137.54    8.71  129.84
 1979  102.30  155.60   93.28   10.91   89.12
 1980   85.18  129.51  146.30    8.78   87.52
 1981   77.60  122.13  135.02   10.48   79.98
 1982   96.55  105.40  133.01   14.96  159.38
 1983   75.64  113.57  118.32   13.74   83.62
 1984   88.09  146.74  114.14   11.28  114.62
 1985   82.93  139.73  122.06    9.82   99.69
 1986   93.53  128.88  141.53    6.43  131.92
 1987   73.09  152.17  114.01   11.72   53.78
 1988   79.88  133.66  121.85   15.86   85.24
 1989   94.67  146.68  148.71   12.76  109.54
 1990   84.59  138.98  145.50    7.51   83.21
 1991   86.98  147.25  138.91   11.22   86.57
 1992   77.32  123.06  120.47    7.81   86.27
 1993   74.62  157.20  140.26    8.98   40.10
 1994   74.57  123.43  103.86   10.65   97.93
 1995   83.62  168.79  130.76   13.44   73.25
 1996   85.25  195.23  132.76   12.41   54.88
 1997   84.63   91.23  125.82    7.46  128.95
 1998   80.99  194.84  133.79   10.94   40.56
 1999   90.73  108.76  151.75   12.59  103.88
 2000   72.15   82.63   98.14   12.86  117.46
 2001   79.47  153.75  111.48   15.28   83.54
 2002  101.61  172.57  164.45   12.32  110.51
 2003   65.71  133.27  103.70   10.19   56.72
 2004   77.88  143.45  116.02    9.33   87.44
 2005   61.63  102.72  119.47   10.75   44.24
 2006   91.65  109.66  135.69   11.60  142.34
