Mean Monthly Precipitation (mm) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
       Annual      JF     MAM    JJAS     OND
         87.1   144.4   141.7    13.2    92.9
Timeseries in anomalies relative to 1970-1999 mean (mm)
YEAR   Annual      JF     MAM    JJAS     OND
1960      NaN     NaN     NaN     NaN     NaN
1961    26.63   -2.46    5.09    8.11   92.24
1962    10.99   45.01    8.06    1.67    3.68
1963    17.60   27.79    7.00   -3.56   49.60
1964    -4.42   34.76   -9.84    0.24  -31.32
1965     3.42  -13.98    1.19   -2.13   24.66
1966    -7.88   -4.99  -12.49    2.60  -19.17
1967    19.18  -18.78   13.23   14.08   57.22
1968    13.75   17.45   35.39    2.04    5.27
1969   -10.18    7.41  -20.46   -1.92  -22.63
1970     3.54   37.03   -9.09   -1.45    0.51
1971    -8.15  -16.14  -11.59    0.89  -11.44
1972     7.85  -10.97    2.86   -0.81   36.92
1973    -5.40   31.15  -19.83   -0.58  -21.77
1974    -0.81  -39.07   39.26    5.89  -24.29
1975    -9.45  -37.88    5.04    5.69  -25.16
1976   -10.00  -11.76   -1.27    8.16  -41.77
1977     9.83    9.97    0.28    1.87   29.90
1978    14.86   -8.35   16.99   -2.92   51.92
1979    17.35   59.10   33.95   -0.14   -3.76
1980    -0.32  -10.69   15.53   -3.24   -5.37
1981    -6.65  -13.93   -5.96   -0.91  -10.13
1982    11.16  -39.04   -5.09    6.95   66.49
1983    -7.32  -30.87   -6.33    5.19   -9.27
1984     1.65    2.30  -17.88    0.89   21.73
1985    -4.18   -4.71  -19.60   -0.57    6.80
1986     6.43  -15.56    4.22   -5.38   39.03
1987   -12.54    7.73  -14.57   -1.23  -39.11
1988    -7.22  -10.78  -19.81    4.32   -7.65
1989    12.33    2.24   25.98   -0.41   22.41
1990     1.70   22.02    3.84   -4.96   -5.11
1991     2.10    2.81   15.44   -1.96   -6.31
1992    -8.67  -21.38  -11.41   -1.79   -6.62
1993    -3.21   34.01   -1.39   -4.19  -28.52
1994   -12.53  -21.01  -37.80   -2.52    5.05
1995     8.29   34.52    6.79    0.46    2.74
1996    -1.85   60.77   -8.89   -0.76  -38.01
1997    -2.48  -53.21   -2.88   -5.71   36.06
1998     0.05   50.40   13.11   -0.18  -46.28
1999     3.63   -8.69   10.09   -0.59   11.00
2000   -14.95  -61.81  -43.51    0.26   24.57
2001      NaN     NaN     NaN     NaN     NaN
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
