Mean Monthly Precipitation (mm) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual      JF     MAM    JJAS     OND
         85.0   142.3   134.3    12.6    92.5
Timeseries in anomalies relative to 1970-1999 mean (mm)
YEAR   Annual      JF     MAM    JJAS     OND
 1960   16.92   30.58   17.85    9.32   15.55
 1961   20.45  -13.62  -16.87    4.94   36.68
 1962    3.97   30.63   -2.52   -1.09   -6.21
 1963   14.23   14.41    7.00   -3.56   13.02
 1964   -4.42  -14.14   -9.84   -2.26  -32.18
 1965   -4.78  -27.17   -8.35   -2.73  -33.48
 1966   -7.88  -19.38  -12.49   -0.22  -19.17
 1967    6.09  -42.58   13.23    2.28  -24.96
 1968   -2.26   17.45    1.08    0.97  -30.92
 1969  -12.84  -18.30  -24.93   -2.19  -22.63
 1970   -3.97   37.03   -9.09   -2.60  -40.10
 1971   -9.68  -30.50  -12.42    0.36  -16.92
 1972   -7.53  -50.97  -22.26   -0.81   22.92
 1973   -9.74    7.24  -23.66   -0.75  -21.77
 1974   -6.26  -39.07    9.95   -1.07  -27.55
 1975  -11.64  -37.88  -15.71   -0.51  -26.39
 1976  -14.65  -20.26  -10.40   -0.28  -41.77
 1977  -16.54  -16.02   -7.67   -3.79  -44.25
 1978   12.23  -26.29   16.99   -3.13   36.86
 1979   16.96   35.86  -10.62   -0.93   -3.76
 1980   -0.32  -16.40   10.97   -3.24   -5.37
 1981   -7.74  -23.78   -5.96   -1.35  -13.00
 1982   11.16  -39.04   -5.09    3.12   66.49
 1983   -9.70  -30.87  -17.02    1.90   -9.27
 1984    1.65    2.30  -21.19   -0.56   21.73
 1985   -4.18   -4.71  -19.60   -2.02    6.80
 1986    6.43  -15.56    4.22   -5.41   39.03
 1987  -12.54    7.73  -21.33   -1.23  -39.11
 1988   -7.22  -10.78  -19.81    4.03   -7.65
 1989    9.32    2.24   13.37   -0.41   16.56
 1990   -0.75   -6.93    3.84   -4.96   -9.77
 1991    1.64    2.81    3.57   -1.96   -6.31
 1992   -8.67  -21.38  -14.87   -4.03   -6.62
 1993  -10.72   11.29   -1.39   -4.19  -52.88
 1994  -12.53  -21.01  -37.80   -2.52    5.05
 1995   -1.73   22.89   -4.58    0.46  -19.73
 1996   -1.85   49.32   -8.89   -0.76  -38.01
 1997   -2.48  -53.21   -9.52   -5.71   36.06
 1998   -4.35   50.40   -1.55   -0.90  -52.42
 1999    3.63  -37.15   10.09   -0.59   11.00
 2000  -14.95  -61.81  -43.51    0.26   24.57
 2001   -5.87    7.84  -23.86    3.44   -9.45
 2002   16.26   26.67   29.11    0.48   17.52
 2003  -19.63  -12.63  -31.63   -1.65  -36.26
 2004   -7.46   -2.45  -19.32   -2.51   -5.54
 2005  -23.71  -43.19  -15.87   -1.09  -48.74
 2006    6.30  -36.25    0.35   -0.24   49.35
