Mean Temperature (Degrees C) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual      JF     MAM    JJAS     OND
      22.1530      22.6010      22.0376      21.1275      23.3370
Timeseries in Anomalies relative to 1971-2000 mean (degrees C)
 Year  Annual      JF     MAM    JJAS     OND
 1960   -0.48   -0.66   -0.65   -1.16   -0.07
 1961   -0.36   -0.12    0.04   -0.74   -1.11
 1962   -0.87   -1.59   -1.50   -0.39   -1.00
 1963   -0.74   -1.57   -1.01   -0.61   -0.55
 1964   -0.58   -0.15   -0.47   -0.88   -1.18
 1965   -0.72   -0.90   -1.19   -0.58   -0.46
 1966   -0.43   -0.43   -0.76   -0.14   -0.48
 1967   -0.36   -0.16   -0.31   -0.36   -0.68
 1968   -0.74   -0.72   -1.13   -0.81   -0.40
 1969    0.01   -0.37    0.09   -0.01   -0.00
 1970   -0.33   -0.44   -0.45   -0.22   -0.47
 1971   -0.74   -0.79   -0.56   -0.88   -0.70
 1972   -0.29   -0.80   -0.28   -0.26   -0.33
 1973   -0.21   -0.16   -0.01   -0.46   -0.47
 1974   -0.52   -0.67   -0.61   -0.68   -0.37
 1975   -0.43   -0.50   -0.30   -0.57   -0.60
 1976   -0.36   -0.60   -0.46   -0.41   -0.21
 1977   -0.11   -0.37   -0.24   -0.11   -0.18
 1978   -0.33   -0.27   -0.60   -0.28   -0.70
 1979   -0.29   -0.44   -0.35   -0.47   -0.32
 1980   -0.10   -0.15    0.01   -0.30   -0.18
 1981   -0.23   -0.54   -0.33   -0.44   -0.19
 1982   -0.11   -0.02   -0.08    0.00   -0.62
 1983    0.44    0.39    0.77    0.36   -0.01
 1984   -0.33   -0.51   -0.40   -0.30   -0.35
 1985   -0.24   -0.08   -0.38   -0.50   -0.24
 1986   -0.22   -0.09   -0.19   -0.44   -0.21
 1987    0.36    0.03    0.36    0.26    0.65
 1988    0.40    0.59    0.48    0.37   -0.14
 1989   -0.39   -0.82   -0.52   -0.39   -0.13
 1990    0.01   -0.22   -0.13   -0.17    0.16
 1991    0.03    0.30    0.12   -0.07   -0.33
 1992    0.14    0.21    0.30   -0.14   -0.00
 1993   -0.00   -0.63   -0.01   -0.42    0.19
 1994   -0.14   -0.47   -0.35   -0.09   -0.13
 1995    0.12   -0.12    0.08    0.16    0.12
 1996   -0.10   -0.22   -0.02   -0.25   -0.00
 1997    0.30    0.39    0.25    0.40   -0.34
 1998    0.48    0.04    0.39    0.33    0.59
 1999    0.14    0.62   -0.28    0.01   -0.22
 2000    0.21    0.15    0.23   -0.02   -0.05
 2001    0.16   -0.45    0.08    0.12    0.52
 2002    0.34    0.31    0.31    0.37    0.17
 2003    0.68    0.81    0.85    0.33    0.64
 2004    0.52    0.60    0.38    0.34    0.60
 2005    1.01    1.28    1.04    0.59    1.27
 2006    0.67    1.27    0.78    0.64    0.19
