Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         51.12     4.59    40.38    42.97    26.59
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961    -10.53     5.19    -8.61    -9.89    -8.85
1962     -4.26    -0.71   -10.66     3.11     4.14
1963     -3.50    -1.27   -10.55   -13.42    12.77
1964     17.10    11.56    17.08    20.88     1.13
1965    -10.10    -0.92    -2.92   -15.51    -2.15
1966     -8.41    -2.60   -15.33    -1.26    -0.44
1967     -9.49     3.45    -9.71    -2.63     4.76
1968      3.85    -1.73    12.95    -5.99   -12.74
1969     -1.60    -1.37   -12.19     4.59    -0.88
1970     -6.17     5.18     0.35    -1.74     1.02
1971     -0.89     0.79   -18.16     6.93     6.64
1972     10.26    -2.22    18.55     3.21    11.53
1973     -4.56    -0.93    -5.81    -7.97     0.23
1974      2.46    -2.21     1.27    -7.58    15.38
1975     14.45    -0.17     6.77     8.42   -10.94
1976     -0.28    -0.01     3.29     4.40     3.26
1977     -8.05    -2.29    -3.39    -5.91    -6.40
1978     -6.60    -3.82   -12.32     1.30   -18.61
1979     13.29     2.85    15.56    15.13    -0.05
1980     -5.10    -1.99     3.56    -5.51     0.29
1981     -6.87    -0.35    -1.37    -0.49    -4.72
1982      6.41    -2.16     9.98     6.38    -5.59
1983      2.85     2.16     1.51     5.97     7.62
1984     -1.83     8.58    -6.35     1.34     1.17
1985      7.79     0.90    13.31   -10.38     9.81
1986     -0.86    -1.64     3.09     0.63    -8.80
1987      1.79    -1.11     7.55    -0.80    -8.15
1988     -7.54    -1.68    -6.17    -3.75     2.23
1989     -4.55    -0.41    -6.94    -4.77     0.13
1990     -5.50     2.09   -10.04     0.71    -1.60
1991      0.06    -1.75     0.10    -1.65     5.87
1992     -5.06     2.92     4.22    -9.83    -4.34
1993     -6.00    -1.40    -0.53   -13.09     0.84
1994     10.73     2.35   -11.66    18.49     0.18
1995     -6.57     2.01   -17.01     1.31    -9.47
1996     19.10    -0.11     4.58    26.35     2.80
1997     -9.43    -1.07    -1.29   -11.46     4.07
1998      5.27    -2.50    13.30   -11.13    12.31
1999     -8.60    -2.01    -5.93    -4.56    -6.71
2000       NaN      NaN      NaN      NaN      NaN
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
