Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         10.40     2.96     6.75     9.93     7.15
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      0.14    -0.02    -0.35     0.60    -1.99
1962      2.16    -0.59     3.69     1.86    -1.20
1963      1.22    -0.68     2.29     0.70     1.41
1964     -0.15     0.27    -0.57     0.19    -1.20
1965     -0.71    -1.09    -0.73    -0.36    -0.14
1966      1.42     1.26    -1.53     1.77     0.34
1967      1.54     0.88     2.28     1.75     1.88
1968     -1.11     1.38     1.15    -1.03    -0.13
1969     -0.89    -0.06    -1.39    -0.68    -0.22
1970      0.79     1.42     1.20     1.17    -1.04
1971     -0.69     0.67    -1.25    -0.23     0.89
1972      0.21     0.26     0.18     0.68    -1.39
1973     -1.71    -0.28    -1.01    -1.32    -0.71
1974      2.01    -0.25     3.42     0.45     2.03
1975     -0.35    -0.97    -0.40     0.12    -1.40
1976     -1.28     0.50    -1.20    -1.18    -0.36
1977      2.09    -0.67     3.34     1.63    -0.18
1978     -0.23    -1.03     0.01     0.13    -0.38
1979     -0.94     0.71     1.41    -1.08    -0.45
1980      1.67    -1.37    -1.42    -1.93     4.85
1981     -2.30     1.17    -0.76    -2.06     0.23
1982      0.25     0.41    -1.22     0.66    -1.84
1983     -1.14    -0.13    -0.85    -0.80    -0.99
1984      0.15     0.79     0.65    -0.37     2.30
1985     -1.25     0.92     0.38    -0.98    -0.79
1986     -1.20     0.31    -0.14    -0.80    -0.72
1987      0.01    -0.58     0.14     0.45     0.25
1988      0.18    -0.21     0.90     0.55     0.51
1989     -2.03    -0.47    -0.37    -1.64    -0.56
1990      1.63     2.40     2.94     1.01    -0.61
1991      0.85    -2.14    -1.69     1.32    -1.87
1992     -1.13    -0.03     0.39    -1.89     0.79
1993      3.05    -1.57    -0.12     3.24    -0.94
1994     -0.02     0.18     0.08    -0.31     1.91
1995     -0.93     1.12    -0.83    -0.54     0.53
1996      1.47    -0.66    -1.04     1.85    -1.38
1997      2.03    -1.44    -1.14     2.50     0.58
1998     -0.09     0.51    -1.02     0.22     0.50
1999     -1.12     0.46    -0.58    -0.83     0.26
2000     -0.29    -0.28    -0.12     0.18    -1.80
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     -0.24    -0.48    -0.34     0.07     0.72
2047     -2.08     0.58    -2.40    -1.62    -1.44
2048     -2.41    -0.40    -1.48    -2.25    -1.10
2049      1.98     0.51    -0.38     2.41     0.66
2050     -1.97     0.66    -0.86    -2.01    -1.38
2051     -0.97    -0.15    -0.91    -0.62    -1.93
2052      0.21    -0.97    -1.52     0.66     0.97
2053     -0.21     2.29     0.03     0.15    -0.08
2054     -2.43    -0.21    -0.90    -2.12    -0.69
2055      1.04     1.60    -0.39     1.37     0.82
2056     -0.83     0.81    -0.25    -0.57    -1.14
2057     -2.71     0.33    -1.41    -2.26    -0.57
2058     -1.91     0.41    -1.41    -1.82    -1.26
2059     -2.39     0.70    -2.00    -2.34    -0.48
2060     -1.48     0.02    -1.49    -1.07     0.73
2061      0.08    -0.10     0.40     0.42     0.62
2062     -2.07     0.36    -1.90    -1.68    -0.62
2063      0.13     1.61    -0.45     0.20     1.86
2064     -2.45     0.91    -1.78    -2.28    -1.28
2065     -1.44    -0.31    -0.17    -1.41     0.50
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      0.25    -1.42    -0.84     0.66    -0.51
2082     -1.12    -1.11    -0.16    -2.22     1.89
2083      1.01     0.77    -0.43     1.40    -1.10
2084     -1.13     1.81     1.41    -2.05    -1.55
2085     -2.36     0.13    -1.41    -2.19    -0.31
2086     -0.46    -0.84    -1.32     0.01    -1.00
2087     -0.89     0.74    -2.19    -0.46    -0.36
2088     -2.35    -0.81    -1.68    -1.88    -2.18
2089      0.01     0.14    -0.64     0.46     0.49
2090      1.29     0.37    -1.66     1.76    -2.33
2091     -0.69    -0.77    -0.76    -0.22    -1.08
2092     -1.50    -0.31    -1.07    -1.20    -1.30
2093     -1.85     0.13    -1.46    -1.55    -0.85
2094      0.11    -0.17     0.47     0.58    -0.96
2095     -2.28     0.85    -2.72    -2.08    -1.72
2096     -2.36    -0.33    -0.72    -2.03    -1.66
2097     -1.71     0.44    -1.27    -1.24    -0.34
2098      0.57     0.39     1.48     0.73    -0.48
2099     -3.02    -0.68    -2.09    -3.17    -0.65
2100     -2.15    -0.08    -1.25    -1.70    -1.17
