Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
          9.99     9.99     9.95    10.00    10.02
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     13.59     8.12    10.66    41.40    25.54
1962     15.59    37.62    25.99    26.16     5.79
1963     12.79    15.43    15.69     8.88    18.82
1964     17.13    18.00    30.62    59.96    20.02
1965     18.34    23.26    42.49    75.10    19.22
1966     15.50    24.01    18.33    69.95    18.27
1967      7.31     5.79     8.57    14.37     7.83
1968     10.29     1.98    11.20    36.40    14.03
1969      6.63    11.53     6.05    11.81     1.35
1970     15.41    11.25    20.69    80.01    20.31
1971     13.19    15.76    20.32     5.74    21.03
1972     12.43    25.39     4.72    21.20     5.70
1973     10.50    15.61    26.32     7.84     2.24
1974     10.35     6.36    15.40    22.75     6.61
1975      6.94     4.49     9.75    23.12     4.54
1976     12.33    21.18    12.98    19.18     9.44
1977     10.04     5.22    10.10     0.21    18.55
1978      8.55     5.50    10.69    16.97     6.31
1979      6.26     0.45    15.74    11.29     4.83
1980      5.65     1.70     2.68     1.21     6.59
1981      7.43     9.72     5.37     1.62     7.15
1982      6.35     3.87    10.68     2.05     9.46
1983     16.64    30.56    23.33     5.68    13.97
1984     10.88     6.61     7.95     4.44    14.35
1985      7.83     0.55     7.72     1.21    11.09
1986     13.10    25.86    11.83    19.89     6.19
1987     10.18    11.17     4.74    10.64     5.79
1988     10.02     5.17     4.68     0.26    13.17
1989     10.46     8.12    11.54     3.46    17.64
1990     10.37    13.55     0.20     0.08     6.78
1991      5.37     8.85     0.84     2.22     0.91
1992     12.67    12.17     4.38     8.02     9.55
1993      6.74     0.00    11.90     0.77    12.22
1994      9.01     3.82     0.79     2.37    13.51
1995     10.97     8.63    10.82     4.79    15.68
1996     12.37    16.98     4.01     5.28    13.02
1997      7.35     8.03     8.18     9.88     3.03
1998      9.76     2.33     8.67     2.19    11.59
1999     10.49    10.94    11.56     5.64     9.47
2000      5.99     9.53     3.43     0.00     1.78
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     11.94    16.60     0.00     0.00     8.70
2047      5.90     3.64     0.00     0.00     0.18
2048      7.41     1.32     2.02     0.00    11.81
2049      5.64     3.84     0.90     0.08     0.00
2050      0.06     0.00     0.47     0.00     0.00
2051      6.69     0.56     0.10     0.00     6.32
2052      4.07     2.39     0.00     0.00     0.52
2053      1.19     0.00     0.00     0.00     0.60
2054      2.58     0.99     0.35     0.00     0.16
2055      8.14     4.25     0.08     0.00     9.51
2056      1.78     1.96     0.00     0.00     0.00
2057      0.87     0.00     1.81     0.00     0.00
2058      1.37     0.08     0.00     0.00     0.00
2059      3.10     0.00     3.93     0.00     5.42
2060      1.48     0.10     0.24     0.00     0.26
2061      0.90     0.00     0.00     0.00     1.11
2062      2.26     1.60     0.00     0.00     0.00
2063      0.88     0.00     0.00     0.00     0.18
2064      4.29     5.04     0.00     0.00     1.39
2065      2.80     0.29     0.00     0.00     0.00
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      0.21     0.00     0.00     0.00     0.18
2082      2.06     1.28     0.08     0.00     0.00
2083      0.69     0.00     0.00     0.00     0.33
2084      3.36     0.19     0.00     0.00     2.42
2085      1.59     0.00     0.08     0.00     0.60
2086      0.89     0.39     0.00     0.00     0.20
2087      2.02     0.00     0.00     0.00     1.82
2088      3.22     0.21     0.45     0.00     0.00
2089      0.00     0.00     0.00     0.00     0.00
2090      2.84     1.24     0.00     0.00     0.18
2091      0.22     0.00     0.00     0.00     0.00
2092      0.21     0.00     0.00     0.00     0.34
2093      0.04     0.00     0.00     0.00     0.00
2094      0.08     0.00     0.00     0.00     0.10
2095      0.05     0.00     0.26     0.00     0.00
2096      0.34     0.00     0.00     0.00     0.00
2097      0.05     0.00     0.00     0.00     0.10
2098      0.08     0.00     0.00     0.00     0.00
2099      0.05     0.00     0.00     0.00     0.00
2100      0.00     0.00     0.55     0.00     0.00
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
