Frequency of Hot Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         10.02    10.02    10.05    10.00    10.00
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      8.25     4.44     5.37     4.10    13.07
1962     10.12     8.15     4.42     2.96     7.42
1963      6.16     4.26     0.87     4.91     9.50
1964      3.08     2.67     3.94     4.29     2.24
1965      3.55     3.77     0.00     0.87     2.09
1966      4.65     3.07     0.74     0.52     7.49
1967      6.81     6.37     6.39     4.89     6.40
1968      6.98     5.07     6.24     5.27     6.83
1969      7.16     6.47     8.49     1.65     6.96
1970     10.41     8.67    14.45     4.31     4.79
1971      3.22     2.67     1.61     2.08     4.52
1972      5.85     7.18     4.18     5.28    11.25
1973     10.24     8.85     5.06    11.59    18.25
1974     12.36    10.00    10.39    12.50     9.03
1975      7.93     7.66     4.26     4.44    16.79
1976      8.53     3.58     5.95     2.62     8.10
1977     11.79    15.91    13.97    12.25     5.89
1978      9.23    12.63     4.18     7.62    11.39
1979      9.32    11.64     8.95     4.48     8.47
1980     12.87    14.77     8.19     4.58    16.68
1981     10.05    10.20     6.16    16.24     6.10
1982      7.89    13.05    11.20    10.55     4.43
1983      6.99     4.16     5.85    11.40     8.10
1984      9.55     5.00    17.67    13.21     4.51
1985     11.03    14.25    12.15    14.40     7.31
1986      8.75    10.45     9.45     8.65     5.56
1987      7.73     3.76     3.35     9.31    12.78
1988     12.15    11.89    13.57    11.29    14.19
1989      7.54    15.48     2.93    18.77     4.63
1990     12.69    12.31    25.23    16.38     5.91
1991     12.20     8.96    11.06     8.48    12.10
1992     10.74    10.01    12.02     4.02    12.99
1993     10.34    10.12    12.76     8.00     6.98
1994      8.11     6.86     5.95    10.67    14.97
1995     13.04    13.19    13.04    24.99     8.80
1996     13.09    12.60    20.10     8.06    12.03
1997     12.14    14.42    14.96     5.49    13.00
1998     12.33    12.14     9.28     6.57    16.26
1999     12.37     8.24    13.49    21.78    14.11
2000     13.34    10.72    17.62    19.69    16.37
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     56.97    53.26    64.25    73.81    63.21
2047     54.20    53.50    68.21    74.58    48.91
2048     49.39    47.15    54.77    80.12    55.59
2049     59.02    57.34    73.07    79.79    61.56
2050     54.56    61.19    60.70    76.51    46.44
2051     61.59    53.47    69.99    90.27    59.71
2052     59.45    58.49    66.92    87.94    50.40
2053     53.47    45.01    61.70    86.32    55.70
2054     56.28    54.79    68.05    75.48    65.18
2055     69.07    62.69    78.19    94.34    72.12
2056     61.01    63.24    74.58    85.62    58.24
2057     57.97    58.24    77.93    83.38    56.55
2058     62.12    55.92    74.45    88.50    66.56
2059     54.75    59.70    60.28    74.87    63.37
2060     63.39    51.33    73.50    91.10    66.66
2061     64.99    51.07    79.20    90.79    67.39
2062     63.34    70.08    70.63    80.40    65.28
2063     70.98    60.22    72.77    90.02    77.17
2064     72.08    56.21    88.34    90.16    76.38
2065     72.27    61.01    77.28    90.80    86.79
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     81.90    62.90    82.43    98.67    84.24
2082     87.62    75.67    92.39    98.19    92.09
2083     86.07    70.35    93.80    98.93    84.50
2084     87.67    71.02    90.45    98.42    89.11
2085     84.09    61.18    88.76    98.64    85.21
2086     87.38    74.02    92.36    99.60    79.21
2087     85.51    77.33    90.07    97.77    75.66
2088     87.23    72.66    88.13    99.58    85.34
2089     90.36    81.14    93.06    98.93    89.05
2090     84.72    66.10    91.53    98.17    80.41
2091     88.68    70.49    84.53    99.15    94.10
2092     89.58    76.40    93.00    97.94    86.74
2093     90.75    71.26    94.54   100.00    93.35
2094     91.82    77.46    97.48    99.97    87.53
2095     93.45    85.29    96.12    99.75    88.88
2096     87.14    70.47    91.70    99.55    83.75
2097     86.24    56.95    99.19    99.72    90.17
2098     91.21    71.85    93.46    99.38    95.44
2099     89.46    71.31    94.21    99.94    87.41
2100     90.62    79.42    99.42    99.80    82.94
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     54.18    49.97    62.49    77.73    57.79
2047     50.68    55.65    71.34    69.16    38.25
2048     47.43    29.48    56.25    84.10    46.06
2049     50.38    50.06    61.50    78.49    38.86
2050     48.42    45.18    59.66    74.74    51.57
2051     60.08    57.90    74.57    88.91    50.22
2052     52.52    47.11    49.81    81.04    64.64
