Frequency of Cold Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
          9.99    10.02    10.00     9.94    10.02
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     15.39    19.11    23.72    16.79    17.98
1962      9.17    10.53     8.85     9.80    13.67
1963     10.34    17.02     6.31     7.31    25.21
1964     15.92    19.36    22.66    12.61    14.81
1965      5.67     6.25     5.54     4.31    10.28
1966     10.40    16.63     4.10    14.50     4.78
1967     15.27    11.80     9.65    25.33     7.34
1968     12.21     9.57    14.26    14.32     9.02
1969      5.63     5.13     0.50     5.42     9.78
1970     11.22    20.59    17.18     7.40     9.17
1971     15.72     6.56    16.26    22.13    10.96
1972     12.23    10.11    12.10    15.00    12.71
1973      6.78     8.44     3.75     7.88     7.20
1974     13.85    11.29     7.90    23.13    14.43
1975      5.45    12.32    11.00     2.91     6.53
1976      8.23     9.12     9.96     4.82     5.77
1977     14.60    11.79    16.67    14.40    22.63
1978     11.67     8.28     8.84    12.80    10.92
1979     11.63     8.31    15.92    10.47     1.89
1980     18.73    19.92    22.35    29.35    16.96
1981      7.13    28.08     1.20     6.98    17.36
1982      7.06     3.09     3.48     9.63     8.25
1983     10.20     4.47     9.59    13.44    10.76
1984      9.09     7.01    10.15     5.38     6.15
1985     11.93     6.50     6.96    12.51     5.62
1986      7.84     9.84     3.05     8.78    13.04
1987      7.97     2.50     2.13     8.62     7.86
1988      9.95    13.37    14.18     4.96    17.81
1989      9.28     4.88     7.87     5.43     7.36
1990     16.43    12.63    21.81    15.27    17.20
1991     11.16     8.51    17.98     6.87    11.63
1992      9.79    10.43     8.35     5.64    10.97
1993      5.65    13.20     5.32     2.64     4.99
1994      4.36     8.28     2.05     2.87     5.00
1995      9.51     6.96    13.25     9.67     3.46
1996      8.30     5.30    11.95     7.04     9.51
1997     12.65     6.72     9.42    15.35    13.34
1998      7.81    13.96     8.07     4.45     2.04
1999      3.45     8.09     1.24     2.39     9.21
2000      4.81     5.80     3.53     4.03     4.34
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      3.38     0.43     5.05     1.32     5.76
