Frequency of Cold Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
          9.98     9.94     9.98    10.02    10.08
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      7.14     2.93    11.43     8.14     6.22
1962      4.70     2.81     8.78     2.99     3.62
1963     12.62     1.79     7.60    18.24    11.20
1964     10.11    17.78    27.73     8.18     6.75
1965     10.37    10.74     2.50    10.99     6.95
1966     12.09    10.75     1.62    16.27     9.07
1967     13.82     9.99    23.68    11.23     7.01
1968     12.58    17.50    20.31    15.50     7.63
1969      8.33    29.56    14.43     4.22     7.07
1970      8.48     8.08    11.07     7.59     5.63
1971     13.34     1.60     8.71    20.41     8.64
1972     15.00     8.82    21.85    16.28     8.70
1973     10.61     9.68    14.15    12.13     6.36
1974      9.73     2.85     9.03    10.22     5.77
1975     13.30     3.22    13.08    14.98     8.03
1976     13.05    15.57     9.05    18.69     5.18
1977      7.28     2.04     1.71     6.35    20.01
1978     13.12    20.19    12.36    13.71     4.18
1979     12.41    15.01    15.59     8.97    16.11
1980      9.07    21.66     9.74     6.84     6.52
1981      5.54     5.74     6.38     3.22     2.58
1982     15.79    13.53     7.49    21.09    18.64
1983      9.15     5.22    12.82    10.37     7.72
1984     13.51    11.58    17.11    13.93     6.41
1985      6.05    12.42     6.33     3.48    13.19
1986     13.03     6.57    13.54    13.89    17.21
1987     11.88    20.48    11.52    12.12    20.75
1988      7.43    13.09    13.72     2.31     9.49
1989      4.94     5.35     3.43     3.30     2.04
1990      8.39     0.98     3.41     8.88    13.72
1991      4.32     7.36     5.24     2.17     7.40
1992     14.04    13.88     9.66    18.52    19.96
1993      9.89    13.71     6.97     9.88     7.33
1994     11.02     5.87    17.24     8.65     8.10
1995      7.92    24.76     6.13     8.45     4.51
1996      8.15     0.13     2.83     8.43    20.18
1997      6.88    22.99    11.73     4.94    14.76
1998      8.06     4.23    12.52     7.64     1.11
1999      8.09     1.59     5.14     3.05    12.25
2000      7.52     4.23     3.19     7.44    15.96
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      1.89     2.28     3.64     0.69     7.68
2047      4.88     7.31     1.19     4.84     2.42
2048      1.63     1.32     0.33     1.11     1.34
2049      1.17     1.53     1.59     0.00     0.27
2050      1.73     0.00     3.30     1.10     0.89
2051      1.74     1.67     3.23     1.29     1.26
2052      3.23     0.35     1.11     1.92     0.47
2053      0.67     0.00     1.32     0.56     0.49
2054      1.81     1.15     4.60     0.21     3.64
2055      1.17     3.74     0.25     0.76     1.58
2056      1.73     0.00     0.60     0.98     3.79
2057      0.72     1.03     1.15     0.01     2.70
2058      0.55     0.00     1.80     0.14     0.00
2059      0.65     0.00     1.20     0.42     0.00
2060      0.72     0.00     1.90     0.01     4.57
2061      0.73     0.01     0.55     0.58     0.00
2062      0.30     0.00     0.00     0.20     0.25
2063      0.70     0.13     1.89     0.00     5.01
2064      1.32     0.00     4.06     0.56     3.75
2065      1.41     0.00     1.26     0.35     1.23
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      0.70     0.00     2.81     0.21     0.12
2082      0.05     0.00     0.00     0.00     0.00
2083      0.29     0.00     1.29     0.01     0.93
2084      0.00     0.00     0.22     0.00     0.00
2085      0.05     0.00     0.50     0.00     0.20
2086      0.00     0.00     0.00     0.00     0.25
2087      0.05     0.00     0.75     0.00     1.84
2088      0.20     0.00     0.14     0.15     3.41
2089      0.24     0.00     1.70     0.07     0.12
2090      0.41     0.00     0.00     0.21     1.10
2091      0.02     0.00     0.33     0.00     0.12
2092      0.08     0.00     0.48     0.00     0.73
2093      0.09     0.00     0.00     0.00     0.00
2094      0.02     0.00     0.87     0.00     0.00
2095      0.40     0.00     0.40     0.57     0.12
2096      0.00     0.00     0.00     0.00     0.00
2097      0.14     0.00     0.00     0.01     0.12
2098      0.12     0.00     0.07     0.00     0.00
2099      0.00     0.00     0.07     0.00     0.36
2100      0.60     0.00     0.55     0.77     0.50
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      2.08     0.75     1.08     1.51     0.00
2047      3.04     0.42     0.28     1.53     7.93
2048      2.29     0.34     4.37     1.45     0.41
2049      0.81     0.00     1.01     0.49     0.99
2050      2.35     2.18     0.87     1.58     0.61
2051      1.50     0.00     0.64     0.88     2.76
2052      2.35     1.18     2.14     1.18     0.97
2053      2.17     0.00     2.43     2.02     0.00
2054      1.42     0.00     1.04     1.47     0.37
2055      1.22     0.00     0.25     0.77     0.56
2056      1.04    13.41     2.99     0.48     1.77
2057      2.01     0.00     0.00     2.27     4.88
2058      0.57     0.00     1.49     0.00     0.25
2059      1.10     0.00     0.26     1.32     2.06
2060      1.63     0.33     3.15     0.20     3.37
2061      1.52     0.00     2.30     0.27     4.25
2062      1.77     0.00     0.00     1.15     0.25
2063      0.93     0.81     3.78     0.14     1.05
2064      2.32     0.00     1.24     2.21     1.40
2065      1.00     0.35     1.54     0.82     0.49
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      0.55     0.00     1.32     0.14     1.15
2082      0.02     0.00     0.00     0.00     1.29
2083      1.28     0.00     0.29     2.08     0.50
2084      0.00     0.00     0.60     0.00     1.63
2085      0.60     0.00     0.01     0.50     0.74
2086      0.62     0.00     0.33     0.36     0.12
2087      0.26     0.00     0.14     0.21     0.49
2088      0.02     0.00     0.07     0.00     0.00
2089      0.29     0.00     0.35     0.02     1.22
2090      0.27     0.00     0.40     0.28     0.00
2091      0.23     0.00     0.40     0.14     2.06
2092      0.04     0.00     0.00     0.01     0.00
2093      0.12     0.00     0.00     0.21     0.00
2094      0.54     0.00     1.02     0.00     2.08
2095      0.29     0.00     0.00     0.35     0.73
2096      0.09     0.00     0.20     0.01     1.03
2097      0.13     0.00     0.00     0.00     0.06
2098      0.31     0.00     0.57     0.42     0.06
2099      0.07     0.00     0.68     0.00     0.73
2100      0.18     0.00     0.93     0.29     0.00
Projections under SRES B1 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
