Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         10.00    10.05     9.99     9.96     9.95
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     12.16    11.19    12.11    15.22     3.56
1962      5.96     3.11     5.10     2.21     2.66
1963      2.50     3.35     0.86     0.34     1.50
1964      8.41    12.48     6.09     9.28     0.93
1965      5.44     4.29     4.30     6.50     1.05
1966      4.46     3.46     3.55     4.10     3.68
1967     11.28     9.06    16.33     6.02     2.13
1968      7.66     5.91     4.99    12.58     0.66
1969      6.51     6.96     6.03     4.21     1.60
1970     12.08    11.32    17.99    14.12     6.46
1971      4.91     3.78     3.42     3.02     5.24
1972      7.41     4.95     7.72     2.88     8.31
1973      9.21     9.84     8.65    11.35    15.98
1974     11.56    16.63     9.66     9.19     0.99
1975      7.23     4.17     7.50     2.44     2.04
1976      7.39     7.24     4.64     0.58     7.78
1977     10.35     6.76    12.03    15.07     6.51
1978     12.42    12.10    11.29    17.52    20.54
1979     11.03    10.44    12.76     4.48     1.69
1980      6.36     5.88     6.06     0.56     9.46
1981     16.43    10.64    27.20    19.46     7.83
1982      8.79     5.47    10.51     9.14     8.06
1983      5.49     7.40     2.09     5.87    25.55
1984     11.00    11.05    10.09     7.73     2.35
1985      5.55     8.08     3.26     5.90     3.70
1986      6.51     5.86     6.30     8.84     6.62
1987     15.02    16.50    15.59    24.31    18.81
1988      8.68    12.15     5.13     4.93    19.34
1989      3.88     5.70     1.34     2.60     8.60
1990     12.30    14.12    12.42    17.73     5.38
1991      9.41     8.18     7.86     5.63    10.85
1992     10.59     8.76     9.28    20.43    20.05
1993     15.98    15.41    17.98    28.59    25.54
1994     18.83    22.17    23.29    21.80     4.94
1995      9.77    13.62     5.71     4.56     3.35
1996     10.93     9.44    12.62    11.11     8.56
1997     12.57    14.89    13.86     7.71     6.44
1998      8.56    11.22     8.00     4.91    10.80
1999      9.73     7.72     5.37     6.36    16.84
2000     16.30    22.20     9.18    40.46    12.74
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
