Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     JFM     AMJ     JAS     OND
        131.3    39.7   186.3   228.2    71.0
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960  -15.48   -1.87   -0.60  -38.09  -21.35
 1961    3.36    4.63  -12.86   13.66    8.00
 1962   -4.24  -15.89   21.53  -25.95    3.35
 1963   -6.45   -1.24   -9.51  -10.74   -4.29
 1964    3.49  -12.93   34.68    4.87  -12.67
 1965   15.50   -8.95   35.98   13.44   21.55
 1966   -9.68    2.49  -18.41   -6.61  -16.20
 1967   11.57    5.25   13.29   14.95   12.79
 1968   -7.04    3.45   -4.74  -17.81   -9.08
 1969   -2.21    7.53  -23.41    6.19    0.84
 1970   -0.03   -6.35  -21.91   37.26   -9.11
 1971    3.21   13.18   -5.74    9.10   -3.70
 1972   -8.83   -5.28  -13.67   -4.24  -12.12
 1973   -3.22   -2.36   -9.18   -6.45    5.11
 1974   -6.08    1.55    6.19  -19.08  -12.99
 1975    1.88    1.58   14.28   -8.83    0.49
 1976    1.67   -2.43   24.18  -21.99    6.93
 1977    0.07   12.39    6.17  -37.18   18.90
 1978   -3.68   10.73    2.03  -37.72   10.24
 1979   -1.18  -10.70   21.75    7.50  -23.27
 1980   -1.51  -18.87  -10.07   33.12  -10.21
 1981    8.25  -11.11   30.20    4.59    9.32
 1982   -9.84   -7.39  -16.77  -20.61    5.43
 1983   -3.76    1.32   -2.17  -10.59   -3.59
 1984   -7.17    3.82   12.15  -25.12  -19.53
 1985    3.72   11.05   15.24  -21.12    9.71
 1986    3.69   -1.77   16.39  -25.12   25.28
 1987  -10.75   -2.91  -28.10   -3.36   -8.64
 1988    0.62   -3.49   -3.65    8.68    0.96
 1989   18.20   21.46   27.12   30.68   -6.45
 1990   -4.85   -7.36  -30.88   14.73    4.12
 1991   19.51   -1.45   35.64   26.52   17.35
 1992    2.44  -12.85  -18.88   64.34  -22.84
 1993   -3.47   -4.89  -17.11    2.37    5.75
 1994    6.41    4.09    0.85   16.22    4.48
 1995    1.25    0.49    1.29    1.07    2.16
 1996   11.22   13.50   -7.87   24.93   14.33
 1997  -15.24   -1.94  -25.98  -26.30   -6.74
 1998    1.01    8.36  -14.24    8.88    1.05
 1999   -3.57   -2.38   12.76  -22.27   -2.39
 2000   -3.02    6.69  -11.81    1.69   -8.66
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    8.72   -5.96   -5.10   49.05   -3.11
 2002   -4.49  -12.96  -15.28    7.73    2.54
 2003    0.11    3.17    6.18   -0.72   -8.19
 2004   13.87    3.22   19.51   35.56   -2.83
 2005   -4.24  -16.76    3.72  -22.32   18.39
 2006   14.39   -6.76   18.71   53.82   -8.21
 2007   -3.11   -8.36   -8.27    1.36    2.83
 2008    8.78    5.25  -11.81   33.70    7.97
 2009    2.04    3.99   -0.10    1.28    2.99
 2010  -11.95   -9.15  -34.04    3.29   -7.88
 2011   13.62    5.02   21.01    9.48   18.96
 2012    9.74   -5.84  -14.54   40.13   19.22
 2013   -3.91    9.49  -25.01   15.80  -15.91
 2014    6.01  -14.68    7.75   41.49  -10.53
 2015   -5.88   -7.88  -29.23   -0.08   13.67
 2016    8.76   -0.98   -6.01   33.44    8.58
 2017    1.72    2.59   -2.83   10.02   -2.89
 2018   -9.78  -15.42  -18.81   -5.86    0.96
 2019    0.73  -10.34   -5.24   -9.49   27.97
 2020   -2.91  -16.94  -26.34   18.19   13.47
 2021   -4.29   11.43   -4.99  -27.68    4.09
 2022   -6.17   -9.70  -22.79   11.08   -3.26
 2023    1.97    9.06  -26.20    8.59   16.42
 2024    3.70   -9.20   -3.38   21.79    5.59
 2025    3.40  -12.18    0.37   24.38    1.04
 2026    0.70    0.78    4.37  -10.24    7.90
 2027   -7.68  -22.71  -15.82    2.00    5.79
 2028    0.21  -19.01    7.52   25.89  -13.57
 2029    0.02    2.30   15.91    6.55  -24.67
 2030    7.21   -1.93   11.73   27.91   -8.86
 2031   -3.86    0.86  -12.07  -25.41   21.17
 2032   -7.33  -18.16  -21.84   17.12   -6.46
 2033    9.64   10.10   13.15    1.45   13.83
 2034  -12.45  -16.20  -14.13  -19.06   -0.43
