Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual     JFM     AMJ     JAS     OND
        27.62   26.60   29.27   27.81   26.78
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960   -0.77   -0.81   -0.86   -0.56   -0.86
 1961   -0.33    0.55   -0.55   -0.55   -0.78
 1962   -0.32   -1.16   -0.40    0.21    0.06
 1963    0.06    0.66    0.29   -0.25   -0.46
 1964   -0.31   -0.30   -0.41   -0.38   -0.14
 1965   -0.69   -0.72   -0.56   -0.80   -0.67
 1966   -0.42   -0.17   -0.46   -0.51   -0.54
 1967    0.07    0.57   -0.23    0.10   -0.14
 1968   -0.18    1.33   -0.44   -0.60   -1.03
 1969   -1.07   -1.02   -1.17   -1.19   -0.92
 1970   -0.51   -0.50   -0.69   -0.49   -0.36
 1971   -0.00    0.25   -0.15   -0.01   -0.09
 1972   -0.00    0.27    0.25   -0.37   -0.16
 1973   -0.40   -0.05   -0.66   -0.29   -0.60
 1974   -0.09    0.45   -0.46   -0.15   -0.21
 1975   -0.24   -0.04    0.01   -0.26   -0.66
 1976   -0.26    0.21   -0.53   -0.51   -0.22
 1977   -0.08    0.36   -0.47   -0.30    0.07
 1978   -0.01    0.94   -0.42   -0.29   -0.27
 1979    0.44    1.08    0.43    0.21    0.03
 1980   -0.40   -1.14   -0.20   -0.07   -0.21
 1981    0.47    1.15    0.51    0.24   -0.04
 1982   -0.10   -0.41    0.10   -0.04   -0.06
 1983   -0.42   -0.66   -0.34   -0.25   -0.42
 1984   -0.38   -0.56   -0.56   -0.16   -0.25
 1985    0.05    0.55    0.12   -0.19   -0.29
 1986   -0.16   -0.75    0.27    0.17   -0.33
 1987    0.11    0.15    0.12    0.28   -0.12
 1988    0.43    0.33    0.49    0.50    0.40
 1989   -0.02   -0.65    0.15    0.10    0.31
 1990    0.50    0.68    0.17    0.27    0.90
 1991    0.19   -0.21    0.68    0.15    0.14
 1992   -0.31   -0.74   -0.35   -0.19    0.05
 1993    0.08   -0.61    0.44    0.42    0.08
 1994    0.60    1.15    0.58    0.48    0.19
 1995    0.36   -0.02    0.23    0.41    0.81
 1996   -0.16   -0.79   -0.05   -0.02    0.22
 1997    0.12   -0.46    0.24    0.30    0.39
 1998    0.27   -0.08    0.52    0.26    0.37
 1999   -0.04    0.10   -0.42   -0.19    0.32
 2000    0.42    0.07    0.53    0.29    0.80
Projections under SRES A2 scenario
 2000    0.66    1.01    0.92    0.65    0.05
 2001    0.29    0.03    0.00    0.34    0.78
 2002    0.94    1.07    0.97    0.96    0.77
 2003    0.39   -0.11    0.49    0.70    0.47
 2004    0.64    1.16    0.83    0.80   -0.23
 2005    0.52    0.26    0.64    1.00    0.17
 2006    0.55   -0.14    0.86    0.73    0.73
 2007    1.17    1.16    1.04    1.13    1.34
 2008    1.06    1.09    0.78    0.91    1.47
 2009    1.17    2.21    0.93    0.80    0.75
 2010    0.98    0.72    1.09    1.11    0.99
 2011    0.69   -0.39    0.92    0.88    1.34
 2012    0.90    0.47    1.60    1.03    0.48
 2013    0.52   -0.54    0.56    1.11    0.95
 2014    1.32    2.29    1.37    0.70    0.92
 2015    0.95    1.30    0.78    0.90    0.82
 2016    1.15    1.39    1.54    0.83    0.82
 2017    0.60    0.57    0.45    0.69    0.67
 2018    0.86    0.32    0.91    1.03    1.20
 2019    0.96    0.88    1.05    0.89    1.01
 2020    0.92    0.88    0.87    0.89    1.03
 2021    1.04    0.90    0.98    1.10    1.19
 2022    0.66    0.02    0.98    0.76    0.90
 2023    1.03    0.89    1.17    1.22    0.82
 2024    1.09    0.89    1.13    1.10    1.25
 2025    0.80    0.56    0.69    0.86    1.09
 2026    1.58    2.14    1.39    1.26    1.54
 2027    1.28    1.92    1.43    1.00    0.76
 2028    1.02    0.41    1.07    1.10    1.49
 2029    1.40    2.06    1.43    1.26    0.87
 2030    1.21    1.77    0.90    0.78    1.38
 2031    1.55    2.35    1.25    1.57    1.03
 2032    1.95    2.62    1.59    1.53    2.06
 2033    1.47    0.99    1.42    1.47    2.00
 2034    2.13    3.20    2.36    1.74    1.21
 2035    1.30    0.65    1.20    1.73    1.61
 2036    1.79    1.78    1.72    1.90    1.75
 2037    1.88    2.65    1.81    1.54    1.53
 2038    1.77    2.51    1.67    1.41    1.47
 2039    1.42    0.91    1.93    1.61    1.23
 2040    2.23    2.97    2.23    1.61    2.12
 2041    2.49    3.73    2.55    1.86    1.82
 2042    1.60    2.19    1.43    1.76    1.03
 2043    1.79    0.85    2.09    2.11    2.12
 2044    2.03    2.44    1.93    1.92    1.83
 2045    1.96    2.46    2.03    1.83    1.51
 2046    1.74    1.45    1.87    1.66    2.00
 2047    1.91    2.05    2.27    1.73    1.61
 2048    1.83    1.75    2.52    1.92    1.15
 2049    1.73    1.00    2.12    1.69    2.12
 2050    2.17    3.04    2.21    2.00    1.42
 2051    1.95    1.91    2.03    1.98    1.88
 2052    2.00    1.60    2.31    2.08    2.01
 2053    2.84    3.61    2.84    2.41    2.51
 2054    2.38    2.84    2.37    2.25    2.05
 2055    2.49    2.74    2.71    2.12    2.38
 2056    2.65    3.11    2.94    2.41    2.13
 2057    2.80    2.87    2.64    2.63    3.05
 2058    3.23    3.41    3.63    2.85    3.02
 2059    2.87    4.24    2.57    2.15    2.51
 2060    2.34    1.60    2.56    2.34    2.86
 2061    3.08    4.18    2.99    3.07    2.10
 2062    2.59    2.96    2.71    2.38    2.31
 2063    3.18    3.73    3.04    2.66    3.28
 2064    3.38    4.57    3.55    2.93    2.48
 2065    3.11    3.60    2.82    2.92    3.11
 2066    3.08    3.61    3.38    2.68    2.66
 2067    3.03    2.50    3.16    3.02    3.43
 2068    3.71    4.39    4.11    3.42    2.91
 2069    3.32    4.13    3.24    2.91    3.01
 2070    3.89    3.74    4.30    3.61    3.92
 2071    3.25    4.15    3.04    2.99    2.82
 2072    3.34    3.10    3.17    3.63    3.47
 2073    3.34    4.40    3.14    2.89    2.92
 2074    3.70    3.20    3.72    3.58    4.30
 2075    4.05    4.59    4.03    3.92    3.66
 2076    3.60    3.81    3.69    3.34    3.55
 2077    3.84    3.84    4.24    3.72    3.55
 2078    4.62    4.76    5.01    4.21    4.49
 2079    3.85    4.16    4.33    4.12    2.77
 2080    3.96    3.58    4.29    3.65    4.33
 2081    4.14    3.98    4.38    4.28    3.93
 2082    4.66    5.49    4.49    4.47    4.19
 2083    4.38    4.42    4.17    4.22    4.72
 2084    5.25    6.15    5.58    4.87    4.41
 2085    4.26    4.83    4.52    3.63    4.06
 2086    4.71    4.97    4.83    4.71    4.35
 2087    5.02    5.45    5.29    4.70    4.65
 2088    4.98    4.75    5.03    4.93    5.19
 2089    4.89    5.10    4.93    4.54    4.99
 2090    5.43    6.35    5.76    4.64    4.98
 2091    4.23    3.54    4.29    4.66    4.44
 2092    5.12    5.68    5.90    4.91    4.01
 2093    4.67    4.97    4.52    4.33    4.84
 2094    5.63    4.63    6.42    5.39    6.07
 2095    5.63    6.73    6.11    4.84    4.83
 2096    4.85    4.60    4.85    4.30    5.65
 2097    5.35    6.34    5.31    4.94    4.81
 2098    5.95    5.67    6.33    5.74    6.05
 2099    6.04    6.36    6.68    5.86    5.26
 2100    6.03    6.61    5.77    5.51    6.24
Projections under SRES A1B scenario
 2000    0.66    1.01    0.92    0.65    0.05
 2001    0.25   -0.28    0.00    0.51    0.75
 2002    1.26    2.46    1.28    0.87    0.42
 2003    0.29    0.14    0.17    0.42    0.42
 2004    1.13    0.93    1.12    1.23    1.23
 2005    1.06    1.28    0.97    0.90    1.11
 2006    1.22    1.39    1.43    1.04    1.04
 2007    0.54    0.05    0.19    0.54    1.40
 2008    1.27    2.52    1.12    1.00    0.43
 2009    0.77    0.60    0.88    1.01    0.59
 2010    1.33    2.40    1.56    0.93    0.42
 2011    0.73    0.37    0.83    0.66    1.06
 2012    1.02    1.63    0.97    1.04    0.44
 2013    0.45   -0.36    0.68    0.75    0.74
 2014    1.07    1.07    1.07    0.98    1.15
 2015    1.42    2.37    1.05    1.11    1.15
 2016    1.09    1.20    0.72    0.95    1.50
 2017    1.02    0.58    1.55    1.04    0.91
 2018    0.49    0.45    0.16    0.62    0.71
 2019    0.54   -0.60    0.36    1.14    1.25
 2020    1.86    3.46    1.47    1.23    1.28
 2021    0.96    1.59    0.88    0.72    0.67
 2022    1.28    2.03    1.50    0.98    0.60
