Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual     JFM     AMJ     JAS     OND
        26.56   26.75   27.86   25.48   26.18
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960    0.13   -0.22   -0.05    0.80   -0.02
 1961   -0.22    0.71   -0.21   -0.64   -0.72
 1962   -0.58   -1.35   -0.52   -0.31   -0.13
 1963   -0.40   -0.39   -0.33   -0.15   -0.73
 1964   -0.66   -0.44   -0.70   -0.67   -0.83
 1965   -0.95   -0.71   -0.97   -1.22   -0.90
 1966   -0.73   -0.70   -0.50   -1.07   -0.67
 1967    0.04    0.27   -0.36    0.12    0.15
 1968   -0.35    0.16   -0.31   -0.64   -0.61
 1969    0.09    0.07    0.37   -0.30    0.24
 1970   -0.85   -0.53   -0.92   -1.31   -0.65
 1971   -0.05   -0.91   -0.04    0.66    0.08
 1972   -0.13   -0.22   -0.03   -0.19   -0.07
 1973   -0.20   -0.22   -0.48   -0.07   -0.06
 1974    0.00    0.21    0.23   -0.29   -0.14
 1975    0.02    0.33    0.06   -0.29   -0.01
 1976   -0.44   -0.69   -0.01   -0.51   -0.53
 1977    0.15    0.00    0.03    0.54    0.05
 1978   -0.07    0.11   -0.05   -0.38    0.02
 1979   -0.19    0.10   -0.28   -0.20   -0.38
 1980    0.32    1.26    0.18   -0.08   -0.08
 1981    0.34    0.15    0.48    0.70    0.04
 1982    0.21    0.63    0.08    0.21   -0.07
 1983   -0.51   -1.16   -0.54   -0.10   -0.22
 1984   -0.14   -0.34   -0.08   -0.02   -0.13
 1985    0.16    0.71   -0.10    0.13   -0.09
 1986   -0.33   -0.69    0.12   -0.64   -0.09
 1987   -0.17   -0.39   -0.31   -0.31    0.31
 1988    0.21   -0.50    0.11    0.75    0.46
 1989    0.04    0.12    0.50   -0.19   -0.27
 1990    0.28    0.01   -0.13    0.62    0.61
 1991    0.60    1.03    0.70    0.20    0.47
 1992   -0.13   -0.36   -0.10    0.03   -0.07
 1993    0.46    0.80    0.08    0.98   -0.02
 1994    0.26    0.15    0.39    0.30    0.19
 1995   -0.11    0.02   -0.35    0.02   -0.15
 1996    0.01   -0.02    0.20   -0.03   -0.12
 1997    0.06   -0.03   -0.05   -0.26    0.57
 1998    0.26    0.46    0.37   -0.04    0.26
 1999   -0.05    0.01   -0.07   -0.23    0.06
 2000    0.49   -0.10    0.43    0.99    0.66
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    0.33   -0.23    0.23    0.92    0.41
 2002    0.38    0.82    0.27   -0.09    0.50
 2003    0.46   -0.40    0.48    1.25    0.51
 2004    0.67    1.33    0.50    0.53    0.33
 2005   -0.23    0.26   -0.50   -0.63   -0.05
 2006   -0.26   -0.29   -0.37   -0.54    0.14
 2007    0.41    0.65    0.02    0.45    0.53
 2008    0.97    1.29    0.73    0.95    0.91
 2009    0.47    0.99    0.57    0.08    0.24
 2010    0.66    0.28    0.49    1.09    0.77
 2011    0.44    0.56    0.40    0.38    0.42
 2012    0.61    0.21    0.06    0.74    1.42
 2013    0.33    1.14    0.42   -0.03   -0.19
 2014   -0.02   -0.20    0.34    0.06   -0.28
 2015    0.26    0.00    0.33    0.40    0.30
 2016    0.33   -0.07    0.16    0.68    0.57
 2017    0.77    1.20    0.70    0.95    0.22
 2018    0.47    0.66    0.28    0.16    0.78
 2019    0.26   -0.31   -0.23    0.73    0.83
 2020    1.14    2.27    1.23    0.61    0.46
 2021    0.28    0.49    0.09    0.14    0.41
 2022    0.39    0.44    0.24    0.23    0.63
 2023    0.70    1.24    0.39    0.82    0.37
 2024    0.11    0.05    0.05    0.09    0.23
 2025    1.10    0.97    1.38    0.98    1.06
 2026    0.49    0.61    0.57    0.19    0.58
 2027    0.60    0.79    0.21    0.41    1.00
 2028    0.88    1.02    0.67    1.05    0.77
 2029    0.51    0.49    0.49    0.31    0.77
 2030    1.01    0.47    0.86    1.53    1.18
 2031    0.73    1.12    0.57    0.84    0.40
 2032    1.07    0.92    0.95    1.18    1.24
 2033    0.51    0.40    0.60    0.45    0.58
 2034    0.53   -0.28    0.55    0.94    0.90
 2035    1.02    1.27    1.02    1.01    0.76
 2036    0.70    0.33    0.30    0.90    1.29
 2037    1.63    2.50    1.69    1.53    0.78
 2038    0.94    0.81    0.50    1.09    1.36
 2039    1.19    1.82    1.26    0.69    1.00
 2040    1.29    1.37    0.71    1.31    1.76
 2041    1.61    2.92    1.46    1.19    0.86
 2042    0.94    0.67    0.89    1.18    1.02
 2043    1.14    1.28    1.12    1.16    1.00
 2044    0.41    0.45    0.52    0.35    0.30
 2045    1.13    0.90    0.98    1.25    1.40
 2046    1.04    0.87    1.12    1.29    0.86
 2047    1.25    1.01    0.92    1.64    1.42
 2048    1.45    1.76    1.78    1.17    1.11
 2049    0.76    0.43    0.58    0.38    1.67
 2050    1.85    2.19    1.31    1.95    1.96
 2051    1.04    0.96    1.33    0.90    0.97
 2052    1.36    0.92    1.06    1.70    1.75
 2053    1.29    2.28    1.26    0.65    0.94
 2054    1.09    0.64    0.87    1.56    1.30
 2055    1.35    1.25    1.67    1.39    1.08
 2056    1.96    2.47    1.80    1.65    1.91
 2057    1.70    2.13    1.38    1.82    1.48
 2058    2.31    2.61    1.77    2.51    2.36
 2059    1.69    2.54    1.46    1.39    1.36
 2060    1.89    1.03    1.29    2.49    2.76
 2061    2.40    3.69    2.46    1.75    1.71
 2062    1.35    1.37    1.29    1.41    1.31
 2063    2.14    2.05    1.99    2.56    1.97
 2064    1.17    1.49    1.28    0.68    1.22
 2065    1.36    0.90    0.86    1.66    2.00
 2066    1.40    1.40    1.49    1.01    1.71
 2067    1.99    1.23    1.62    2.72    2.39
 2068    2.22    2.17    2.24    2.21    2.26
 2069    2.04    2.34    1.89    2.12    1.81
 2070    2.67    2.54    2.35    2.85    2.97
 2071    2.52    2.87    2.43    2.44    2.35
 2072    1.86    2.25    1.85    1.42    1.92
 2073    2.09    1.35    1.74    2.49    2.79
 2074    3.03    3.71    2.89    2.92    2.62
 2075    1.97    2.77    1.78    1.29    2.05
 2076    2.38    2.26    2.07    2.87    2.31
 2077    2.93    2.23    2.48    3.39    3.63
 2078    3.47    4.32    3.15    3.36    3.03
 2079    2.15    2.58    2.16    1.80    2.05
 2080    2.11    1.46    1.96    2.49    2.53
 2081    2.54    3.35    2.10    2.38    2.32
 2082    2.68    2.17    2.37    3.12    3.05
 2083    3.22    4.82    2.68    2.76    2.61
 2084    1.82    2.12    2.01    1.61    1.53
 2085    1.89    1.65    1.97    1.66    2.26
 2086    2.50    2.81    2.51    2.63    2.06
 2087    2.57    2.28    2.71    2.91    2.39
 2088    2.42    1.41    2.38    2.83    3.04
 2089    3.10    3.78    3.03    2.99    2.58
 2090    2.45    2.14    2.73    2.27    2.65
 2091    2.51    2.28    2.46    2.47    2.81
 2092    2.66    3.15    2.68    2.47    2.32
 2093    3.14    2.22    2.39    4.01    3.93
 2094    3.39    4.14    2.95    3.20    3.25
 2095    2.66    3.15    2.71    1.86    2.91
 2096    2.96    3.05    2.82    2.99    2.98
 2097    3.12    2.77    2.91    3.88    2.91
 2098    3.38    4.26    3.40    2.96    2.89
 2099    3.46    2.94    2.88    3.59    4.44
 2100    3.82    4.66    4.02    3.16    3.44
Projections under SRES A1B scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    0.16   -0.02    0.00    0.41    0.27
 2002    0.39   -0.13    0.53    0.72    0.43
 2003    0.18    0.95    0.11   -0.17   -0.16
 2004   -0.10   -0.42   -0.02   -0.12    0.15
 2005    0.41    0.61    0.13    0.44    0.45
 2006   -0.35   -0.02   -0.49   -0.39   -0.51
 2007    0.27    0.40    0.11    0.36    0.22
 2008    0.23   -0.08    0.46    0.18    0.35
 2009    0.54    0.07    0.23    1.05    0.82
 2010    0.04    0.96    0.11   -0.75   -0.17
 2011    0.28   -0.32   -0.29    0.75    0.98
 2012    0.81    1.55    1.05    0.45    0.18
 2013    0.20    0.31    0.10   -0.05    0.42
 2014    0.64    0.78    0.51    0.93    0.33
 2015    0.28   -0.30    0.36    0.49    0.56
 2016    0.39    0.12    0.51    0.50    0.43
 2017    0.09    0.10    0.08   -0.35    0.51
 2018    0.50    0.04   -0.06    0.95    1.06
 2019    1.27    1.61    1.35    1.39    0.73
 2020    0.07   -0.06    0.35   -0.40    0.39
 2021    0.14    0.03    0.07    0.53   -0.05
 2022    0.60    0.37    0.68    0.64    0.69
 2023    0.76    0.08    0.64    1.42    0.92
 2024    0.65    0.94    0.57    0.25    0.85
 2025    0.70    0.96    0.74    0.55    0.55
 2026    0.98    1.44    0.86    0.98    0.62
 2027    0.25    0.25    0.04    0.40    0.30
 2028    0.89    0.94    0.92    0.79    0.91
 2029    0.77    1.07    0.84    0.32    0.85
 2030    0.39    0.74    0.48    0.15    0.19
 2031    0.64    0.88    0.92    0.36    0.41
 2032    0.21    0.30    0.21   -0.25    0.57
 2033    1.17    0.96    0.95    1.31    1.47
 2034    1.53    2.36    1.36    1.11    1.28
 2035    0.75    0.93    0.56    0.72    0.78
 2036    1.08    1.04    1.19    0.89    1.20
 2037    1.47    1.50    1.25    1.59    1.53
