Frequency of Hot Days - Observed Data
NaN indicates insufficient data is available
Refer to Accompanying Documentation
Average Climatology 1970-1999
       Annual     DJF     MAM     JJA     SON
        11.50   11.46   11.20   10.91   10.95
Timeseries (% days occurring)
YEAR   Annual     DJF     MAM     JJA     SON
1960     5.47    4.19    4.52    7.15     NaN
1961     3.21    3.69    6.59    1.68    0.76
1962     1.82    9.12    1.94    1.42    0.31
1963     6.89    4.33    3.12   10.66    9.24
1964     1.94    2.90    4.08    1.46    0.00
1965     2.19    5.45    3.64    1.51    2.08
1966     7.51    5.31    1.81   14.85    5.14
1967     4.27    1.88    3.70    2.12    1.74
1968     6.50   17.84    4.58    8.62    7.07
1969    12.03   18.00   16.70   10.26    6.55
1970    14.71    3.41   15.88   19.63   11.42
1971     5.82    4.29    9.77    7.59    3.49
1972     6.85   22.17    5.06    6.08    8.69
1973    20.98    6.18   21.47   20.96   16.11
1974     3.86    2.93    4.35    6.02    3.24
1975     2.94    2.92    1.23    3.55    3.07
1976     2.09    2.88    2.83    0.69    1.66
1977     7.23    5.84   11.97    6.06    8.49
1978     3.93   15.79    0.54    3.41    4.01
1979     6.41    6.82    7.72    2.02    4.36
1980      NaN    6.71    4.89    4.35    9.97
1981    10.06   14.05    8.05    6.80   13.57
1982     6.18   15.07    1.99    5.63    3.41
1983    15.81   13.92   34.64    7.06   18.90
1984    13.53    6.45    9.18   23.93   14.29
1985     6.51   15.51    4.32   12.18    9.57
1986     8.59   12.61    6.04    7.38    5.70
1987    26.51   23.76   33.87   35.19   29.63
1988    14.49    7.04   16.14    7.40   16.61
1989    15.29   16.87   14.05   13.64   20.12
1990    21.14   21.99   23.59   20.52   23.65
1991    11.38    5.65    4.96    6.90     NaN
1992     6.99    8.81    4.37    4.37     NaN
1993    17.12    6.83   16.23   13.94     NaN
1994      NaN    6.16   11.55    9.31     NaN
1995    16.67   21.40   19.16   21.77     NaN
1996    15.01   13.97   14.14   14.89     NaN
1997    19.01   28.80    5.51   14.11     NaN
1998      NaN   10.53     NaN     NaN     NaN
1999      NaN   14.39     NaN     NaN     NaN
2000      NaN    0.77     NaN     NaN     NaN
2001      NaN     NaN     NaN     NaN     NaN
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
