Mean Temperature (Degrees C) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
 Year  Annual     JFM     AMJ     JAS     OND
 1960   25.38   26.38   26.42   23.91   24.79
 1961   26.07   27.11   27.09   24.32   25.74
 1962   25.84   27.29   26.45   24.20   25.40
 1963   25.98   26.89   26.89   24.76   25.39
 1964   25.80   27.31   26.72   23.97   25.21
 1965   25.88   26.93   26.70   24.41   25.50
 1966   26.08   27.30   26.97   24.55   25.49
 1967   26.01   27.28   26.84   24.17   25.74
 1968   26.18   27.27   26.71   24.73   26.00
 1969   26.48   28.16   27.62   24.50   25.66
 1970   26.45   28.10   27.75   24.30   25.66
 1971   25.85   27.07   27.05   23.90   25.38
 1972   26.07   27.46   26.45   24.64   25.73
 1973   26.54   28.21   27.69   24.68   25.59
 1974   25.89   27.14   27.00   24.24   25.19
 1975   25.86   26.99   27.05   24.00   25.41
 1976   25.67   26.98   26.54   24.16   25.02
 1977   26.39   27.64   27.75   24.51   25.68
 1978   25.95   27.63   26.35   24.24   25.59
 1979   26.35   28.00   27.05   24.70   25.66
 1980   26.43   28.23   27.54   24.59   25.34
 1981   26.55   27.90   27.50   24.58   26.21
 1982   26.36   27.68   27.32   24.71   25.73
 1983   26.90   28.09   28.16   24.91   26.43
 1984   26.57   27.95   27.36   25.00   25.96
 1985   26.48   28.16   27.43   24.44   25.88
 1986   26.39   27.91   27.82   24.40   25.43
 1987   27.14   28.27   28.34   25.53   26.45
 1988   26.78   28.53   27.85   24.64   26.09
 1989   26.43   27.02   27.84   24.74   26.15
 1990   26.91   28.29   27.94   24.89   26.52
 1991   26.49   28.36   27.33   24.77   25.50
 1992   26.30   27.79   27.40   24.33   25.69
 1993   26.64   27.53   28.03   24.66   26.32
 1994   26.52   28.17   27.75   24.68   25.48
 1995   26.70   27.98   27.87   24.88   26.07
 1996   26.66   28.51   27.63   24.57   25.93
 1997   26.61   27.85   27.14   25.05   26.39
 1998   27.14   28.79   28.43   24.99   26.35
 1999   26.67   28.20   28.07   24.54   25.86
 2000   26.61   27.89   28.22   24.58   25.76
 2001   26.65   27.82   27.95   24.61   26.21
 2002   26.53   27.69   28.17   24.79   25.48
 2003   26.67   28.28   27.93   24.64   25.82
 2004   26.59   27.97   27.71   24.66   26.04
 2005   26.73   28.25   28.01   24.73   25.93
 2006   25.80   27.31   27.22   24.19   24.46
