Mean Temperature (Degrees C) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual     JFM     AMJ     JAS     OND
      26.4568      27.8806      27.5143      24.6087      25.8237
Timeseries in Anomalies relative to 1970-1999 mean (degrees C)
 Year  Annual     JFM     AMJ     JAS     OND
 1960   -0.44   -0.92   -0.31   -0.19   -0.33
 1961    0.05   -0.38    0.47    0.06    0.40
 1962   -0.35   -0.03   -0.66   -0.12   -0.07
 1963   -0.15   -0.32   -0.05    0.40   -0.16
 1964   -0.28   -0.08   -0.32   -0.41   -0.10
 1965   -0.15   -0.27   -0.35    0.13   -0.01
 1966    0.10   -0.14    0.04    0.43    0.06
 1967   -0.22   -0.47   -0.45   -0.05    0.10
 1968   -0.07   -0.52   -0.53    0.39    0.38
 1969    0.19    0.40    0.27    0.21   -0.05
 1970    0.09    0.32    0.39   -0.11   -0.07
 1971   -0.40   -0.62   -0.24   -0.35   -0.28
 1972   -0.29   -0.19   -0.70    0.27    0.11
 1973    0.32    0.39    0.72    0.33   -0.12
 1974   -0.37   -0.62   -0.13   -0.08   -0.56
 1975   -0.44   -0.80   -0.01   -0.49   -0.20
 1976   -0.69   -0.82   -0.78   -0.32   -0.66
 1977   -0.02   -0.14    0.32    0.02    0.06
 1978   -0.32   -0.12   -0.79   -0.18   -0.13
 1979    0.07    0.25   -0.16    0.32   -0.07
 1980   -0.01    0.43    0.09    0.18   -0.22
 1981    0.36    0.22    0.30    0.28    0.65
 1982    0.16    0.01    0.03    0.45    0.15
 1983    0.65    0.47    0.85    0.56    1.01
 1984    0.39    0.23    0.08    0.79    0.44
 1985    0.32    0.54    0.17    0.17    0.43
 1986    0.15    0.28    0.53    0.04   -0.26
 1987    1.02    0.65    1.39    1.22    0.80
 1988    0.46    0.94    0.48    0.19    0.50
 1989    0.17   -0.58    0.53    0.35    0.39
 1990    0.72    0.54    0.64    0.54    1.16
 1991    0.37    0.90    0.37    0.33    0.02
 1992    0.00    0.15    0.10   -0.20   -0.04
 1993    0.47    0.07    1.18    0.12    0.66
 1994    0.29    0.36    1.03    0.37   -0.20
 1995    0.33    0.43    0.48    0.43    0.43
 1996    0.32    0.76    0.22    0.11    0.26
 1997    0.45    0.31   -0.07    0.75    0.81
 1998    0.90    1.09    1.17    0.70    0.69
 1999    0.40    0.55    1.17    0.04    0.17
 2000    0.46    0.51    1.23    0.46    0.43
 2001    0.64    0.36    0.75    0.44    1.08
 2002    0.52    0.37    0.94    0.56    0.49
 2003    0.63    0.84    0.89    0.55    0.70
 2004    0.61    0.55    0.72    0.61    0.92
 2005    0.73    0.93    0.72    0.66    0.88
 2006    0.05   -0.02   -0.38    0.50    0.10
