Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual       JF      MAM     JJAS      OND
         10.00    10.02     9.98    10.02     9.99
Timeseries (% days occurring)
Year    Annual       JF      MAM     JJAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     10.53    17.70     4.98     9.95    10.08
1962     13.11    11.65    15.21    11.60    15.44
1963     11.03    10.43    11.47    11.38     9.54
1964     14.22    10.85     7.98    11.97    27.17
1965     17.32    21.40    21.53    16.66    15.30
1966     12.46    14.06    16.61    12.52     9.80
1967      8.95    13.04     8.77     8.83     5.18
1968      8.87    10.88    10.47     6.15    10.53
1969     11.26    15.00     5.79    11.33    14.09
1970     13.58    17.59    17.10    11.34    13.63
1971     11.05     9.82    10.88    11.41     8.79
1972     15.08    17.96    18.58    16.41    10.22
1973     11.20     8.81     9.38     9.62    16.68
1974      9.37    11.02     2.66     8.72    11.03
1975      7.04     2.66     4.91     8.16    10.39
1976     12.87    10.83    23.11    13.01     6.50
1977      8.63     6.56    11.95     9.72     4.52
1978      9.71    10.97     8.18    11.73     8.75
1979     11.18     8.16    10.73    13.14    10.00
1980      8.29     5.73    11.15     7.31     9.95
1981      8.48     7.66     2.81     7.23    15.74
1982     14.58    15.80    17.42    15.26    13.14
1983      8.44     5.69     8.09     9.80     9.23
1984     10.99    12.04     9.31    14.25     7.00
1985     12.05     7.06    15.03    12.35    14.84
1986     11.98    15.73    10.63    10.27    13.29
1987     10.20    13.02     9.61    10.30     8.56
1988      6.44     9.70     6.67     4.48     5.27
1989      9.29    14.47     7.29     6.54    11.08
1990      8.46     4.93    11.28     9.42     8.69
1991      9.68     3.20     1.99     9.61    17.57
1992     15.51    12.90    18.63    16.00    15.32
1993     11.44    18.08     7.44    11.24     9.89
1994     10.31    14.37    14.49     7.74     6.79
1995      5.54     4.69     3.21     4.42    10.01
1996      9.19     9.00     7.76    10.19     7.52
1997      6.17     4.59     8.03     5.69     7.03
1998      4.66     3.72     2.34     6.12     4.67
1999      8.65    13.76     8.78     9.00     3.62
2000      5.34     4.82     5.40     4.24     6.45
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
