Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual       JF      MAM     JJAS      OND
         10.00     9.98     9.98    10.01     9.99
Timeseries (% days occurring)
Year    Annual       JF      MAM     JJAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     20.82     1.66     8.63    23.28    48.55
1962     17.90    21.06    28.76    16.93    22.73
1963     18.32    19.98    20.61    30.10    15.22
1964     25.53     7.21    33.25    36.77    42.72
1965     37.03    46.67    61.94    57.99    41.66
1966     29.65    39.42     7.44    43.40    43.13
1967     14.84    19.03    26.49    14.29    13.65
1968     14.28     9.44    13.76    18.26    13.56
1969     12.75    31.84     7.07    10.86     8.88
1970     35.23    18.25    40.74    45.92    68.62
1971      8.96    25.30    20.86     5.97    10.71
1972     12.58    10.22     3.31    11.33    18.59
1973     15.20    18.03    44.48    14.27     8.41
1974     12.07     9.19    10.78    13.85     7.49
1975     13.20     5.85     6.82    18.11    13.73
1976     13.34    25.88    10.39    14.09    12.34
1977      9.97    13.37    11.60     9.70     5.22
1978     12.54    14.59     7.59    13.88     7.30
1979     13.05    15.91    21.44    12.84     5.30
1980      5.44     3.51     1.16     4.10     9.84
1981      5.08     8.83     7.02     2.58     1.77
1982      9.47     7.07     4.55    12.18     8.83
1983     12.87    10.29    17.87    16.82     7.88
1984      7.76     6.53     4.68     6.91     7.58
1985     14.01    21.62    12.42     7.99    12.66
1986     11.83     6.01     4.25    13.72    12.41
1987      7.40     6.48     3.49     6.73     7.51
1988      4.82    10.06     4.95     0.98     1.71
1989      6.83     2.37     1.72     6.93    14.65
1990      6.63    10.49     4.43     6.21     1.39
1991      2.02     0.14     0.05     0.60     5.99
1992      6.11     5.43     4.84     5.01     5.20
1993      7.14     5.03     1.86     6.74     1.45
1994      4.46     2.51     3.70     1.64     9.44
1995      8.92     5.95    16.48    13.02     2.32
1996      9.11    12.09     2.72     8.33     8.58
1997      8.61    11.15     4.49     7.37     4.16
1998      5.45     1.46     7.41     4.36     7.30
1999      9.97     5.87    13.17     8.07    11.28
2000      3.04     3.50     5.15     0.73     4.41
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      0.92     0.00     0.07     0.00     4.86
2047      0.48     0.01     1.29     0.00     0.04
2048      2.49     3.25     0.01     1.03     1.89
2049      3.04     1.91     0.88     2.22     0.70
2050      0.16     0.01     0.03     0.02     0.00
2051      1.51     2.14     1.67     0.22     0.65
2052      0.25     0.20     0.00     0.13     0.00
2053      1.12     0.00     0.03     0.25     0.07
2054      0.11     0.17     0.53     0.00     0.00
2055      0.11     0.02     0.17     0.00     0.00
2056      0.62     1.22     0.00     0.14     0.05
2057      1.00     2.62     0.00     0.58     0.00
2058      0.62     1.75     0.00     0.00     0.00
2059      0.50     1.49     0.00     0.00     0.04
2060      0.41     0.00     0.19     0.06     0.00
2061      0.21     0.00     0.00     0.17     0.11
2062      0.95     2.49     0.13     0.00     0.60
2063      0.05     0.38     0.24     0.00     0.01
2064      0.47     0.00     0.36     0.13     0.49
2065      1.15     3.86     0.53     0.00     0.00
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      0.06     0.00     0.00     0.00     0.00
2082      0.15     0.14     0.00     0.00     0.00
2083      0.07     0.00     0.00     0.00     0.37
