Frequency of Hot Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual       JF      MAM     JJAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     11.32    24.89    15.93    14.24    11.83
1962     10.48    19.64    13.52    10.06     9.78
1963     11.53     9.14    14.40    10.81    10.62
1964     11.67     6.60     9.93    16.20    11.87
1965     10.61    11.15    11.94    13.28    12.73
1966      9.93     9.11    10.63    12.19     7.37
1967     15.16    13.79    17.31    16.60    14.82
1968     10.68    12.85     7.91    13.69    16.95
1969     16.04    10.97    22.91    13.57    16.60
1970     21.39    13.41    29.32    26.57    22.10
1971     20.17    33.56    47.61    11.02     7.57
1972     10.32    11.13    15.78    11.93    11.48
1973     16.27    15.13    30.51    14.56    12.26
1974     15.72    12.69    11.98    26.81    21.45
1975     21.07    24.64    34.08    16.72    21.81
1976     12.29    13.00    14.02    16.13    14.03
1977      9.89    19.24    12.71    12.97    25.01
1978     15.91    22.15    17.17    17.69    14.92
1979     14.15    16.01    13.11    15.72     9.92
1980     24.22    25.83    50.48    18.65    28.08
1981     12.57    23.32    16.94    17.68    20.56
1982     16.34    25.23    21.63    12.95    12.52
1983     13.66    26.38    21.04    15.74    15.10
1984     14.55    17.31    14.39    17.38    12.01
1985     12.57    14.98    19.98    13.09    19.08
1986     10.73    24.86    11.02    12.08    14.41
1987     17.46    21.81    23.68    19.10    24.37
1988     22.11    21.39    25.17    30.29    48.19
1989     22.54    38.49    36.58    21.42    19.14
1990     18.33    18.35    15.27    26.20    55.62
1991     30.88    52.16    70.30    24.19    15.57
1992     16.34    23.10    25.53    13.64    15.39
1993     20.04    15.10    15.49    31.22    43.21
1994     20.72    32.56    27.15    26.88    24.56
1995     28.62    27.17    26.61    32.13    63.13
1996     16.37    22.64    22.92    16.55    22.12
1997     28.09    23.45    40.48    33.50    28.53
1998     22.57    36.69    37.16    18.29    21.22
1999     25.11    35.56    26.83    27.58    42.32
2000     21.84    29.60    36.50    31.74    42.30
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     67.74    63.44    85.48    82.08    89.25
2047     75.93    67.77    69.16    92.38    97.34
2048     70.63    76.30    96.46    79.03    85.45
2049     68.12    78.34    75.69    72.20    85.38
2050     79.33    74.12    90.64    91.82    97.90
2051     76.58    77.60    83.45    78.51    90.09
2052     76.74    79.07    90.70    80.82    96.25
2053     82.35    94.55    92.31    86.45    93.91
2054     78.36    88.95    81.56    92.24    94.17
2055     78.83    80.49    95.72    87.89    97.28
2056     83.98    89.08    98.61    93.15    94.75
2057     82.88    86.53    93.78    87.98    99.50
2058     92.54    92.86    99.76    98.87    97.91
2059     79.73    86.04    98.75    88.48    90.47
2060     83.86    73.03    81.67    91.12    99.92
2061     89.36    98.61    99.86    94.94    96.24
2062     83.92    83.15    93.25    92.93    94.58
2063     94.15    86.81    98.43    98.72    99.45
2064     88.51    92.75    97.87    94.16    94.60
2065     88.89    90.29    87.96    91.54    99.70
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
