Frequency of Hot Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual       JF      MAM     JJAS      OND
          9.98    10.00     9.95     9.99    10.03
Timeseries (% days occurring)
Year    Annual       JF      MAM     JJAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      9.53     8.03    11.55     6.85    11.83
1962      8.05     6.51     6.37    10.06     7.84
1963      8.44     9.14     6.87     7.97    10.62
1964      6.42     5.81     9.93     4.98     1.65
1965      3.14     4.07     1.67     3.73     3.77
1966      5.75     6.38     5.08     6.35     7.37
1967      7.57    13.79     5.61    10.70     5.12
1968     10.01     9.66     5.95    13.69    12.80
1969      8.74     7.11     8.31    11.55     3.08
1970      5.81     2.87     4.20     6.05     8.58
1971      7.05     8.66     8.51     6.45     4.92
1972      5.05     3.24     4.16     5.20     5.94
1973     10.27     9.97    13.99     8.41     6.51
1974     12.72     7.25    11.98    15.34    16.95
1975     10.53    18.07    13.67     6.50     4.82
1976      9.15     5.38     3.45    12.48    14.03
1977      9.89     7.75    11.41     9.10     8.42
1978     10.38    12.95    13.64     8.44     6.92
1979      8.06     6.09     7.35     5.68     8.63
1980     11.36     8.72     8.36    15.02    13.04
1981     12.45    23.32    16.94     8.46     6.75
1982      6.88     9.60     4.08     8.74     7.80
1983      8.61     9.88     9.24     7.38     3.83
1984      9.81    12.51    10.64     9.91     5.88
1985      6.99     8.95     7.89     7.25     4.22
1986      6.98     4.11     6.92     5.97     7.61
1987     10.35     6.45    11.35     8.84    10.08
1988     13.49     5.75    16.25    17.61    12.46
1989      9.81    10.38     6.88    11.35    10.51
1990     12.33    11.58     8.36     8.88    22.28
1991     13.47    24.17    17.21     5.40     8.85
1992      4.07    11.57     2.16     3.72     3.87
1993      6.42     3.12     9.19     6.90     6.68
1994     11.87     3.27     7.39    16.73    16.59
1995     13.80    16.26    11.87    19.52    11.41
1996      8.56     4.32     6.66    12.83    10.39
1997     17.18     8.87    16.21    18.66    28.53
1998     15.04    29.00    20.30     9.78     8.80
1999     11.10     5.88     8.36    13.25    15.48
2000     17.36    11.49    20.04    19.51    16.09
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
