Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual       JF      MAM     JJAS      OND
          9.97    10.02    10.00     9.97    10.05
Timeseries (% days occurring)
Year    Annual       JF      MAM     JJAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      3.55     0.83     3.29     3.66     5.79
1962      4.22     1.16     1.59     8.46     7.09
1963      7.62     4.09     9.77     6.73     3.25
1964      2.36     2.46     1.55     3.04     2.09
1965      7.91     3.21     7.05    12.05     4.33
1966     12.34    12.70    19.95     4.67     1.84
1967      6.83     1.97     8.28     5.36     3.01
1968     12.63     9.86    13.34    18.53     1.77
1969     12.49    16.32    20.84     6.22     2.46
1970      8.46     0.81    14.03     5.06     3.93
1971      3.54     1.56     2.44     2.42     2.69
1972      3.53     8.05     0.81     4.25     2.93
1973      8.64     6.54     7.44     2.99    13.10
1974     11.52    13.98     5.93    17.81    10.87
1975      9.82     5.54    12.93     8.17    10.68
1976      5.64     5.19     5.51     5.98     5.55
1977      6.71     4.91     6.49     7.49     7.80
1978     14.00    20.11    22.19     5.66     2.86
1979      8.11     5.98     7.09     5.30    11.25
1980      6.08     2.61     9.30     8.76     3.45
1981     11.99    12.80     9.88     9.43    31.68
1982     13.76    23.09    17.35    11.84     6.06
1983      9.14     4.32    14.22     7.20     2.24
1984      8.81     5.43     5.58    10.36     1.29
1985      4.24     2.75     1.88     9.31     2.77
1986     12.82     4.13    19.55     8.65    25.97
1987     10.19    16.98    10.70     6.77     6.57
1988      8.41     4.44     1.95     7.96    12.87
1989     15.37    13.72    17.13    18.58    12.07
1990     10.46    12.76     5.42    11.08     6.33
1991     15.41    15.88    15.09    15.46    11.45
1992     14.42    23.92    23.35     9.42     4.57
1993     10.42     9.03     6.91     7.92    18.81
1994     16.62    19.71    17.60    21.34    10.22
1995     13.15    10.25    18.28    12.07    17.09
1996      9.65    12.15     5.23    16.25    15.34
1997      8.28    13.35     3.85    10.57     8.59
1998     10.86    13.84     4.05    18.30    13.83
1999      8.93     6.86     7.79    12.60    18.73
2000     13.10    30.24    10.85    12.87     4.90
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     15.11    17.56    11.72    31.30    14.80
2047     24.10    26.70    22.79    40.10    19.76
2048     21.85    32.35    22.31    34.48    23.99
2049     18.07    25.38    17.02    24.78    13.93
2050     16.14    18.93    22.51    22.06    17.53
2051     20.89    33.47    21.65    27.92    34.42
2052     19.74    20.43    15.05    34.76    16.30
2053     18.63    19.96    19.38    37.73    14.09
2054     14.49    15.80    19.32    19.74    14.25
2055     16.40    14.57    10.82    32.25    25.60
2056     18.27    25.45    16.67    30.08    23.98
2057     20.30    14.48    16.84    37.29    39.15
2058     22.49    38.73    20.09    35.44    21.65
2059     17.60    29.09    20.26    22.95    18.55
2060     22.98    25.32    22.47    32.35    28.03
2061     15.32    23.57    15.75    21.83    17.42
2062     17.13     7.80    12.05    31.87    31.35
2063     22.84    28.56    25.15    34.10    25.87
2064     24.29    25.55    27.11    36.08    29.29
2065     20.32    30.85    26.12    27.87    13.08
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     26.12    33.30    27.34    39.49    29.71
2082     28.74    35.65    25.43    38.35    39.45
2083     26.56    33.43    25.07    45.06    25.04
2084     27.48    40.93    21.60    41.13    41.50
2085     29.78    54.69    35.13    41.21    22.19
2086     30.07    36.74    27.60    44.89    37.97
2087     26.44    28.37    33.08    45.27    21.90
2088     25.44    24.74    23.32    42.70    34.69
2089     32.28    51.48    36.85    39.91    30.46
2090     30.29    37.88    37.00    47.07    27.46
2091     26.65    30.76    24.61    43.92    30.09
2092     35.56    66.09    34.07    47.76    38.19
2093     30.46    46.45    25.68    46.49    34.43
2094     34.24    40.42    37.06    47.04    36.75
2095     31.52    50.40    28.88    50.49    32.22
2096     27.27    48.66    26.09    42.66    27.32
2097     27.39    27.27    30.34    42.19    32.63
2098     31.95    46.82    35.88    47.65    29.37
2099     33.75    48.20    34.67    44.39    41.45
2100     28.62    35.30    22.01    49.92    36.68
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     17.00    20.67    12.53    21.14    27.38
2047     16.94    24.82    16.40    24.45    26.21
2048     19.70    31.88    30.32    23.38    13.16
2049     16.79    13.07    13.33    31.46    25.46
2050     20.49    34.92    12.19    30.39    32.35
2051     16.53    21.34    13.04    31.40    23.62
2052     17.32    22.58    21.68    22.57    20.41
2053     14.53    14.27    13.38    32.24    14.27
2054     14.07    14.04    11.71    24.96    17.25
2055     18.37    21.69    15.46    22.06    31.12
2056     21.11    26.23    22.60    30.30    13.96
2057     19.43    10.76    18.77    33.53    27.90
2058     22.27    36.48    19.15    36.60    28.14
2059     15.60    16.99    13.12    23.76    23.18
2060     22.80    32.50    32.62    28.15    18.45
2061     23.62    28.48    23.68    30.46    26.05
2062     21.56    30.40    22.22    32.25    25.77
2063     19.44    41.40    15.93    23.50    20.97
2064     17.32    19.45    16.82    23.00    25.98
