Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual      JF     MAM    JJAS     OND
        143.3    78.3   168.5   116.0   197.6
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960   -1.15  -11.92   34.83  -20.69   -3.91
 1961   -6.71   -0.85   -9.70   -4.29  -10.88
 1962    3.65   26.52  -31.35  -19.93   54.83
 1963  -15.08  -13.94  -47.19   -9.91    9.38
 1964    7.31   34.06   15.41    3.07  -12.98
 1965  -18.31  -20.74  -37.24  -18.78    2.85
 1966   -6.02   17.20  -46.34    0.78    9.76
 1967   -3.52   23.82  -34.95    6.33   -3.46
 1968  -23.15  -27.95  -50.41  -19.49    2.43
 1969  -11.51  -38.94   -6.85    0.00  -13.25
 1970   -2.58    0.55   -3.68   -5.69    0.60
 1971   17.19   24.53   26.35   -5.37   33.22
 1972   25.66  -13.90   47.28   20.13   37.80
 1973    6.18  -20.87   23.72   29.57  -24.52
 1974  -17.55   -1.83  -43.69  -24.85    7.83
 1975  -10.88   -3.60   -4.09   -6.02  -29.00
 1976    8.21   28.24   18.35   -1.72   -2.04
 1977   -4.81   35.41    2.21  -14.59  -25.62
 1978    1.22  -16.08  -16.14   10.14   18.24
 1979  -14.42   -3.84  -25.50    1.69  -31.86
 1980   18.42   34.30   14.76   -3.46   40.64
 1981  -24.41  -30.98  -21.55   11.32  -70.51
 1982   -4.66  -13.51   -3.45   -3.71   -1.23
 1983   13.77    3.31  -15.28   20.84   40.38
 1984   15.00  -23.37   23.31    9.54   39.57
 1985    4.05  -12.51   39.58   -7.56   -4.98
 1986  -23.43   42.00  -46.61   -8.33  -63.99
 1987    4.74   33.63    1.35   -2.02   -2.11
 1988    8.22   -1.16   40.91    4.49  -13.26
 1989    0.69  -10.91    0.48    1.09    8.09
 1990   -4.48  -21.02   10.96   -7.07   -5.43
 1991  -18.90  -20.82  -27.79  -10.84  -19.45
 1992   13.99    2.28   -1.51   28.83   17.49
 1993   -8.46  -13.10   19.00    3.13  -48.28
 1994   -3.26   13.94  -57.59   -5.69   42.85
 1995    3.56    1.12   -7.46   -6.07   29.05
 1996   -3.41    0.98   -8.01   -7.49    3.72
 1997   11.87  -10.77   13.08   -4.17   47.12
 1998   -1.36  -15.69   32.48  -19.94   -0.86
 1999  -10.19   13.68  -31.50    3.80  -23.45
 2000   13.21  -11.76   36.84    1.43   21.92
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   -2.89   -0.23   14.08  -18.69   -0.59
 2002   -6.82    4.52  -36.06  -12.20   22.04
 2003   16.30   -0.07   10.93    0.82   53.20
 2004  -10.59    2.38  -11.31  -16.71  -10.37
 2005   -2.86  -13.03   -6.99   -2.45    7.51
 2006   -9.83   -4.96  -13.92  -23.00    8.56
 2007   14.01   33.56   -0.81   11.09   19.69
 2008   33.00   43.51   42.27   15.52   40.04
 2009   20.13   21.16   42.99    2.38   20.25
 2010   -2.04    2.44   18.80  -15.86   -7.43
 2011    8.55    5.20    6.19    0.98   23.24
 2012   -4.99   -2.16   25.88   -2.13  -41.54
 2013   14.97   32.07   11.10   16.95    4.80
 2014  -17.97   -6.80  -25.57  -15.98  -20.45
 2015   29.06   25.98   53.97    1.35   43.15
 2016   -2.89   10.76   -6.63  -12.10    4.01
 2017    2.88    6.87   14.63  -17.91   16.19
 2018    8.78   -0.31   28.24   -3.34   11.54
 2019   17.50   -3.95   25.23   13.31   29.68
 2020   -7.38   16.00   -4.43   -4.32  -30.00
 2021   11.18   -4.96   47.64   12.60  -16.41
 2022   16.46  -18.12   38.47    8.11   28.64
 2023   12.30    9.90   63.42  -29.40   18.39
 2024   10.95    9.14   -5.47    1.04   41.80
 2025   23.85   43.80   55.17    3.28    6.66
 2026   25.40  -11.16   47.95   10.81   46.67
 2027   -3.59    5.10  -14.20   11.56  -18.98
 2028   20.93   51.10    6.97  -11.30   57.75
 2029   19.76   55.85  -25.99    8.16   56.93
 2030   19.06   19.62   55.64   -4.32   13.28
 2031    4.87  -17.48   15.50   16.89   -6.90
 2032   30.79   22.25    0.23   20.44   80.82
 2033    3.61   10.66   -6.74    5.09    7.28
 2034    7.33   -8.99   35.19    0.04    0.08
 2035   23.88    6.64   22.82   34.28   22.59
 2036   15.40   33.77    2.23   20.29    9.81
 2037   -8.98   16.17  -17.04  -12.73  -12.67
 2038    3.62    6.01  -37.84    8.67   36.77
 2039   18.32   42.74   33.70    8.38   -0.07
 2040   12.70   66.38    4.65   10.59  -12.24
 2041   14.88   37.62   24.69    5.64    2.23
 2042   20.70  -12.28   29.83   12.46   44.56
 2043   15.39   12.87   13.36   13.87   21.12
 2044   27.33   30.31   57.05   -0.06   32.14
 2045   22.14   16.13   23.51    5.06   47.55
 2046   16.97   20.93   29.86   -9.46   36.68
 2047   -0.07    4.58  -11.02  -10.74   22.02
 2048   13.90   -5.38   37.69    1.94   18.93
 2049   27.34   -0.11   61.04   22.12   18.90
 2050   30.95   19.12   39.60   18.14   47.25
 2051    7.54  -18.88   10.66   14.10   13.30
 2052   29.07   13.33   12.73   21.87   65.53
 2053   16.96    4.59   35.03   -0.21   30.02
 2054   19.68    5.07   16.96   15.70   37.44
 2055   13.03   35.00   25.28    0.74    2.54
 2056   20.86   17.86   61.17   -0.53   11.09
 2057   23.67   69.03   55.50    1.42   -8.73
 2058   14.12    0.79   13.22   14.40   23.52
 2059   25.60    7.73   68.41    7.68   18.60
 2060   23.20   59.75    1.23    7.06   42.32
 2061   33.97   23.30   28.93   22.50   61.41
 2062   22.40   65.50   57.68    2.84  -15.56
 2063   13.00   18.03    8.11   17.77    8.16
 2064   17.25   24.24   13.13    1.88   37.23
 2065   39.19   15.28   53.74   18.41   68.28
 2066   29.07   58.65   12.80    9.72   51.43
