Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual      JF     MAM    JJAS     OND
        120.3    98.7   147.7    61.9   185.0
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960   -4.40  -33.66   45.06  -20.03  -13.52
 1961   -8.58  -15.81   -8.49   -1.43  -13.39
 1962   14.90   54.72  -31.17   15.10   34.18
 1963  -21.56  -23.35  -35.24  -16.04  -14.04
 1964   21.90   -1.40   69.99    2.98   14.57
 1965  -18.75    4.92  -13.76  -15.15  -44.34
 1966   -9.71  -30.11   -9.66   -4.47   -3.14
 1967   -9.36   -5.53   -4.22   15.90  -50.73
 1968   -0.40  -33.40   34.99  -17.35    8.82
 1969   -0.72    3.77   -2.17  -11.70   12.39
 1970   -0.60   36.53   10.81   -9.22  -25.26
 1971   17.79   43.54   38.64   12.45  -13.11
 1972   14.59  -23.03    1.56   12.76   55.15
 1973    4.54  -12.93   -1.24   18.14    3.84
 1974   24.21   15.23   31.02   29.43   16.41
 1975   -2.91  -22.91    6.37    7.06  -12.15
 1976    0.59   30.55   33.58  -20.82  -23.84
 1977   12.92   44.20   15.79  -17.36   29.57
 1978   10.20   20.50  -11.82   -4.49   44.95
 1979  -13.67   14.36  -20.45  -23.71  -12.20
 1980  -13.17  -16.11   12.68  -15.76  -33.63
 1981   14.68   22.22   -2.25   14.20   27.24
 1982    2.00   -3.60    4.67   -3.99   11.04
 1983   -5.64   -1.92  -21.35    9.00  -11.94
 1984    9.13  -11.89   36.88    4.42    1.66
 1985  -12.62   -5.50  -17.23  -13.01  -12.25
 1986  -13.07  -16.39  -17.91   -7.64  -13.24
 1987   19.18   -0.69   18.09   10.69   44.85
 1988  -31.62  -25.76  -47.25  -13.88  -43.55
 1989    6.06   18.16  -26.17   -8.56   49.72
 1990   35.67   26.15   10.67   52.56   44.49
 1991   10.12    5.15   11.80   23.84   -6.56
 1992  -10.29  -50.76   44.80  -10.37  -38.31
 1993    3.97   17.80    9.79  -16.41   16.11
 1994  -20.10   -8.00   -6.99    0.75  -69.05
 1995  -22.25  -38.43  -34.29   -3.64  -24.24
 1996   -7.29  -43.46    4.84    7.13  -14.52
 1997   -8.86  -21.63   -1.80    4.09  -24.67
 1998  -13.19    9.81  -39.15  -17.59    3.29
 1999  -10.37   -1.19  -44.09  -20.07   30.18
 2000   -3.31    3.84  -23.65   -3.51   12.53
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    2.17   24.29   10.81  -11.62   -2.83
 2002   -4.55  -22.84   -3.99    9.00  -10.98
 2003    7.56   -5.92    6.59    6.22   19.29
 2004  -17.11   -7.36  -12.81  -11.48  -35.41
 2005  -13.11  -39.86   28.88  -19.68  -28.53
 2006   -7.88  -21.37    8.67  -23.52    5.43
 2007   12.48   38.60   26.63  -13.63   15.74
 2008   -1.88   35.70  -20.57   -3.08   -6.65
 2009   18.52   70.60   -0.67    5.55   20.26
 2010   14.81  -24.73   18.73   20.55   29.59
 2011   17.18   -2.79   37.07   26.07   -1.27
 2012   21.75  -14.23  -10.72   37.98   56.57
 2013   16.53   45.62   25.53    4.32    4.41
 2014    9.67  -16.24    6.12    7.45   33.45
 2015    3.61  -29.70   30.56   -9.44   16.29
 2016    9.85   10.04   15.57   -3.47   21.74
 2017   28.63   22.14   30.95   15.12   48.65
 2018    8.50   15.47   35.00  -20.03   15.41
 2019   19.91   33.33   14.09   -6.14   51.53
 2020    0.54   67.86   -0.11  -13.64  -24.79
 2021    9.17  -14.22   11.12   -8.80   46.77
 2022   13.97   -0.33   -4.70   13.03   43.44
 2023   17.84   35.12   20.28   -8.42   38.90
 2024   13.79   23.61   10.03   -4.02   34.76
 2025   31.13   88.79   -0.61    7.90   55.40
 2026   28.20  -17.10   12.79   32.92   67.52
 2027   11.98   -7.94    4.21    8.37   37.85
 2028    4.43  -11.98   29.75  -10.55   10.03
 2029   16.51  -17.65   16.66   21.53   32.46
 2030  -22.40  -41.24  -29.42    4.81  -39.09
 2031   17.40   20.72    9.99  -15.76   66.80
 2032   30.89   10.81   28.30   22.96   57.46
 2033    7.33   43.35   20.07   -4.15  -14.11
 2034    6.06   16.45   -4.67   -4.35   23.74
 2035   12.33   11.26   39.69   -8.64   13.63
 2036    6.23   -8.51  -18.24   -0.28   49.19
 2037   12.37  -14.94   13.81    2.59   42.15
 2038   13.33   16.57   28.70    2.96    9.62
 2039   -7.82  -16.24    4.10   -9.23  -12.26
 2040   -9.33  -17.16  -34.59   14.39  -10.47
 2041   -2.45  -29.98   11.60   -2.66    2.12
 2042   -9.63    5.65   -5.18  -13.79  -18.72
 2043   12.92   57.66    1.35   -3.23   16.18
 2044    5.21  -28.15    6.29   -5.71   40.91
 2045    3.31   -1.22   -6.18   -4.70   26.51
 2046    1.69   20.55   -4.43  -16.85   19.97
 2047   -0.25   59.13   -6.06  -17.54  -10.96
 2048    5.36  -16.64   34.92    1.75   -4.73
 2049   21.81   47.45   -6.33  -17.97   85.90
 2050   36.64   40.16   32.02   25.49   53.80
 2051   19.57    2.86   13.05   24.10   31.19
 2052    1.63  -10.16    8.79   -5.14   11.36
 2053   -8.02  -22.64  -28.72    9.36   -0.73
 2054    2.55   19.22   25.39   -6.09  -19.88
 2055   11.51    6.30   -1.75   12.37   27.11
 2056    5.61  -20.79   44.36    0.76   -9.08
 2057   -8.48   -8.10  -24.14   -1.35   -2.58
 2058   -5.28   39.22  -22.97  -20.98    3.69
 2059    3.95   27.87   16.16   -7.80   -8.53
 2060    3.07   11.65  -13.41    1.01   16.56
 2061  -10.04  -21.74    9.58  -20.73   -7.60
 2062   21.71   -5.16   11.61   15.36   58.20
 2063    8.66    5.24   12.80   -7.19   27.93
 2064   22.52  -32.15    1.42   29.63   70.58
 2065   -8.51   -1.62    9.50   -8.00  -31.77
 2066   -6.57    3.63   32.96  -17.02  -38.98
 2067   19.31  -16.79   -1.18   26.59   54.17
 2068   14.44   13.81   -1.94   13.49   32.52
 2069   25.28   31.22   44.51    5.06   29.06
 2070   -2.17   -2.83   10.70   -0.08  -17.37
 2071   12.18  -34.54  -18.28   12.61   73.21
 2072   18.66   28.54   14.58  -17.68   64.58
 2073   34.87   -3.66   16.97   25.25   91.28
 2074   19.48   87.32   44.64   -4.35  -19.14
 2075   23.38  -25.37   37.86   12.07   56.46
 2076   22.07    4.08   49.32    5.61   28.78
 2077    6.19   16.04  -28.19   -2.54   45.65
 2078    7.07  -20.68   45.82    4.18   -9.31
 2079   27.49  -10.94   15.75   19.12   75.99
 2080    7.20   -1.85   11.29   15.99   -2.58
 2081   20.44  -39.48   -2.97   30.21   70.79
 2082    3.16  -33.24   28.00   -9.54   19.52
 2083   29.57   33.25  -14.18   27.11   74.16
 2084   15.84   10.02   37.54  -12.81   36.20
 2085   44.56   94.80   16.86   24.03   66.14
 2086   22.49  -12.55   21.36    1.44   75.03
 2087   24.36   44.04   32.10    0.96   34.71
 2088    6.36  -45.96  -31.07   24.12   54.98
 2089   11.88   32.57    6.94   -4.26   24.53
 2090   12.05  -30.66   21.78   18.03   22.83
 2091    1.66  -40.01  -37.69   11.60   55.55
 2092   19.16   16.06   60.68   12.64  -11.60
 2093   -6.31  -41.38   -1.18   -2.23    6.49
 2094   23.53   19.36    4.46   25.06   43.35
 2095   23.55   37.33    9.89   -5.42   66.67
 2096    2.09   -9.66    7.34   -2.13   10.31
 2097   23.74   -6.65   32.35    6.14   58.84
 2098    4.24   -9.90   -3.17   -8.16   37.60
 2099   21.79  -23.57   42.52  -13.44   78.28
 2100   41.43   57.34   -1.24   33.52   84.02
Projections under SRES A1B scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    5.35    6.98  -24.21   -4.53   46.98
 2002  -15.04    3.16   -5.31  -18.39  -32.46
 2003   11.06   -1.07   23.94   -2.94   24.92
