Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual      JF     MAM    JJAS     OND
        106.8    93.3   118.8    75.5   145.6
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960    5.69   10.72   19.32  -10.44   10.24
 1961   -1.92  -21.54   29.55   -5.75  -15.21
 1962    1.07   -2.24    1.57    4.54   -1.83
 1963    5.69    2.88    7.83   19.44  -12.93
 1964    3.86    0.75   -2.47   15.31   -2.98
 1965    8.06   36.91   12.83    6.74  -14.17
 1966    2.09   16.05  -13.93    4.02    6.23
 1967    9.71    6.95   -3.00   12.66   20.35
 1968    3.99    1.07   19.86  -17.00   18.04
 1969    3.55  -19.61   22.09   -0.09    5.31
 1970  -11.01  -18.62   12.71  -25.50  -10.34
 1971   -8.70  -22.94  -25.52   13.24  -11.63
 1972    1.48  -15.85   -9.49   -7.03   35.35
 1973   -9.16    0.24   -3.77  -16.78  -10.67
 1974    8.83   -3.18   20.42   -4.38   22.86
 1975   -1.42   -1.84   -5.97   -0.07    1.58
 1976   -3.73    4.29   13.34  -16.59   -8.98
 1977    7.83   50.03   20.26   -9.67   -9.39
 1978    5.29   11.02    1.12   13.21   -4.91
 1979   13.55   10.47   20.21   13.94    8.42
 1980    1.04   -6.31   -5.74   -0.32   14.54
 1981    1.65   -9.33   17.17    0.35   -4.81
 1982   -1.77  -11.22    2.45   14.14  -20.90
 1983    4.88  -22.03   17.33    3.26   12.50
 1984   -6.30  -19.46   -2.69   10.31  -23.27
 1985    0.38   15.40   -4.65  -14.10   14.70
 1986    3.16  -23.81   27.13   -9.42   13.95
 1987    1.48    6.00    6.02   -1.23   -2.47
 1988   -1.33   17.21  -11.00    2.26   -8.81
 1989    8.48   31.45   18.84    1.44   -7.79
 1990   -0.53   -1.71   13.07  -18.80   11.04
 1991   -5.31  -31.41   -1.72  -10.16   14.95
 1992   -2.80   -5.93  -33.18   11.45   10.68
 1993   -5.43   -9.05   -5.99   -8.99    2.28
 1994   -2.82    4.30   -2.36   -0.88  -10.61
 1995  -18.66  -19.43  -21.13   -9.27  -28.21
 1996    9.05   30.04   -3.47   12.48    3.00
 1997   -3.41    8.10  -22.08   13.34  -14.76
 1998   10.04   20.14  -17.23   31.92    1.41
 1999    5.23   13.41  -14.08   11.83   10.29
 2000    2.33   -5.93   19.06   -5.79    1.91
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   -1.61   13.66   14.22  -10.93  -15.19
 2002   -6.28  -26.04  -21.06   22.16  -16.26
 2003    3.20    2.79    9.13   11.44  -13.46
 2004   -1.98    2.41   30.11  -24.59   -6.84
 2005    5.60   33.12   -1.71    2.78   -1.69
 2006   -3.60  -10.72  -12.32    6.20   -3.22
 2007   11.98    1.98   32.39   -3.07   18.29
 2008   -6.73  -12.36   -5.99   -1.96  -10.09
 2009    9.40    7.33   24.21   10.30   -5.25
 2010    2.40    7.83   15.45  -15.02    8.94
 2011    2.51  -13.15   19.65    9.56  -13.61
 2012  -10.50  -30.25   -2.58  -24.36   13.22
 2013    7.92   -5.29   31.70   -6.38   12.00
 2014    1.27   -6.20   -1.11    4.29    4.62
 2015   -0.42  -20.08   15.11    5.49  -10.70
 2016    7.33  -16.42   20.13   12.82    3.05
 2017    6.89  -18.21    5.36    5.48   27.05
 2018    3.62    5.54    3.07   12.75   -9.29
 2019    3.08   14.30   15.41  -12.61    4.18
 2020    1.68   -0.13   16.44  -11.82    6.12
 2021    6.33   -6.94   16.82    0.25   12.78
 2022    7.26   33.25   -4.66    4.39    5.67
 2023    3.08   -6.53   25.58  -10.35    4.89
