Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual      JF     MAM    JJAS     OND
        24.99   26.14   25.68   24.65   23.97
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual      JF     MAM    JJAS     OND
20th Century Model Run
 1960    0.07    0.26    0.05    0.17   -0.18
 1961   -0.58   -0.08   -0.84   -0.42   -0.86
 1962   -1.52   -1.88   -1.20   -1.73   -1.32
 1963   -0.27   -1.25    0.28   -0.47    0.09
 1964    0.54   -0.05   -0.02    0.90    1.03
 1965    0.04    0.43    0.18    0.26   -0.68
 1966   -1.53   -1.42   -1.67   -1.80   -1.10
 1967   -0.97   -1.74   -1.18   -1.25    0.13
 1968    0.26    0.07    0.43    0.64   -0.28
 1969   -0.06   -0.92   -0.54    0.28    0.52
 1970   -0.03   -0.02   -0.41    0.18    0.05
 1971    0.32    0.62    0.10    0.35    0.28
 1972    0.41    0.82    0.97    0.22   -0.18
 1973   -0.82   -1.07   -0.54   -1.22   -0.40
 1974   -0.84   -0.79   -0.72   -1.49   -0.13
 1975    0.35   -0.59   -0.30    0.75    1.11
 1976   -0.09    0.79   -0.72    0.07   -0.28
 1977   -0.04   -0.40    0.11   -0.08    0.10
 1978   -0.29   -0.37    0.02   -0.45   -0.30
 1979   -0.24   -0.64   -0.07   -0.02   -0.45
 1980   -0.14   -0.40   -0.12   -0.03   -0.12
 1981   -0.27    0.34   -0.25   -0.47   -0.45
 1982   -0.63   -1.05   -0.43   -0.61   -0.60
 1983    0.01   -0.43    0.53   -0.06   -0.14
 1984   -0.24    0.14   -0.91    0.15   -0.33
 1985    0.08    0.00    0.13    0.27   -0.18
 1986   -0.35   -0.01    0.29   -0.80   -0.63
 1987   -0.41   -0.25   -0.31   -0.47   -0.54
 1988   -0.07    0.05   -0.35   -0.38    0.52
 1989    0.63    0.00    0.55    1.18    0.37
 1990    0.23    0.71   -0.14    0.23    0.27
 1991    0.26    0.07   -0.30    0.17    1.07
 1992   -0.22    0.43   -0.31   -0.55   -0.11
 1993    0.67    0.69    1.25    0.31    0.56
 1994    1.04    1.26    1.34    1.59   -0.14
 1995   -0.11    0.19    0.40   -0.56   -0.23
 1996   -0.51   -1.39   -0.35   -0.58   -0.00
 1997    0.48    0.51    0.14    0.77    0.43
 1998    0.67    0.77    0.48    1.25    0.02
 1999    0.18   -0.01   -0.09    0.28    0.43
 2000   -0.04    0.79   -0.24   -0.70    0.50
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    0.38    0.45   -0.15    0.50    0.69
 2002    0.44    0.53    0.44    0.77   -0.09
 2003    0.39    0.48    0.44    0.39    0.26
 2004    0.62   -0.43    0.02    1.34    0.97
 2005    1.29    1.28    1.11    1.86    0.70
 2006    0.26    0.51   -0.20    0.31    0.50
 2007    0.54    0.50    0.36    0.83    0.36
 2008    0.76    0.43    1.00    1.24    0.10
 2009    0.41   -0.27   -0.37    0.78    1.15
 2010    0.96    0.64    0.09    1.43    1.39
 2011    0.64    0.65    0.05    0.91    0.84
