Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual      JF     MAM    JJAS     OND
        24.53   24.93   24.26   24.89   24.07
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual      JF     MAM    JJAS     OND
20th Century Model Run
 1960   -0.03    0.36    0.04   -0.09   -0.25
 1961    0.09    0.28   -0.12    0.09    0.18
 1962   -0.29   -0.05   -0.56   -0.04   -0.52
 1963   -0.35   -0.94    0.24   -0.39   -0.47
 1964   -0.59   -0.48   -0.66   -0.54   -0.67
 1965   -0.26   -1.25   -0.31   -0.02    0.14
 1966   -0.15   -0.24   -0.36   -0.04   -0.03
 1967    0.31   -0.30    0.01    0.99    0.09
 1968   -0.37   -0.40   -0.01   -0.20   -0.95
 1969   -0.81   -1.09   -0.66   -1.09   -0.40
 1970   -0.61   -1.29   -0.64   -0.34   -0.48
 1971   -0.26   -0.48   -0.61   -0.38    0.38
 1972   -0.34   -0.68   -0.14   -0.25   -0.44
 1973   -0.20    0.19   -0.25   -0.70    0.25
 1974    0.25    0.06    0.44    0.29    0.12
 1975   -0.33   -0.05   -0.54   -0.33   -0.31
 1976   -0.06   -0.36   -0.31   -0.21    0.59
 1977    0.21   -0.73    0.71    0.77   -0.42
 1978    0.01   -0.22   -0.24    0.28    0.07
 1979    0.32   -0.16    0.91    0.40   -0.04
 1980    0.49    0.94   -0.02    0.58    0.59
 1981    0.51   -0.02    0.55    0.93    0.25
 1982    0.16    0.48    0.25    0.15   -0.14
 1983   -0.38    0.50   -0.57   -0.45   -0.70
 1984   -0.95   -0.17   -0.89   -1.32   -1.05
 1985    0.05   -0.05    0.04   -0.02    0.22
 1986   -0.10   -0.51   -0.08   -0.51    0.71
 1987    0.65    1.40    0.28    0.58    0.63
 1988    0.42    0.89    0.78    0.49   -0.34
 1989    0.09   -0.19    0.47   -0.02    0.03
 1990    0.40    0.48    0.38    0.44    0.33
 1991    0.19    0.44    0.26    0.12    0.05
 1992   -0.35   -0.17   -0.38   -0.38   -0.42
 1993   -0.08    0.18   -0.27   -0.10   -0.02
 1994    0.11   -0.54   -0.26    0.30    0.65
 1995    0.43    0.91    0.37    0.75   -0.25
 1996   -0.67   -0.77   -0.70   -0.74   -0.49
 1997   -0.41   -0.32   -0.23   -0.69   -0.27
 1998   -0.12    0.01   -0.48   -0.28    0.38
 1999    0.57    0.21    1.18    0.63    0.14
 2000    0.17   -0.11    0.20    0.27    0.20
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN     NaN     NaN     NaN
 2002     NaN     NaN     NaN     NaN     NaN
 2003     NaN     NaN     NaN     NaN     NaN
 2004    0.41   -0.17    0.13    0.89    0.43
 2005    0.20    0.79    0.43   -0.39    0.37
 2006    1.05    1.85    0.89    1.46    0.12
 2007    0.26   -0.17    0.34    0.45    0.21
 2008    0.79    0.23    1.04    0.47    1.36
 2009    0.95    1.59    0.58    1.12    0.67
 2010    0.31    0.10    0.42    0.38    0.23
 2011    1.06    1.21    0.56    1.38    1.02
 2012    1.06    0.75    0.81    1.49    0.93
 2013    0.93   -0.18    0.84    1.13    1.50
 2014    0.49    0.22    0.46    0.66    0.50
 2015    1.02    0.35    0.43    1.28    1.71
 2016    1.57    1.77    1.33    2.34    0.67
 2017    0.95    0.17    1.57    1.06    0.71
 2018    0.89    1.32    1.12    0.90    0.37
 2019    0.80    0.12    1.14    0.97    0.67
 2020    1.02    1.09    1.22    1.20    0.55
 2021    1.50    0.73    1.69    1.72    1.53
 2022    1.19    1.87    1.04    1.35    0.68
 2023    1.00    1.56    0.85    0.95    0.86
 2024    0.32    0.13    0.29    0.31    0.48
 2025    0.77   -0.13    0.62    0.62    1.71
 2026    0.85    0.69    0.76    0.83    1.08
 2027    0.87    1.40    0.37    0.97    0.88
 2028    0.99    1.33    1.11    0.59    1.17
 2029    1.39    1.52    1.21    1.81    0.92
 2030    1.63    1.25    1.69    2.25    1.01
 2031    1.95    1.69    2.09    2.80    0.86
 2032    1.64    1.20    1.71    1.75    1.72
 2033    1.93    1.56    2.22    2.04    1.74
 2034    1.26    0.46    1.37    1.63    1.16
 2035    1.85    1.15    2.17    2.27    1.42
 2036    2.12    1.75    1.97    2.66    1.78
 2037    1.21    0.21    1.23    1.34    1.68
 2038    1.84    1.58    1.50    2.04    2.07
 2039    2.04    1.01    2.08    2.66    1.88
 2040    1.78    0.44    2.04    2.41    1.59
 2041    2.12    0.83    3.05    1.94    2.30
 2042    2.24    1.46    2.31    2.74    2.03
 2043    1.61    0.95    1.70    1.75    1.79
 2044    2.36    1.32    2.69    2.75    2.21
 2045    2.29    2.78    2.35    2.40    1.78
 2046    2.33    1.10    2.75    2.91    1.96
 2047    2.10    1.85    2.55    2.56    1.19
 2048    1.55    1.07    1.19    1.52    2.27
 2049    2.31    2.16    2.26    2.96    1.59
 2050    2.01    1.99    1.91    2.00    2.14
 2051    2.48    2.44    1.93    3.23    2.07
 2052    2.70    2.39    3.23    3.33    1.54
 2053    2.08    1.12    2.19    2.49    2.06
 2054    1.98    2.12    1.65    1.98    2.21
 2055    2.84    2.66    2.58    3.33    2.56
 2056    2.62    1.81    2.11    3.35    2.71
 2057    2.92    1.74    3.30    3.45    2.62
 2058    2.87    1.88    2.46    3.31    3.35
 2059    2.13    1.82    2.48    2.34    1.70
 2060    2.55    1.94    2.55    3.06    2.27
 2061    2.24    1.11    2.51    2.94    1.80
 2062    2.80    2.87    2.83    3.04    2.40
 2063    2.79    2.00    3.23    3.61    1.80
 2064    2.21    1.39    2.42    2.17    2.57
 2065    2.75    2.54    2.89    2.86    2.59
 2066    3.14    3.14    2.84    3.46    3.02
 2067    3.02    3.21    2.78    3.26    2.80
 2068    3.66    2.61    3.82    4.01    3.75
 2069    2.79    1.77    3.17    2.96    2.84
 2070    3.27    2.31    3.07    4.10    3.00
 2071    3.43    2.41    3.36    4.30    3.04
 2072    3.21    2.00    4.31    4.04    1.81
 2073    2.59    1.79    3.02    2.85    2.36
 2074    3.10    3.61    3.28    3.47    2.10
 2075    3.10    3.14    2.54    3.47    3.14
 2076    3.65    2.73    3.98    3.81    3.72
 2077    3.55    2.84    3.61    4.26    3.03
 2078    3.52    3.53    3.40    3.99    3.02
 2079    3.55    3.11    3.74    4.13    2.90
 2080    3.01    2.67    2.93    3.31    2.93
 2081    3.83    2.71    4.33    4.21    3.57
 2082    3.78    3.06    4.14    3.91    3.73
 2083    3.74    3.06    3.57    4.50    3.35
 2084    3.92    3.28    4.46    4.49    3.06
 2085    3.60    2.65    3.35    4.22    3.65
 2086    3.54    3.14    3.51    4.04    3.17
 2087    3.65    3.17    3.53    4.33    3.20
 2088    4.24    3.96    4.09    4.91    3.69
 2089    3.85    2.98    3.78    4.10    4.15
 2090    3.81    2.65    3.99    3.92    4.25
 2091    4.29    4.55    4.13    5.19    3.07
 2092    3.71    2.30    3.62    4.20    4.08
 2093    4.09    2.47    4.61    4.87    3.60
 2094    4.44    3.19    4.41    5.39    4.05
 2095    4.76    3.43    5.22    5.64    4.01
 2096    4.68    4.06    4.94    4.96    4.44
 2097    4.62    2.54    5.47    5.55    3.94
 2098    4.38    3.40    4.99    5.00    3.60
 2099    4.41    3.51    3.99    5.21    4.37
 2100    4.87    2.74    5.77    5.82    4.13
Projections under SRES A1B scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN     NaN     NaN     NaN
 2002     NaN     NaN     NaN     NaN     NaN
 2003     NaN     NaN     NaN     NaN     NaN
 2004    0.93    0.29    0.99    1.47    0.59
 2005    0.88    1.78    0.63    0.90    0.49
 2006    0.79    0.51    0.61    0.72    1.24
 2007    0.83    1.70    0.25    0.62    1.11
 2008    1.15    1.41    1.00    1.64    0.47
 2009    0.47    0.36    0.82    0.26    0.48
 2010    0.29    0.06    0.57    0.16    0.34
 2011    0.48   -0.29    0.10    0.63    1.17
 2012    0.91    0.57    0.99    1.49    0.28
 2013    0.43    0.14    0.49    0.25    0.78
 2014    1.05    1.27    0.86    0.89    1.30
 2015    1.08    0.33    1.17    1.74    0.60
 2016    1.04    1.00    0.70    1.28    1.10
 2017    1.60    0.97    1.91    2.08    1.05
 2018    0.58    1.09    0.55    0.57    0.30
 2019    1.13    1.49    1.03    1.22    0.86
 2020    0.94    0.62    0.79    0.91    1.35
 2021    1.25    0.90    1.13    1.87    0.79
 2022    0.93    1.01    0.70    1.12    0.84
 2023    1.45    1.84    1.25    2.05    0.60
 2024    1.26    1.30    1.20    1.44    1.07
 2025    1.46   -0.29    1.85    1.96    1.59
 2026    1.93    0.78    2.39    2.19    1.89
 2027    1.75    2.50    1.22    2.33    0.99
 2028    1.20    1.00    1.61    1.58    0.40
 2029    1.21    1.33    0.96    1.18    1.44
 2030    1.75    1.14    1.55    2.65    1.14
 2031    1.82    0.97    2.30    2.07    1.58
 2032    1.30    0.78    0.95    1.32    1.96
 2033    1.37    0.51    1.47    1.99    1.02
 2034    1.89    1.33    2.31    1.91    1.84
 2035    1.18    0.94    0.61    1.50    1.48
 2036    1.32    1.71    1.35    1.32    1.03
 2037    1.88    1.04    1.73    2.04    2.38
 2038    1.94    1.81    2.04    2.32    1.41
 2039    1.20    0.78    1.10    1.52    1.17
 2040    1.22    0.32    1.38    1.09    1.82
 2041    1.57    2.30    1.29    1.73    1.17
 2042    1.72    1.30    1.53    2.18    1.58
 2043    1.30    1.47    1.59    0.88    1.44
 2044    1.72    1.42    2.11    1.93    1.24
 2045    1.27    0.57    1.76    1.26    1.24
 2046    1.66    2.16    1.30    1.50    1.89
 2047    2.07    0.76    1.86    2.89    2.05
 2048    1.25    0.70    1.10    1.61    1.30
 2049    1.79    1.35    1.97    2.19    1.39
 2050    2.29    1.37    2.14    2.67    2.53
 2051    2.69    2.25    2.13    2.96    3.19
 2052    2.42    1.82    2.43    2.69    2.44
 2053    2.41    1.09    2.90    3.32    1.57
 2054    1.92    0.72    2.67    1.91    1.98
 2055    2.60    1.39    3.16    2.67    2.73
 2056    2.01    2.33    2.49    2.23    1.03
 2057    2.51    1.55    2.62    2.67    2.81
 2058    2.40    1.69    3.07    2.60    1.94
 2059    2.87    1.68    2.88    3.47    2.84
 2060    2.54    2.07    1.98    2.97    2.84
 2061    2.47    1.43    2.48    2.91    2.59
 2062    2.83    2.90    3.18    2.97    2.25
 2063    2.66    3.51    2.48    3.06    1.74
 2064    2.78    2.37    2.73    3.28    2.45
 2065    2.38    1.99    2.27    2.54    2.55
 2066    2.70    2.23    2.36    3.40    2.43
 2067    3.31    2.64    3.09    3.82    3.28
 2068    2.92    2.06    3.03    3.33    2.82
 2069    2.73    1.38    3.30    3.14    2.49
 2070    3.04    2.65    3.80    3.34    2.13
 2071    2.83    2.43    2.46    3.42    2.70
 2072    3.10    2.63    3.51    3.58    2.34
 2073    2.79    1.89    3.24    3.33    2.20
 2074    3.32    2.42    3.41    3.85    3.10
 2075    2.93    2.33    3.00    3.51    2.50
 2076    2.85    1.94    3.19    3.42    2.36
 2077    2.96    1.90    3.25    3.48    2.70
 2078    2.41    2.16    2.17    2.49    2.72
 2079    3.01    2.19    2.97    3.71    2.67
 2080    3.51    2.71    3.57    4.20    3.05
 2081    3.49    2.83    4.26    3.97    2.50
 2082    2.68    1.71    2.88    3.11    2.55
 2083    3.10    3.07    3.48    3.37    2.37
 2084    2.75    2.58    2.46    2.75    3.15
 2085    3.13    3.09    3.12    3.43    2.79
 2086    3.15    2.57    3.23    3.48    3.01
 2087    3.14    2.11    2.97    3.87    3.04
 2088    3.48    3.28    3.34    4.16    2.84
 2089    3.28    2.79    3.17    3.79    3.05
 2090    3.40    3.63    3.60    3.55    2.84
 2091    3.30    3.69    2.99    3.69    2.84
 2092    3.65    3.04    3.38    4.27    3.49
 2093    3.17    2.15    3.13    3.69    3.17
 2094    4.13    4.70    3.65    4.38    3.88
 2095    3.89    4.41    3.75    4.44    2.95
 2096    3.62    2.87    3.15    4.07    3.99
 2097    3.84    2.53    3.80    4.58    3.77
 2098    3.46    2.39    3.68    4.23    2.96
 2099    3.87    3.79    4.06    4.07    3.46
 2100     NaN     NaN     NaN     NaN     NaN
Projections under SRES B1 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN     NaN     NaN     NaN
 2002     NaN     NaN     NaN     NaN     NaN
 2003     NaN     NaN     NaN     NaN     NaN
 2004    0.82    0.62    0.95    1.30    0.20
 2005    1.22    0.65    1.36    1.46    1.13
 2006    1.16    1.14    1.61    1.05    0.87
 2007    0.84    1.32    0.77    0.83    0.60
 2008    0.64    0.85    0.99    0.48    0.35
 2009    0.71   -0.09    1.23    0.61    0.86
 2010    0.79    0.58    0.56    0.85    1.07
 2011    1.06    1.14    1.45    1.09    0.58
 2012    0.53    0.43    0.55    0.40    0.76
 2013    1.34    0.83    1.52    1.72    0.98
 2014    1.25    1.21    1.16    1.79    0.66
 2015    0.97    0.52    1.02    1.09    1.07
 2016    0.62    0.82    0.90    0.13    0.87
 2017    1.13    0.76    1.54    0.64    1.60
 2018    0.71    0.84    0.59    0.37    1.19
 2019    1.27    1.17    0.85    1.70    1.18
 2020    0.47    0.33   -0.18    0.74    0.86
 2021    1.25    1.12    1.06    1.79    0.81
 2022    0.84    1.11    1.24    0.63    0.55
 2023    0.78    0.97    0.73    0.82    0.64
 2024    0.48    0.49    0.94    0.27    0.29
 2025    0.85    0.24    0.88    0.79    1.29
 2026    1.10    0.72    1.50    0.82    1.33
 2027    1.70    1.95    1.34    2.27    1.13
 2028    1.03    2.06    0.73    1.08    0.57
 2029    0.56   -0.36    0.74    0.77    0.72
 2030    1.35    1.17    1.42    1.38    1.37
 2031    1.51    0.37    1.23    1.82    2.14
 2032    1.62    1.02    1.68    2.11    1.30
 2033    1.15    0.98    0.89    1.33    1.28
 2034    0.97    1.41    0.94    0.72    1.02
 2035    1.88    1.27    2.34    2.12    1.52
 2036    1.83    1.77    1.48    1.93    2.07
 2037    1.38    0.78    1.37    1.51    1.60
 2038    1.25    0.80    1.62    1.46    0.90
 2039    0.92    0.40    1.60    0.87    0.65
 2040    1.15    0.50    1.72    1.15    1.01
 2041    1.86    1.74    2.03    1.92    1.69
 2042    1.82    2.13    1.94    2.03    1.22
 2043    1.36    0.89    1.61    1.43    1.31
 2044    0.89    1.21    0.95    0.75    0.80
 2045    0.94    0.29    1.57    0.55    1.27
 2046    1.95    3.23    1.86    2.27    0.75
 2047    1.30    0.45    1.72    1.65    0.99
 2048    1.30    2.18    1.43    1.23    0.67
 2049    0.82    0.50    0.81    1.12    0.65
 2050    1.31    1.72    0.84    1.28    1.57
 2051    1.20    0.67    0.75    1.01    2.27
 2052    1.37    0.88    1.26    1.46    1.67
 2053    1.57    1.51    1.17    1.67    1.89
 2054    1.86    1.73    2.03    2.36    1.09
 2055    1.50    0.56    1.95    1.58    1.57
 2056    1.98    1.81    1.57    2.37    2.00
 2057    1.77    1.44    1.85    2.38    1.10
 2058    1.66    0.85    1.56    2.47    1.20
 2059    1.80    1.53    1.52    2.11    1.84
 2060    2.10    1.98    1.68    2.45    2.12
 2061    2.33    2.18    2.18    2.62    2.19
 2062    1.74    1.45    2.12    2.06    1.13
 2063    1.76    1.44    1.33    1.50    2.76
 2064    1.68    0.85    1.90    2.36    1.11
 2065    2.45    2.38    2.96    2.84    1.46
 2066    2.40    2.12    2.51    2.76    2.00
 2067    2.05    2.26    2.09    2.25    1.59
 2068    1.55    0.85    1.64    1.63    1.84
 2069    2.84    2.91    3.14    2.80    2.55
 2070    2.48    2.45    2.68    3.17    1.38
 2071    2.02    2.22    1.86    2.13    1.90
 2072    2.55    2.88    2.07    2.87    2.38
 2073    2.57    2.40    3.11    2.91    1.70
 2074    1.66    1.82    1.78    1.73    1.32
 2075    2.47    1.69    2.63    3.07    2.02
 2076    1.77    1.10    2.14    1.98    1.56
 2077    1.75    1.31    1.89    1.97    1.61
 2078    2.31    1.68    2.66    2.59    2.01
 2079    2.21    1.90    2.42    2.72    1.52
 2080    2.22    1.20    2.52    2.32    2.45
 2081    1.97    1.68    1.99    2.22    1.81
 2082    2.76    2.16    2.89    3.40    2.18
 2083    1.88    1.62    1.87    1.94    1.97
 2084    2.03    2.61    1.81    2.14    1.70
 2085    2.46    2.20    2.47    2.98    1.91
 2086    2.22    2.98    2.05    2.55    1.45
 2087    2.46    1.21    2.99    2.84    2.26
 2088    1.96    1.44    2.05    2.04    2.09
 2089    1.72    1.34    1.69    2.03    1.57
 2090    2.25    1.60    2.06    2.10    3.06
 2091    2.58    1.54    2.82    3.00    2.49
 2092    3.00    1.33    3.39    3.58    2.95
 2093    2.61    3.12    2.52    2.68    2.28
 2094    2.87    3.08    3.11    2.93    2.39
 2095    2.65    3.05    3.35    2.63    1.72
 2096    2.50    1.64    3.15    3.14    1.57
 2097    2.23    0.90    2.46    2.79    2.15
 2098    2.05    1.00    2.21    2.43    2.10
 2099    2.80    1.95    3.89    2.99    2.02
 2100    1.93    1.98    1.28    1.99    2.45
