Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual      JF     MAM    JJAS     OND
        22.23   22.36   22.79   21.99   21.92
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual      JF     MAM    JJAS     OND
20th Century Model Run
 1960   -0.18    0.02   -0.19   -0.34   -0.09
 1961   -0.52   -0.73   -0.53   -0.44   -0.46
 1962   -0.43   -0.38    0.07   -0.43   -0.97
 1963   -0.61   -1.43   -0.57   -0.36   -0.43
 1964   -0.21   -0.50    0.09   -0.20   -0.31
 1965   -0.34   -0.07   -0.23   -0.30   -0.69
 1966   -0.36    0.04   -0.69   -0.50   -0.13
 1967   -0.03    0.39   -0.20   -0.08   -0.08
 1968   -0.55    0.18   -0.10   -0.83   -1.10
 1969   -1.02   -1.06   -0.59   -1.05   -1.39
 1970   -0.46   -0.41   -0.74   -0.37   -0.34
 1971   -0.27   -0.65   -0.46    0.01   -0.18
 1972    0.15   -0.66    0.11    0.30    0.55
 1973   -0.27   -0.22    0.23   -0.22   -0.85
 1974   -1.02   -1.41   -1.44   -0.54   -0.96
 1975   -0.62   -0.97   -0.69   -0.78   -0.10
 1976    0.09    0.89   -0.23   -0.11    0.16
 1977    0.01   -0.02   -0.02   -0.17    0.28
 1978   -0.01    0.56    0.44   -0.49   -0.20
 1979   -0.43   -0.57   -0.39   -0.49   -0.29
 1980    0.37    0.12    0.81    0.37    0.11
 1981   -0.29    0.24   -0.17   -0.52   -0.48
 1982    0.09   -0.33   -0.11   -0.06    0.77
 1983    0.80    1.17    2.11    0.56   -0.45
 1984   -0.10   -0.37   -0.33    0.20   -0.10
 1985   -0.07    1.00   -0.27   -0.53    0.04
 1986   -0.00    0.58   -0.25   -0.36    0.34
 1987   -0.13    0.63   -0.38   -0.09   -0.43
 1988    0.27    0.08   -0.04    0.36    0.60
 1989    0.03    1.02    0.23   -0.11   -0.66
 1990   -0.37   -0.50   -0.82   -0.40    0.21
 1991    0.85    0.49    1.00    0.97    0.77
 1992   -0.24   -0.63    0.11   -0.23   -0.34
 1993    0.14   -0.31    0.56    0.32   -0.21
 1994    0.27   -0.02   -0.13    0.80    0.15
 1995    0.02    0.16   -0.43    0.05    0.32
 1996    0.00    0.07   -0.17    0.21   -0.15
 1997    0.60   -0.51    0.23    0.72    1.54
 1998    0.59    0.93    1.03    0.57   -0.04
 1999   -0.00   -0.34    0.22    0.06   -0.09
 2000     NaN     NaN     NaN     NaN     NaN
Projections under SRES A2 scenario
 2000    0.15    0.11   -0.33    0.14    0.65
 2001    0.36    0.64    0.52    0.58   -0.29
 2002    0.68   -0.36    0.32    1.09    1.20
 2003    0.94    0.78    0.60    1.31    0.88
 2004   -0.25    0.31    0.07   -0.44   -0.70
 2005   -0.01   -0.03   -0.17   -0.15    0.33
 2006    0.44    0.19    0.18    0.81    0.39
 2007    0.36   -0.14    0.76    0.52    0.08
 2008   -0.28    0.36   -0.55   -0.47   -0.18
 2009    0.72    0.14    0.88    0.90    0.69
 2010    0.93    0.95    1.17    0.91    0.72
 2011    1.00    0.59    0.88    0.77    1.71
 2012    0.83    1.37    0.84    0.81    0.49
 2013    1.09    0.77    0.65    1.01    1.86
 2014    0.87    0.92    1.02    0.77    0.83
 2015    0.75    1.23    0.70    0.99    0.18
 2016   -0.07   -0.11   -0.08    0.18   -0.34
 2017   -0.04   -0.12   -0.19   -0.27    0.47
 2018    0.66    1.18    0.68    0.55    0.44
 2019    0.50    1.40    0.52    0.29    0.15
 2020    0.57    0.76    0.47    0.54    0.57
 2021    0.65    0.40   -0.11    0.65    1.58
 2022    1.33    1.75    1.15    1.27    1.31
 2023    1.44    1.59    1.73    1.61    0.82
 2024    0.87    1.01    0.43    0.79    1.31
 2025    0.99    0.58    1.30    0.83    1.17
 2026    0.71    0.89    0.63    0.69    0.68
 2027    1.05    0.80    0.64    1.36    1.24
 2028    1.43    1.16    1.30    2.04    0.92
 2029    1.06    1.07    1.37    0.91    0.96
 2030    0.65    0.99    0.86    0.59    0.27
 2031    1.14    1.02    0.57    1.35    1.49
 2032    1.65    1.25    1.80    1.98    1.34
 2033    0.79    1.48    0.75    0.64    0.57
 2034    1.28    0.85    1.07    1.53    1.44
 2035    1.79    1.28    1.55    1.95    2.17
 2036    1.87    1.78    1.86    1.98    1.80
 2037    1.28    1.94    1.16    1.25    0.99
 2038    1.56    1.02    2.15    1.43    1.50
 2039    1.57    1.50    1.80    1.85    1.02
 2040    1.37    1.19    0.88    1.47    1.84
 2041    1.79    1.77    0.98    2.12    2.19
 2042    1.71    2.04    1.44    1.58    1.92
 2043    1.66    2.72    1.47    1.42    1.45
 2044    1.63    2.13    0.92    1.46    2.25
 2045    1.68    1.56    1.47    2.17    1.30
 2046    1.94    1.14    1.89    1.99    2.46
 2047    2.53    2.75    2.69    2.17    2.69
 2048    2.76    3.12    2.31    2.92    2.74
 2049    1.93    2.45    2.27    1.73    1.51
 2050    1.29    1.02    0.91    1.40    1.70
 2051    2.19    3.04    2.36    2.20    1.43
 2052    2.38    2.58    1.94    2.40    2.65
 2053    2.72    2.68    3.21    2.68    2.33
 2054    1.89    2.11    1.99    1.94    1.56
 2055    2.18    3.13    2.53    1.57    2.02
 2056    2.59    3.20    2.56    2.68    2.07
 2057    2.61    2.22    2.84    3.38    1.60
 2058    2.08    2.21    1.74    2.47    1.80
 2059    2.43    2.27    2.15    2.29    3.02
 2060    3.22    3.97    2.88    3.34    2.89
 2061    3.04    2.67    2.64    3.29    3.33
 2062    2.82    3.90    2.93    2.71    2.12
 2063    2.69    3.02    2.44    2.26    3.27
 2064    3.08    2.15    2.11    3.59    4.01
 2065    3.79    4.55    3.35    3.97    3.49
 2066    3.81    3.80    3.55    4.37    3.34
 2067    2.10    3.10    2.27    2.09    1.29
 2068    2.88    2.93    2.23    2.54    3.95
 2069    3.76    3.07    3.54    4.26    3.77
 2070    2.90    3.11    2.66    3.33    2.42
 2071    3.46    2.21    3.44    3.98    3.61
 2072    3.15    3.69    3.22    3.13    2.75
 2073    2.95    2.63    3.35    2.78    2.97
 2074    3.33    3.74    2.57    3.13    4.09
 2075    3.47    3.34    3.40    3.98    2.94
 2076    3.59    3.24    3.55    3.71    3.70
 2077    3.48    4.51    3.71    3.44    2.61
 2078    3.45    3.23    3.50    3.77    3.13
 2079    3.36    2.96    3.11    3.77    3.33
 2080    4.02    3.37    3.75    4.73    3.78
 2081    5.07    6.13    4.69    5.36    4.35
 2082    4.66    5.06    5.10    4.62    4.00
 2083    3.98    3.07    3.45    5.12    3.59
 2084    4.88    4.18    5.16    5.38    4.39
 2085    4.81    5.95    5.33    4.70    3.67
 2086    3.52    3.29    3.25    3.37    4.16
 2087    4.29    4.28    4.02    4.65    4.08
 2088    4.38    3.69    5.18    4.67    3.63
 2089    4.07    4.40    4.15    3.95    3.90
 2090    4.41    4.55    4.39    4.22    4.60
 2091    4.78    4.40    4.90    5.52    3.94
 2092    4.48    5.15    4.60    4.33    4.12
 2093    4.08    4.40    3.71    4.33    3.92
 2094    4.78    4.62    4.77    5.18    4.37
 2095    4.60    4.82    4.33    5.07    4.11
 2096    4.46    4.20    4.61    4.49    4.45
 2097    5.15    4.42    4.62    6.10    4.89
 2098    5.41    5.98    5.71    5.60    4.48
 2099    4.83    4.42    4.29    5.01    5.40
 2100     NaN     NaN     NaN     NaN     NaN
Projections under SRES A1B scenario
 2000    0.05   -0.31   -0.66    0.35    0.60
 2001    0.29    0.05    0.71    0.32   -0.00
 2002    0.51    0.04    0.81    0.38    0.69
 2003    0.60    0.32    0.33    0.85    0.70
 2004    0.48    0.79    0.73    0.44    0.09
 2005    0.56    0.67    0.22    0.71    0.62
 2006    0.58    0.34    0.46    0.38    1.12
 2007    1.01    1.68    0.82    0.80    1.02
 2008    0.57    0.87    0.49    0.64    0.36
 2009    0.41    0.19    0.30    0.69    0.30
 2010    0.46    0.60    0.38    0.34    0.63
 2011    0.47    1.00    0.09    0.43    0.54
 2012    0.49    0.86    0.60   -0.03    0.84
 2013    0.97    0.57    0.81    1.03    1.33
 2014    0.87    1.27    1.53    0.85   -0.05
 2015    0.22   -0.06    0.08    0.15    0.64
 2016    0.64    1.09    1.19    0.52   -0.04
 2017    0.85    0.51    0.02    1.12    1.55
 2018    0.90    1.37    1.36    1.04   -0.07
 2019   -0.03    0.10   -0.05    0.17   -0.35
