Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual      JF     MAM    JJAS     OND
        116.9    73.2   156.0    54.6   189.8
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual      JF     MAM    JJAS     OND
20th Century Model Run
 1960    0.53  -15.07  -11.65  -10.75   18.87
 1961  -12.39  -38.21   -7.56    6.33  -16.89
 1962  -17.85   -3.43   -4.72  -55.44  -17.95
 1963    2.72   -6.31    0.30  -15.41   13.99
 1964   -1.70   29.87   -6.56   28.44  -17.38
 1965    0.10  -24.30    9.92   -4.92    0.23
 1966   -1.28   -6.18    8.47   -8.31   -5.34
 1967   13.60  -31.14    9.46   37.66   19.29
 1968    8.69   70.51   15.94  -26.78    0.43
 1969    0.44  -16.60   -1.99   18.72   -0.19
 1970  -24.26  -17.27  -19.08   -9.33  -36.04
 1971   -8.34  -53.39   -2.82  -29.12    6.68
 1972   -4.43    0.89   -0.41   20.89  -18.80
 1973   -7.16  -24.99   -9.56    2.08   -4.14
 1974   -4.83  -29.72   50.91  -41.03  -30.37
 1975   23.67   62.47   16.34   60.17    5.73
 1976  -20.79  -19.27  -37.78  -51.52    4.58
 1977  -11.31   47.76  -46.73   -8.25    1.43
 1978  -18.85  -66.71  -12.46   -8.43  -15.79
 1979    5.67   21.19   -0.72   25.01   -0.48
 1980   -3.69   48.17   -4.12  -15.75  -12.04
 1981   18.81   12.31   36.48   26.26    3.10
 1982  -19.77  -46.82   -0.41  -32.68  -23.78
 1983    9.15   40.37    5.88   10.90    3.13
 1984   -4.85  -62.16    2.84   -0.28    1.82
 1985    7.50   -1.89   -5.60    8.04   20.47
 1986  -13.82   -3.75  -18.23   -1.82  -17.37
 1987   -8.84  -46.95  -40.50   39.80    8.34
 1988   -4.28   12.72  -35.25  -12.61   19.99
 1989    5.56    4.73   -2.85  -10.00   18.65
 1990   -2.69   -7.16  -26.27   41.39    0.96
 1991  -10.13  -27.98   28.91   17.04  -48.05
 1992   24.84  -22.73   51.10   26.07   15.03
 1993    1.93   -5.27   15.00  -18.52    0.89
 1994   16.10   39.90   -3.21  -24.17   41.30
 1995   23.33   35.25   35.54   17.58   12.44
 1996   14.58   30.53   42.90  -51.21   12.41
 1997   -8.21    8.51  -29.78   -9.82    5.83
 1998   34.08   71.34   23.33   41.81   30.36
 1999   -8.98   -0.08  -13.42  -12.48   -6.28
 2000  -20.23   71.07  -47.40  -31.37  -17.11
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   19.03   13.88   22.52   23.25   15.86
 2002   -6.77    0.67  -13.24    3.37   -7.25
 2003   19.05    1.42   16.76   30.06   21.25
 2004   -1.37   -8.05  -28.36   -9.01   25.46
 2005    3.54   35.99   -3.90  -23.97   11.84
 2006    7.52   11.68   23.67   -2.64   -2.92
 2007   -9.45  -41.27  -10.04  -45.38   13.00
 2008   -1.42   15.21  -23.54   13.73    6.67
 2009   -6.71  -28.18   12.47  -14.18  -14.08
 2010    7.31  -12.94  -16.45    7.29   32.04
 2011   -4.35  -63.76   14.36   -5.76   -3.90
 2012   24.80   20.42   12.34   42.56   29.35
 2013   -4.15  -55.24    4.88  -26.87   10.29
 2014   -6.69  -11.37  -28.25   -2.41   10.59
 2015    0.92   -6.02  -23.27   38.52    8.16
 2016   -2.04  -57.26   13.32    6.51   -3.73
 2017   22.70    9.98   56.91    1.79    5.88
 2018   29.61   -1.65   52.99   87.90   -3.91
 2019    3.00   27.44   24.74  -39.66   -4.81
 2020    9.02  -21.23  -20.82   45.94   27.16
 2021    9.40   -6.64   20.82   -4.45    9.44
 2022   -5.50  -24.04  -28.26  -12.97   20.82
 2023    4.18  -18.89   13.02   -4.63    6.22
 2024   21.23   19.24   38.58    9.30   12.05
 2025   15.70   54.69    2.81   34.45    9.08
 2026    4.20   62.27   10.20  -47.74    4.25
 2027   -7.64  -24.73   -4.34  -16.49   -2.56
 2028    7.64   29.41    5.74   -4.13    8.11
 2029  -18.40  -21.96  -38.39  -61.29   15.37
 2030   -3.74  -39.92  -22.84  -19.62   27.35
 2031   -7.31   33.40  -33.86   -5.92    3.51
 2032   -0.03   33.47  -23.73  -35.42   24.39
 2033  -10.06  -10.61  -18.69   -1.68   -6.03
 2034   12.34   24.93   22.87    2.79    4.13
 2035    6.55   30.46    3.80   14.58   -0.40
 2036    5.07  -38.42    6.23   56.03   -4.24
 2037    3.01   -3.94   24.51  -19.50   -4.24
 2038   18.12    4.22   19.98   39.49   11.98
 2039   10.64  -29.41   -0.92   54.50   13.62
 2040    7.06    1.95   -6.78   -5.52   24.56
 2041   -2.02  -31.97    6.75  -24.47    7.07
 2042   13.14   32.02   17.83   14.35    3.96
 2043   -0.01  -19.40   14.64  -54.32   13.75
 2044   11.39  -14.25   35.34    9.91   -1.13
 2045    9.41    4.90   38.19  -55.58   11.83
 2046    0.94   -1.51   10.56    9.24   -9.52
 2047   -4.75   14.47  -14.17   -1.60   -3.17
 2048   13.49   20.03   37.99  -39.40   11.95
 2049   12.96  -60.00    3.77   77.20   14.64
 2050    9.61   66.14   26.39  -22.64   -6.37
 2051    2.66  -48.42  -10.40   19.15   20.22
 2052   24.07   71.12   14.62  -30.51   40.66
 2053    2.41   66.19  -11.64    5.86   -3.76
 2054  -12.05   10.65  -14.63  -42.90   -3.94
 2055   20.28   19.34    4.79   27.75   30.38
 2056    6.97   63.61   19.92  -17.18   -8.99
 2057   10.02   -6.91  -11.57    2.60   34.96
 2058   15.59   83.15   18.47  -32.79   14.39
 2059   12.76  -13.78   10.29    3.19   25.28
 2060   33.75   19.41   40.39   24.73   35.43
 2061   15.41  -23.61   42.21   10.48    5.30
 2062   30.79   64.04    6.85   39.29   38.64
 2063    9.58   27.66   -2.86    8.85   15.44
 2064   -8.30  -34.27    2.49  -39.53    1.48
 2065  -11.65  -36.69    4.88  -68.10    2.84
 2066    9.18  -13.89    9.57   23.47    9.32
 2067    5.88    8.36   11.48  -22.81   11.62
 2068    6.44  -18.07  -16.11  -44.35   50.75
 2069    1.45   53.17  -12.41  -21.65    8.41
 2070   18.66  -15.87   16.65   11.33   32.01
 2071    0.59   30.88    7.97  -33.86   -0.07
 2072    9.13  -31.31   -0.52  -23.45   39.95
 2073   19.12  100.28   10.48  -28.55   23.61
 2074   24.15    3.41   43.35   37.37    8.64
 2075   -6.79  -34.48   -8.12  -53.82   19.46
 2076   40.00    2.95    9.53  115.84   45.50
 2077   15.72   25.90   22.33   -8.93   17.11
 2078   -1.49  -18.23  -15.83  -48.55   32.65
 2079   18.58  -14.95   19.36   29.76   22.29
 2080   34.18   96.08   21.02   18.73   35.00
 2081   19.10  100.84   57.66  -60.45   -3.11
 2082   27.46   41.26   17.70   76.91   12.97
 2083   14.61   28.90    1.50   37.23   13.04
 2084    7.58   11.24   11.46  -67.38   32.18
 2085   27.98   54.06   11.21   32.76   33.23
 2086   22.06   57.07   23.30   15.92   14.40
 2087   20.47  105.22   38.24  -55.42   13.15
 2088   12.45  -56.31   -8.20   61.15   28.43
 2089   29.87   58.64   31.57   11.77   28.01
 2090   20.05   61.29    7.37  -28.37   38.43
 2091   26.59   26.93   36.61   -2.43   29.38
 2092   45.29   87.07   82.24   -2.67   22.57
 2093   44.11   71.80   55.74   58.56   21.88
 2094   22.73   43.84   20.96    1.25   26.99
 2095    6.70   23.48  -15.08   25.61   13.04
 2096   33.33   65.28   26.09    4.15   42.24
 2097   12.12   71.45   -2.04   11.05    8.90
 2098   31.61   47.92   20.72  -20.16   56.22
 2099   33.04   48.18   21.99   57.31   28.92
 2100    8.78  -43.43    2.27   17.40   24.26
Projections under SRES A1B scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   13.36   13.45    3.12   60.12    3.84
 2002   12.79   48.31   -4.26   11.27   18.24
 2003    6.96   38.27   14.15    3.52   -5.70
