Mean Monthly Precipitation (mm) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
YEAR   Annual      JF     MAM    JJAS     OND
 1960  129.39   87.58  173.61  129.25  113.24
 1961  124.97   44.16  133.32  126.29  168.74
 1962  109.46   58.17  151.87  110.15  100.33
 1963  109.97   77.89  158.28   83.03  118.95
 1964   98.50   44.02  121.26  112.73   93.09
 1965   87.45   35.62  121.40   74.37  105.49
 1966   99.54   55.45  131.93   99.86   96.13
 1967  100.53   26.52  133.27  101.48  115.88
 1968  102.44   58.45  147.00   93.67   98.90
 1969   97.64   68.61  124.02   79.03  115.42
 1970   98.45   67.03  141.31  104.73   68.16
 1971   93.40   27.68  129.02  104.35   86.99
 1972   93.43   44.34  106.43   89.32  118.63
 1973   93.87   47.03  108.76  107.12   92.53
 1974   95.95   40.58  135.88  103.77   82.52
 1975   99.41   40.96  135.14  123.44   70.62
 1976   99.65   58.31  126.38  108.36   88.88
 1977  100.72   53.04  142.43   95.45   97.82
 1978  108.45   52.79  140.77  100.49  123.84
 1979   90.19   87.81  120.25   89.20   67.84
 1980   87.55   24.98  130.71   84.67   89.96
 1981   96.48   23.99  138.79  115.01   77.78
 1982  104.57   35.10  140.96   93.32  129.50
 1983   93.11   22.68  105.99  118.37   93.49
 1984   82.35   25.59   97.81   91.13   93.04
 1985   99.12   40.76  163.27   94.74   79.73
 1986   87.31   37.62  129.37   79.67   88.58
 1987   90.88   41.95  134.61   86.04   86.22
 1988  118.61   51.52  137.26  165.56   82.08
 1989  103.64   24.23  129.69  109.28  123.00
 1990   96.63   63.17  124.20   87.19  103.95
 1991   99.84   44.88  147.62   97.96   91.20
 1992   94.94   21.23  104.33  108.93  116.02
 1993   85.85   42.82  124.37   88.60   72.34
 1994  106.71   39.17  130.74  120.30  109.58
 1995   90.27   39.16  121.59  101.77   77.69
 1996   97.42   61.99  139.00  100.12   75.85
 1997   91.25   23.34  124.54   62.74  141.25
 1998   79.96   59.24   85.45   88.56   76.83
 1999  107.64   29.66  135.27  108.69  130.61
 2000   74.98   22.83   71.45   90.73   92.27
 2001  111.75   52.30  123.42  130.40  114.85
 2002   99.74   44.17  140.94   80.05  121.86
 2003  100.01   27.94  141.06  117.48   83.73
 2004   88.25   46.19  107.40   93.03   90.75
 2005   77.69   25.42  102.65   95.62   63.67
 2006  116.66   24.11  131.50  114.16  166.83
