Mean Monthly Precipitation - Observed Records - % Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual      JF     MAM    JJAS     OND
         96.3    42.4   127.7   101.0    94.6
Timeseries in anomalies relative to 1970-1999 mean (%)
YEAR   Annual      JF     MAM    JJAS     OND
 1960   41.17   53.71   39.75   60.43   13.36
 1961   39.24   13.33   30.34   48.86  103.37
 1962   21.82   99.05   26.39   22.67    8.47
 1963   17.81   96.28   30.06   21.26   39.93
 1964    5.03   21.26    3.35   27.51    7.76
 1965   -4.41   20.66    9.68   -7.23   39.12
 1966    6.01   56.81    4.50    6.31   18.49
 1967    7.62  -16.09   10.19    8.85   34.49
 1968    9.26   36.97   19.77   17.74   15.32
 1969   12.24  107.43   15.91  -14.04   60.31
 1970    9.64   57.74   26.07   13.37  -25.03
 1971    4.27  -39.55   10.01   10.79    8.57
 1972    5.79   32.21   -7.59   -2.99   40.74
 1973    3.34   12.99  -13.91   20.82    9.84
 1974    2.87   -5.41    8.42   24.77   24.36
 1975   11.93   -7.46    9.95   42.42  -21.97
 1976   11.11   44.08    3.96   20.77    9.94
 1977   14.71   26.29   16.10    8.44   29.65
 1978   20.38   39.78   20.18    8.00   54.85
 1979   -6.32  117.07    6.76  -12.69  -27.02
 1980   -9.50  -39.14    3.18  -15.89   -2.06
 1981   -0.47  -38.93   10.50   12.12  -13.21
 1982    9.97  -15.25   13.31   -8.61   47.01
 1983   -3.21  -40.41  -17.24   14.40    0.67
 1984  -11.02  -32.68  -23.58   -6.40    6.08
 1985    3.62    3.81   34.95   -3.18   -9.94
 1986   -8.96    2.10    1.60  -19.46   -1.99
 1987   -3.32    8.79    4.81  -11.70   -5.75
 1988   27.86   29.74    6.92   77.42   -9.54
 1989    9.86  -38.98    6.52    7.26   33.03
 1990    1.61   59.67    0.07   -7.16   17.97
 1991    6.15   12.93   18.31   -0.88   -2.28
 1992   -1.30  -45.44  -18.17    5.83   25.83
 1993   -7.07   17.18   -1.82  -14.32  -10.69
 1994   12.09   26.64    5.84   15.41   23.17
 1995   -6.73   19.84    5.82    6.57   -9.49
 1996    0.54   69.76    8.39    2.80  -13.19
 1997   -4.37  -33.54    4.60  -37.47   75.48
 1998  -17.34   52.07  -28.91  -13.33   -8.93
 1999   26.92   15.68   26.31   16.79   46.16
 2000   -9.66  -37.10  -30.35   -1.59   15.40
 2001   13.85   28.45   -6.44   24.23   22.69
 2002    1.62    8.47    6.83  -23.74   30.18
 2003    1.89  -31.39    6.92   11.92  -10.55
 2004  -10.10   13.43  -18.59  -11.37   -3.06
 2005  -20.86  -37.58  -22.19   -8.91  -31.99
 2006   18.85  -40.79   -0.32    8.76   78.22
