Percentage of total rainfall ocurring in 'heavy' rainfall events - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
         39.57    23.58    34.20    42.01    40.00
Timeseries in anomalies relative to 1970-1999 mean (% of total rainfall)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960      7.17    -1.89      NaN      NaN      NaN
1961     -2.65     1.84   -11.04     6.50    12.13
1962     -5.48    -1.44   -11.48    -1.43    -5.49
1963      3.73     9.21   -33.28    18.52     2.28
1964      3.63     0.43    -9.60    -4.66    -4.43
1965      3.45     1.63    10.27     4.24    -2.72
1966     -4.31    -9.58     1.34     5.81    13.82
1967     -1.80     3.68   -21.13     0.11    -5.18
1968    -12.81    -8.39    -8.21    15.59   -24.64
1969     -4.89    -9.01    -5.78    -1.44     9.67
1970      8.69     5.70    17.68     9.01     7.79
1971      6.57     2.29    12.16    -7.93    16.30
1972     -1.63    -2.14    -3.43    18.85    -0.47
1973      2.71     4.25    -1.60     9.99    -4.74
1974      2.47     3.83     6.21    -2.79     9.63
1975     -3.88     0.31   -26.74   -10.05   -13.65
1976     -3.32    -3.20    -1.87    11.33     7.39
1977     -0.23    -2.14   -21.78     7.21    -6.97
1978     -2.50    -5.17   -21.62    -4.68     6.35
1979      1.90     4.31    13.00    -1.81    -6.49
1980     -3.76    -8.45    15.87    -0.26    -4.68
1981     -1.41    -2.63    -0.97    -3.44     8.25
1982      4.72     8.86     5.84     2.94     1.43
1983      0.17     1.96    13.19    -2.10     7.60
1984      1.98     2.60   -10.45    -7.28     4.09
1985      5.19     5.10    -2.86    -1.94    -1.94
1986     -5.24     0.32     1.49    11.81    -9.10
1987     -3.40    -0.10   -15.51   -14.46     9.91
1988      7.49     4.17     7.80    10.67   -18.70
1989     -3.70    -4.62    -2.17     1.02    13.71
1990      0.43    -4.81     2.37   -10.77    21.35
1991     -2.69    -1.20   -26.60     3.16   -11.77
1992     -2.94    -1.20    -3.76     3.02   -21.71
1993     -4.97    -0.85    -8.68     4.17    -2.36
1994      0.02    -3.65    19.42     8.28    13.93
1995     -1.72    -0.20    -4.65     3.14     2.82
1996     -2.82    -3.19     9.92    -3.80   -25.07
1997      3.01     2.26    21.07   -26.95     4.58
1998     -1.82    -1.48     7.27     1.19   -12.58
1999      0.69    -0.94    -0.61    -7.53     5.10
2000     -3.13     1.89    12.73     1.09    -1.35
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      8.47     4.45    18.14    -6.83     8.45
2047      5.73     3.14    14.10    -7.57     4.63
2048      5.70     8.73    12.48     7.25    -7.12
2049     -6.02    -5.61     3.43     4.71    -8.11
2050      3.44     5.79    -3.64     2.56    12.24
2051      9.70    10.38     0.76     6.01     5.22
2052     -0.56    -5.33    24.10    -4.99    -9.18
2053      2.16    -2.44     2.97   -14.37   -13.16
2054     -6.94    -3.10    -7.37     4.34   -16.92
2055      7.88    -1.72    26.07     6.96     6.47
2056      3.72     8.71     6.75    -5.08    10.55
2057      3.96     2.28    -5.29   -17.35    11.05
2058      2.62    -2.89    28.86    -5.45     3.18
2059      6.08    11.25    16.16     1.45    11.15
2060      9.54     5.16     5.99   -10.02     8.21
2061      2.02    -4.14     6.24    15.12    20.15
