Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
         35.47    32.29    20.21     0.91    20.51
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     -4.15    -2.76     1.57    -0.27    -0.54
1962     10.25     1.05     3.43     0.79    10.96
1963     -0.12     1.76     0.89     0.04    -0.98
1964      9.35     5.40    -7.02    -0.26    10.04
1965     -0.57    -1.40    -0.39     0.59     1.89
1966     -6.91    -4.21    -0.44     0.46    -4.45
1967      9.69    -1.58    -3.88     0.23    11.43
1968     -2.99    -0.98     2.48     0.10    -9.20
1969      1.45     1.15     1.54    -0.42     6.19
1970    -10.65    -7.81    -1.14     0.55    -0.78
1971      3.18     4.57     4.24    -0.61     0.19
1972      5.35     0.61    -5.04     0.86     6.72
1973     -0.45    -6.67     0.56    -0.45     7.07
1974     -2.22    -2.35     4.75    -0.55    -5.29
1975     -0.36    -1.41    -4.34    -0.39     0.68
1976     -4.50    -2.55    -0.25     2.02    -6.91
1977     -1.95    -2.88     3.41     0.12     3.46
1978      8.59    -0.78     5.65    -0.65    12.78
1979     14.22    14.57     3.61    -0.42     1.04
1980      3.51     5.26    -0.67    -0.57     1.80
1981      1.03     1.99     0.57    -0.75     2.49
1982     -0.76    -5.92     6.84    -0.24    -7.48
1983    -11.65    -8.84    -2.31     0.33    -2.91
1984      1.05     0.05    -1.04    -0.58     5.63
1985      4.54     6.99    -4.14    -0.70    -0.56
1986     -7.56    -6.89    -0.14     0.98     3.46
1987     -1.51    -5.78    -4.02    -0.29     6.87
1988     -3.52    -0.98    -4.84    -0.68    -0.25
1989      6.69     8.63     5.07    -0.64   -10.54
1990     -5.19    -3.34    -0.11     0.30    -3.32
1991     -7.05    -4.27     1.43    -0.52    -6.90
1992      1.55     0.70    -2.39    -0.29     2.74
1993      2.69     4.04    -3.36     0.82    -0.36
1994      0.13    -2.61     5.69     1.41    -6.06
1995      4.46     6.56    -1.41    -0.15     0.92
1996     -0.79     2.06     2.24     2.43     1.71
1997      1.72     4.15     0.57    -0.52    -2.03
1998     -2.80    -2.10    -9.41    -0.53     1.28
1999      2.25     5.01    -0.00    -0.26    -5.46
2000     -4.09    -3.00    -8.32     0.09    -0.01
