Maximum 5-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      2.96     0.17     7.71     0.01     4.02
1962      1.06     1.99    -1.24     0.34    -0.72
1963     -0.57    -1.02     0.69    -0.31    -1.56
1964      0.80     1.36    -3.81    -0.39    -0.58
1965     -0.87    -0.83    -0.41     0.11    -2.07
1966     -4.80    -5.44    -1.65    -0.32    -0.90
1967      0.21    -0.58    -8.66    -0.49    -1.54
1968     -0.98     1.42    -8.26     0.02    -5.32
1969      1.75    -1.46    -9.67    -0.97     1.20
1970      1.86     2.23     4.87    -0.56     0.07
1971      1.43    -1.54     3.40    -0.72    -1.92
1972      1.28     0.03     0.72    -0.17     9.28
1973     -1.48    -3.46     5.28    -0.48    -4.38
1974      0.23    -2.78    -0.09    -0.21    -0.68
1975      1.05     3.50    -3.07    -0.81    -3.71
1976     -1.34    -0.19     2.57     0.75     6.09
1977      1.02     0.96    -1.86    -0.37    -1.35
1978     -0.57    -1.64     4.40    -0.68     2.02
1979      1.53     0.46    -2.97     0.31     2.48
1980     -3.54     2.01     2.72    -0.46     0.27
1981     -0.59     0.11     5.94     0.07     1.56
1982      2.77     0.97     4.35     0.61     1.57
1983     -0.35    -2.34     1.01    -0.50    -0.37
1984     -1.21     0.57     0.77    -1.14    -0.68
1985     -0.41     4.48    -5.15     0.17     5.49
1986     -0.87    -0.77    -2.51     1.07     6.93
1987     -1.09    -2.98    -2.79     0.14    -0.13
1988     -0.23    -1.39     7.10    -0.61    -7.41
1989      2.93    -1.68     7.11     0.33     4.02
1990     -2.31    -1.74    -0.55    -0.17     1.90
1991     -2.86    -1.39    -1.36    -0.55    -3.78
1992     -4.64    -3.43    -4.34    -0.50     2.32
1993      1.71    -0.01     1.55    -0.31     1.60
1994      0.56    -0.74     3.16    -0.46     0.08
1995      1.66     4.55     3.26    -0.34    -4.27
1996      5.00     0.88     4.32    -0.44    -7.66
1997      1.66     2.17    -1.43    -0.74     2.20
1998      4.16     4.31    -0.38    -0.45    -0.04
1999     -4.65    -3.62     0.67    -0.49    -1.31
2000       NaN      NaN     7.68    -0.19     2.72
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046       NaN      NaN    12.25    -1.38    -2.09
2047      4.47     3.98     1.03    -0.90     1.71
2048      4.17     3.67     6.58    -0.17    -7.85
2049      0.50    -1.41     7.65     0.04    -0.10
2050      0.12     2.43    -5.48    -0.13     2.22
2051      2.62     4.98     5.28    -0.35    -0.16
2052      2.94     0.95     5.43    -0.00    -0.87
2053      2.65     4.16    -0.40    -1.14    -8.97
2054      5.70     5.26    -1.53     0.08    -3.84
2055     10.05     9.64    11.81    -0.31     6.45
2056      5.96     3.91     3.38    -0.93     2.09
2057      8.48     5.92     4.13    -0.85     1.80
2058      3.91     2.42     1.42    -0.95     3.15
2059      4.27     5.64     5.10    -1.20    -2.16
2060      3.95     5.53     4.36    -1.49    -4.99
2061      4.29     3.54     2.27    -0.93     3.45
2062      5.65     5.27     2.33    -0.54    -4.69
2063      4.90     3.01     7.76    -0.60     2.34
2064      2.48     1.83     9.37    -0.79     3.13
2065       NaN      NaN     4.15    -0.58    -8.41
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
