Frequency of Hot Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
          9.97    10.01     9.97     9.98    10.01
Timeseries (% days occurring)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      2.44     0.68     1.68     7.37     3.13
1962      3.83     2.28     3.91     2.64     3.88
1963      3.64     2.17     3.49    11.05     3.52
1964      4.50     4.38     0.95     5.19     4.54
1965      2.67     2.56     1.84     6.11     1.96
1966      2.82     0.83     2.75     5.76     2.52
1967      4.24     3.07     3.91     4.47     3.20
1968      7.55     9.06     2.61    14.73     6.19
1969      4.81     3.80     5.45     5.99     3.31
1970      4.62     1.77     7.86    11.02     4.62
1971      4.04     2.86     4.64     1.96     2.59
1972      4.98     5.17     1.90    10.21     4.21
1973      6.32     7.51     3.60    12.19     5.71
1974      6.16     5.86     3.57     6.92     5.46
1975      9.09     7.76     5.22     3.71    11.41
1976      6.77     7.84    11.33     6.73     3.80
1977      7.30     5.15     5.64    11.09     8.43
1978     11.23    13.12     8.23     6.93    11.72
1979      6.55     6.98     8.33    10.43     5.59
1980      6.47     5.82     7.16     6.42     4.50
1981      8.55     9.70     7.82     6.26     8.08
1982      8.08     6.23    13.28    14.18     7.72
1983      7.90     5.16     8.85    12.05     8.77
1984      6.07     4.16     4.15     8.06     7.55
1985     11.12    10.72     9.96     8.91     9.93
1986     11.20    14.84     6.65    12.50    12.88
1987      9.58     8.59    13.26    14.29    10.78
1988     13.76    18.85    10.78     8.54    13.72
1989     12.61    12.00    16.23    19.49    13.93
1990     12.47    14.36    14.85     8.74     9.78
1991     13.57    13.66    11.26    14.45    15.40
1992     14.05    14.81    13.66    10.58    14.63
1993     10.92    10.89     9.52     7.92    10.61
1994     12.81     9.81    15.00    13.92    14.72
1995     14.37    10.87    19.51    11.56    15.94
1996     17.33    16.79    17.18    11.96    20.61
1997     13.64    19.02    12.40     6.29     9.79
1998     14.79    14.91    14.65    14.67    17.73
1999     12.69    15.03    12.67     7.51     9.62
2000     15.72    15.94    19.34    12.95    14.98
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     32.55    49.32    29.08    37.64    38.50
2047     34.37    53.81    27.79    42.22    41.72
2048     35.99    51.80    31.53    26.77    49.11
2049     36.73    56.28    32.18    39.15    43.77
2050     39.31    69.64    35.14    47.12    45.09
