Frequency of Hot Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
          9.96     9.97     9.99    10.00     9.97
Timeseries (% days occurring)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      4.83     4.46     4.92     1.37     2.61
1962      5.99     8.85     3.73     5.56     6.01
1963     15.38    17.37    20.09    14.83     9.47
1964      6.36     3.34     5.99     3.77     7.47
1965      3.20     1.23     4.68     8.36     2.31
1966      1.35     1.56     0.90    17.29     1.25
1967     15.55    18.31    16.03    11.06    14.60
1968      6.81     6.51     7.53     5.27     3.57
1969      1.09     0.30     0.47     3.71     1.14
1970      4.90     3.08     8.92     3.89     1.67
1971      6.06     4.69     3.57     2.10     7.77
1972      3.98     4.34     3.51     2.39     1.89
1973      4.13     2.54     2.75     2.29     4.42
1974      5.54     4.37     3.39     8.87     6.30
1975      4.96     2.39     3.01     7.93     5.85
1976      3.05     2.16     1.59     6.77     3.20
1977      7.67     5.43    10.72     1.35     4.83
1978      3.60     1.38     2.43     7.18     7.69
1979     13.88    17.93    16.20    16.99     8.66
1980      6.62     3.13     6.43    11.51    11.47
1981     13.15    22.38    12.47    10.00     3.67
1982      8.08     2.70    12.11     6.45     8.90
1983      8.18     8.82     3.83    10.25     8.50
1984      6.11     7.60     4.53     7.42     4.61
1985     10.19    10.81    11.70     5.55     6.88
1986      6.00     6.01     5.14    14.46     5.03
1987      9.66     7.59     7.97    14.89    14.31
1988     14.33    17.80    11.86    14.19    17.20
1989      7.65    12.22     5.15     9.49     4.72
1990     17.50    14.10     7.65    14.91    36.35
1991     19.74    30.20    30.29    11.16     9.27
1992      7.43     3.89     8.56    12.08     8.52
1993     12.65    12.42     9.03     5.55    14.32
1994     16.07    17.08    17.60    23.37    17.19
1995     20.45    15.97    25.96    22.21    23.16
1996     14.63    12.37    15.85    19.30    16.45
1997     15.86    18.23    11.76    15.31    17.08
1998     17.92    19.08    30.57     3.04     9.58
1999      8.76     8.47     5.26     8.96     9.64
2000     12.76    12.06    18.10     8.58     8.87
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     40.74    45.84    53.92    58.41    49.56
2047     40.75    59.91    52.62    36.08    40.82
2048     44.99    61.67    61.83    36.15    47.62
2049     44.15    68.58    57.21    38.56    41.67
2050     46.32    69.17    50.14    49.70    55.63
2051     44.19    69.85    43.49    34.05    53.08
2052     45.14    70.25    39.88    33.51    59.79
2053     54.39    88.44    70.24    33.35    54.55
2054     52.74    85.47    63.57    42.48    57.82
2055     54.21    87.21    59.73    40.21    62.25
2056     55.02    86.05    65.38    49.76    62.28
2057     50.37    85.12    52.54    67.30    56.28
2058     54.30    85.84    68.57    23.76    57.12
2059     51.28    84.71    59.06    45.15    54.76
2060     52.16    90.65    47.17    41.52    64.53
2061     54.01    92.81    62.23    56.49    50.53
2062     57.59    81.82    66.87    62.70    73.70
2063     51.21    92.16    50.47    47.99    54.03
2064     56.43    90.01    77.70    38.16    51.57
2065     54.82    91.08    59.64    58.05    59.39
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     66.06    97.45    72.70    79.68    75.34
2082     64.84    99.44    77.60    76.59    75.42
2083     66.95    99.40    78.97    77.66    78.92
2084     70.06    99.92    82.30    87.36    84.33
2085     63.03    99.56    71.33    58.05    72.86
2086     68.78    99.29    74.88    83.54    84.58
2087     74.08    99.01    90.12    78.81    86.92
2088     66.57    97.40    80.08    71.51    75.45
2089     68.97    99.53    73.04    73.73    88.46
2090     71.72    99.85    84.35    78.51    82.91
2091     65.17    99.87    75.09    78.39    76.28
2092     71.70    99.28    84.52    80.44    81.84
2093     69.00    98.92    83.79    73.33    77.70
2094     79.33    98.89    92.15    91.45    87.61
2095     71.85    99.72    85.61    88.62    72.86
2096     68.55    99.79    79.18    76.12    78.26
2097     73.27    99.69    82.80    81.67    83.27
