Frequency of Hot Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
          9.99     9.95    10.00    10.03    10.01
Timeseries (% days occurring)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     15.88    22.72    20.01     9.56     1.96
1962      1.66     2.31     1.69    17.70     8.94
1963      1.71     1.04     1.43    14.81     3.85
1964      3.38     1.86     3.26     0.94     2.33
1965      1.82     1.56     0.13     6.61     0.62
1966      4.27     0.53    13.10     5.43     4.03
1967      5.37     3.33     3.13     3.18    17.12
1968      7.82    10.46     3.33     3.37     2.61
1969      4.94     2.05     9.53     9.58     5.90
1970      1.69     0.10     4.15     1.24     0.08
1971      3.34     2.39     1.64     2.22     6.72
1972      7.21     4.15     8.57     3.48    11.66
1973      3.48     1.99     1.57     7.22     3.87
1974     11.04    11.26    13.60    10.57     6.74
1975      9.80     8.35    11.69     6.26     3.78
1976      5.35     2.90     7.51     2.18    11.96
1977      5.17     3.16     2.35     7.42    10.53
1978      4.99     2.96     5.69    17.21     7.00
1979      7.19     7.69     1.60     3.32     9.65
1980     15.39    23.65    18.73    10.96     6.47
1981     10.79     5.43    15.84     9.25    12.45
1982     14.13    10.14    18.77    17.71    17.66
1983      5.25     2.74     1.68    11.58     4.47
1984      9.81     8.68     3.86    11.55    12.24
1985      9.33     7.36     7.65    26.67    10.03
1986     12.34     8.61    11.51     5.13     6.40
1987      8.26     5.97     4.19    22.29     9.67
1988     14.48    16.58     7.73    11.74    22.39
1989     16.25    24.71    23.63     3.28     6.58
1990     11.35    14.60     6.67    22.32    21.48
1991     24.69    34.04    36.08    19.04    10.03
1992     12.25    10.39    16.14    11.47    12.46
1993     15.76    17.57     7.50     6.09    21.49
1994     13.06    16.92    15.04    10.78     4.52
1995      5.53     5.16     1.08    10.79    14.65
1996     13.41    11.97    20.78     8.25     9.89
1997      6.90     6.98     7.08     7.59     7.17
1998     10.58    10.46    10.26    11.41    11.84
1999     10.90    11.65     7.36     1.94     6.31
2000     20.47    23.67    22.76    42.71    24.57
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     41.75    79.64    51.64    41.48    42.47
2047     43.48    79.80    41.31    55.08    56.62
2048     38.26    83.20    50.41    33.30    31.34
2049     28.79    60.93    24.80    19.47    22.68
2050     41.93    83.27    48.76    41.01    43.33
2051     35.81    79.37    40.02    34.44    27.24
2052     38.84    87.76    33.79    32.85    41.26
2053     33.43    77.96    42.19    20.38    17.21
2054     42.51    74.74    48.18    44.84    42.40
2055     42.91    92.78    48.39    66.38    41.23
2056     42.42    90.31    47.52    32.41    41.30
2057     44.14    97.44    46.12    39.65    47.78
2058     48.98    96.77    61.58    73.90    46.34
2059     42.16    93.76    49.12    22.59    38.29
2060     51.61    85.88    60.85    48.43    64.37
2061     45.27    95.24    52.41    40.01    47.37
2062     44.22    88.04    51.79    30.12    44.64
2063     52.38    97.55    67.05    44.41    57.59
2064     40.28    84.50    57.86    26.83    30.87
2065     43.05    87.53    39.27    48.41    52.57
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
