Frequency of Cold Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
          9.97    10.00     9.99    10.02    10.00
Timeseries (% days occurring)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     15.16     7.02    24.03    22.95     8.83
1962     16.77    13.20    25.54    18.42     9.56
1963     10.79     6.56    14.08    15.81     7.56
1964     10.88    14.94     5.24     3.83    25.20
1965     17.05    12.69    19.43    19.71    10.90
1966     12.19    11.56    10.54    13.79     9.88
1967     11.15    17.53     5.49    11.01    16.54
1968      9.50     6.10     8.92    13.83     8.66
1969     14.25    10.25    21.94     5.44    18.37
1970      9.62     7.88     6.79    11.92     9.10
1971     10.90     8.78     8.96    12.19    11.68
1972      9.72    12.20     4.69    10.77     8.43
1973     15.41     9.55    31.76    12.15    14.88
1974      6.93     4.09     5.56     8.63     4.63
1975      6.29     5.71     3.71    10.72    12.76
1976     15.38    10.01    16.15    23.32     7.26
1977     13.39     5.54    23.72    16.81    17.60
1978      9.61     8.57     7.15     8.85    17.62
1979     14.59    15.08    22.33     7.43     5.00
1980      8.45    11.11     5.34    12.07     8.53
1981      7.03     8.05     2.66     8.41    10.09
1982     11.44    13.78    11.00    13.04     7.78
1983      7.71     6.20     4.23    12.30     7.93
1984     12.92    12.95    16.98    15.94    12.33
1985      7.02    14.50     0.48     3.68     9.80
1986     11.41    13.75     8.13    14.28    15.24
1987      7.61    13.03     3.46     5.04     7.68
1988      7.63     9.51     7.60     6.18    11.52
1989      5.14     5.84     5.16     1.09     3.30
1990     10.48     8.93    14.25     5.75    13.16
1991      7.31     8.29     5.86     3.30     6.58
1992     11.59    11.25     8.89     6.42    21.06
1993     11.72    14.53     8.63    15.67    11.93
1994     13.69    11.07    19.45     9.89     4.02
1995      7.35     9.32     3.76    11.31     9.19
1996     12.18    12.75    14.86    13.88     8.19
1997      8.80     7.34    11.23     3.94     5.78
1998      5.77     7.06     2.46     4.47    13.39
1999     12.05    13.30    14.32    11.14     3.66
2000      6.90    11.06     1.81     8.89     3.38
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      9.09     5.22    16.83     6.26     3.27
2047      5.40     3.65     4.76     5.16     9.40
2048      4.44     4.66     0.55    13.26     1.66
2049      2.60     3.92     0.15     4.07     5.41
2050     10.73    10.68    12.38    14.01     4.32
2051      3.23     1.80     2.52     4.22     0.55
2052      1.96     2.98     0.60     2.61     1.42
2053      1.62     3.20     0.15     0.74     2.85
2054      6.65     2.21    13.03     5.93     6.28
2055      2.10     3.98     0.18     2.00     1.07
2056      2.30     2.79     1.31     1.07     1.22
2057      3.20     1.27     4.12     8.66     1.24
2058      3.91     3.19     0.86     9.18     4.76
2059      2.88     3.30     2.83     0.06     3.55
2060      1.67     2.29     0.46     3.06     4.31
2061      2.61     1.69     1.45     5.75     0.47
2062      1.99     2.88     0.29     2.15     0.56
2063      2.20     2.27     0.29     2.62     1.40
2064      3.27     2.62     4.34     1.01     3.48
2065      2.97     1.78     4.66     2.49     0.18
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      2.42     1.52     1.92     5.57     0.71
2082      0.56     1.14     0.00     0.51     1.66
2083      2.22     1.48     1.36     4.61     0.10
2084      3.50     0.49     8.39     1.04     2.57
2085      0.42     0.06     0.00     0.46     1.11
2086      1.58     1.42     2.13     0.07     1.43
2087      1.96     1.39     0.79     5.06     0.99
2088      0.85     1.66     0.01     0.61     2.47
2089      1.77     1.22     3.76     0.69     0.36
2090      0.90     1.42     0.17     0.67     0.55
2091      1.51     1.85     0.16     1.52     1.57
2092      0.43     0.81     0.04     0.08     1.69
2093      1.53     3.09     0.21     1.03     0.42
2094      0.14     0.11     0.01     0.01     0.01
2095      0.73     1.24     0.00     0.94     0.17
2096      0.74     1.20     0.00     0.64     0.83
2097      2.33     2.14     1.13     7.20     0.30
2098      0.59     0.95     0.07     0.29     0.12
2099      0.54     1.06     0.00     0.06     0.49
2100      0.79     0.49     0.59     0.73     0.59
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
