Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     DJF     MAM     JJA     SON
        129.4   277.2   125.7     1.3   113.5
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960    0.00    2.61   38.99   -0.15    8.70
 1961   12.76   13.33   28.30   -0.52    9.92
 1962    9.14    7.07   25.35    1.11    3.03
 1963    4.11  -22.74   12.87   -0.84   27.15
 1964   13.94   19.69    9.07   -1.02   28.02
 1965    7.13    8.80    3.35    0.39   15.97
 1966    8.69    4.58   14.89   -0.03   15.31
 1967   -3.81   -9.07   11.59   -0.08  -17.66
 1968    4.66   15.19   -5.24   -0.84    9.54
 1969  -16.97  -10.61  -40.80   -0.61  -15.86
 1970   17.73   34.19   20.05    0.13   16.53
 1971    6.29   10.76   26.63    0.42  -12.65
 1972    4.76   -4.56    1.87   -0.70   22.42
 1973  -10.66   -1.37  -25.43    0.51  -16.35
 1974    3.36   -1.83    1.04   -0.03   14.27
 1975   -3.80   -0.38  -31.04   -0.10   16.32
 1976  -17.79  -29.42  -35.06   -0.90   -5.78
 1977    0.61  -14.42   31.81    2.74  -17.68
 1978   -0.89    1.05   -6.31   -0.33    2.03
 1979   13.66    7.83    8.88    0.21   37.71
 1980   -8.45   -2.63  -18.15   -0.20  -12.80
 1981   -1.89   -2.83   -0.24   -0.92   -3.56
 1982    7.28   12.03    3.11    0.18   13.80
 1983    3.72   14.98  -15.36   -0.22   15.46
 1984   15.00    6.62    6.92   -0.92   47.37
 1985    8.25    0.48   23.25    0.31    8.95
 1986    1.62  -15.53    0.27   -0.67   22.43
 1987   -7.34  -13.11  -10.24    0.38   -6.38
 1988  -18.63   -1.37  -12.89   -0.61  -59.65
 1989    0.99   -4.84  -11.67    0.06   20.41
 1990   -2.55  -13.76  -16.38    0.86   19.09
 1991   -5.29   -3.16   -7.71   -0.17  -10.11
 1992   17.98   13.59   47.92   -0.41   10.81
 1993  -12.04    8.68  -23.68    1.67  -34.81
 1994    2.80   17.38   -5.04   -0.67   -0.48
