Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     DJF     MAM     JJA     SON
        104.0   296.5    77.3     2.0    40.1
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960   -1.55    9.59    5.74    0.97   45.38
 1961  -11.80   -8.05  -34.89   -0.65   -3.59
 1962   -1.25  -11.11  -19.22   -0.60   25.92
 1963  -19.81  -82.54    6.20   -0.93   -1.98
 1964   -8.43  -13.41   -4.41   -0.39  -15.53
 1965   -9.81  -43.94    1.80   -0.73    3.64
 1966   -0.06    8.02   -8.98   -0.81    1.53
 1967  -29.82  -38.24  -57.45   -1.25  -22.35
 1968    1.13  -21.29   16.43    0.72    8.66
 1969   -5.64  -10.59  -23.45    1.53    9.96
 1970   -3.02  -38.70   34.94    0.51   -8.81
 1971   -6.49  -37.21   13.36   -0.49   -1.61
 1972   15.67   14.37   51.38    3.67   -6.75
 1973    5.49   10.06   -0.34    2.98    9.24
 1974    2.42   25.14   13.00   -0.15  -28.29
 1975  -11.84  -22.33  -42.96   -1.68   19.61
 1976    5.78    7.08   20.00   -0.86   -3.12
 1977   -6.16    9.67  -31.41   -1.16   -1.75
 1978   -3.98   -9.57    2.07    0.85   -9.26
 1979   -0.59    4.65    4.67   -1.47  -10.21
 1980    2.63   17.59    1.98   -0.64   -8.39
 1981   12.09   30.47   15.79   -1.11    3.21
 1982   14.97   49.17   11.48   -0.07   -0.67
 1983    7.18    8.07    7.85    3.14    9.67
 1984   -0.33   -8.45   -2.12    0.28    8.96
 1985   10.30   30.25   13.82   -1.41   -1.46
 1986  -19.69  -51.31  -33.14   -1.22    6.91
 1987   -5.52  -23.24  -29.02   -0.73   30.90
 1988   -2.93   -9.15   -0.62    0.39   -2.35
 1989   23.41   30.74   18.31    0.08   44.53
 1990   -1.70    5.09   -2.13   -0.72   -9.05
 1991   -4.37    9.70  -35.69    0.33    8.16
 1992   -9.55  -40.55   10.75   -0.38   -8.03
 1993   -1.17   28.78  -24.60    2.42  -11.30
