Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual     DJF     MAM     JJA     SON
        22.12   22.55   21.34   19.38   25.22
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual     DJF     MAM     JJA     SON
20th Century Model Run
 1960   -1.23   -1.08   -1.28   -1.03   -1.35
 1961   -0.68   -0.65   -0.59   -0.77   -0.68
 1962   -0.22    0.01    0.00   -0.09   -0.82
 1963   -1.18   -1.37   -1.14   -1.12   -1.09
 1964   -0.62   -0.40   -0.39   -0.88   -0.82
 1965   -0.56   -0.72   -0.81   -0.14   -0.57
 1966    0.10    0.02    0.00    0.65   -0.26
 1967    0.11   -0.03   -0.14    0.61    0.01
 1968   -1.63   -1.25   -1.47   -1.28   -2.52
 1969   -1.20   -1.26   -1.00   -0.63   -1.92
 1970   -0.23   -0.55    0.18   -0.48   -0.07
 1971   -1.16   -0.94   -1.17   -0.98   -1.56
 1972   -0.41   -0.33   -0.37   -0.46   -0.49
 1973   -1.18   -0.62   -1.07   -1.31   -1.73
 1974   -0.29   -0.89   -0.13    0.72   -0.87
 1975    0.52    1.13    1.08    0.28   -0.39
 1976   -1.02   -0.44   -1.17   -1.33   -1.15
 1977   -1.09   -1.06   -0.95   -1.70   -0.65
 1978    0.08   -0.22    0.10    0.15    0.29
 1979    0.21   -0.11    0.61    0.60   -0.27
 1980   -0.04    0.04   -0.02   -0.34    0.16
 1981   -0.91   -0.83   -0.52   -0.80   -1.48
 1982   -0.09   -0.41   -0.04   -0.37    0.46
 1983   -0.31   -0.40   -0.19   -0.98    0.34
 1984    0.85    0.60    1.06    1.07    0.68
 1985    0.80    1.39    0.67    0.67    0.47
 1986   -0.38   -0.57   -0.57   -0.93    0.55
 1987    0.55    0.44    0.18    0.99    0.59
 1988    1.20    1.28    0.80    1.14    1.57
 1989   -0.23    0.25   -0.24   -0.35   -0.57
 1990    0.14   -0.26   -0.89    0.31    1.40
 1991    0.36    0.72    0.24    0.34    0.13
 1992    0.57    0.83    0.62    1.10   -0.25
 1993   -0.07   -0.88   -0.14    0.24    0.52
 1994    0.61    0.43    0.70    0.27    1.03
 1995    0.14    1.10   -0.28    0.11   -0.36
 1996   -0.26   -0.48   -1.02   -0.22    0.68
 1997    0.74    0.19    1.31    1.37    0.10
 1998    0.63    0.72    1.10    0.13    0.56
 1999    0.27   -0.12    0.13    0.79    0.29
 2000   -0.23    0.09   -0.17   -0.04   -0.81
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN   -0.80   -0.42   -0.61
 2002   -1.12   -0.85   -0.77   -1.18   -1.66
 2003    0.69   -0.17   -0.27    2.04    1.16
 2004    0.28    0.58    0.03    0.37    0.13
 2005   -0.89   -0.70   -0.64   -0.62   -1.60
 2006   -0.16   -0.68   -0.44   -0.05    0.52
