Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual     DJF     MAM     JJA     SON
        129.4   277.2   125.7     1.3   113.5
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual     DJF     MAM     JJA     SON
20th Century Model Run
 1960    0.00    0.94   31.02  -11.95    7.67
 1961    9.86    4.81   22.52  -41.27    8.74
 1962    7.06    2.55   20.17   88.39    2.67
 1963    3.18   -8.20   10.24  -66.61   23.92
 1964   10.77    7.10    7.22  -80.79   24.69
 1965    5.51    3.17    2.66   31.06   14.07
 1966    6.71    1.65   11.85   -2.12   13.49
 1967   -2.94   -3.27    9.22   -6.07  -15.56
 1968    3.60    5.48   -4.17  -67.04    8.40
 1969  -13.11   -3.83  -32.46  -48.65  -13.97
 1970   13.70   12.33   15.95   10.48   14.57
 1971    4.86    3.88   21.19   33.07  -11.15
 1972    3.68   -1.64    1.49  -55.78   19.75
 1973   -8.24   -0.49  -20.23   40.38  -14.40
 1974    2.60   -0.66    0.83   -2.73   12.57
 1975   -2.94   -0.14  -24.70   -8.24   14.38
 1976  -13.75  -10.61  -27.89  -71.68   -5.09
 1977    0.47   -5.20   25.31  217.84  -15.57
 1978   -0.69    0.38   -5.02  -26.02    1.79
 1979   10.55    2.82    7.07   17.05   33.23
 1980   -6.53   -0.95  -14.44  -15.74  -11.28
 1981   -1.46   -1.02   -0.19  -73.38   -3.14
 1982    5.62    4.34    2.47   13.94   12.16
 1983    2.87    5.40  -12.22  -17.62   13.62
 1984   11.59    2.39    5.51  -73.05   41.73
 1985    6.37    0.17   18.50   24.66    7.88
 1986    1.25   -5.60    0.21  -53.54   19.76
 1987   -5.67   -4.73   -8.14   30.58   -5.62
 1988  -14.40   -0.50  -10.25  -48.80  -52.56
 1989    0.77   -1.74   -9.28    4.48   17.99
 1990   -1.97   -4.96  -13.03   68.11   16.82
 1991   -4.09   -1.14   -6.14  -13.38   -8.91
 1992   13.89    4.90   38.13  -32.29    9.52
 1993   -9.30    3.13  -18.84  132.83  -30.67
 1994    2.16    6.27   -4.01  -53.42   -0.42
 1995   -6.93  -11.78   22.32  -18.45  -27.34
 1996    3.49    0.46    4.05  -71.86   11.09
 1997   -8.25   -2.11  -18.97  -76.65  -10.62
 1998   -4.59    4.49   13.15    2.44  -46.49
 1999    4.92    2.32   17.19  116.79   -3.58
 2000     NaN     NaN     NaN     NaN     NaN
Projections under SRES A2 scenario
 2000  -12.82  -14.28    6.62  -51.78    6.32
 2001    5.36    6.78    6.64   40.81    0.07
