Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual     DJF     MAM     JJA     SON
        104.0   296.5    77.3     2.0    40.1
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual     DJF     MAM     JJA     SON
20th Century Model Run
 1960   -1.49    3.24    7.43   49.29  113.18
 1961  -11.34   -2.71  -45.14  -33.24   -8.95
 1962   -1.20   -3.75  -24.87  -30.36   64.65
 1963  -19.06  -27.83    8.02  -47.56   -4.93
 1964   -8.11   -4.52   -5.70  -19.88  -38.74
 1965   -9.43  -14.82    2.33  -37.40    9.07
 1966   -0.06    2.70  -11.62  -41.37    3.82
 1967  -28.68  -12.90  -74.33  -63.50  -55.75
 1968    1.08   -7.18   21.25   36.40   21.59
 1969   -5.42   -3.57  -30.34   77.77   24.84
 1970   -2.90  -13.05   45.21   25.71  -21.97
 1971   -6.24  -12.55   17.29  -24.99   -4.03
 1972   15.07    4.85   66.49  186.63  -16.83
 1973    5.28    3.39   -0.43  151.64   23.05
 1974    2.33    8.48   16.82   -7.78  -70.55
 1975  -11.39   -7.53  -55.58  -85.56   48.90
 1976    5.56    2.39   25.88  -44.00   -7.78
 1977   -5.93    3.26  -40.65  -59.01   -4.36
 1978   -3.83   -3.23    2.68   43.04  -23.10
 1979   -0.57    1.57    6.04  -74.59  -25.47
 1980    2.53    5.93    2.56  -32.40  -20.94
 1981   11.63   10.28   20.43  -56.63    8.00
 1982   14.40   16.58   14.85   -3.80   -1.67
 1983    6.91    2.72   10.15  159.57   24.12
 1984   -0.32   -2.85   -2.75   14.32   22.34
 1985    9.91   10.20   17.88  -71.67   -3.63
 1986  -18.94  -17.30  -42.88  -61.93   17.24
 1987   -5.31   -7.84  -37.55  -37.10   77.07
 1988   -2.82   -3.08   -0.80   19.84   -5.85
 1989   22.52   10.37   23.69    4.11  111.04
 1990   -1.63    1.72   -2.75  -36.43  -22.56
 1991   -4.21    3.27  -46.18   16.87   20.35
 1992   -9.19  -13.67   13.90  -19.44  -20.03
 1993   -1.13    9.71  -31.82  123.10  -28.19
 1994    1.24    3.87  -26.16  -26.47   35.97
 1995  -17.08   -1.67  -57.95  -74.40  -49.47
 1996   -8.18   -0.94  -28.53   28.05  -24.28
 1997    7.29   -6.89   69.77   10.94   -8.49
 1998    1.81    0.10   29.90  -23.90  -38.39
 1999   -6.82   -8.07   -9.52  -43.71    9.47
 2000   -9.21  -26.15   20.94    8.06   57.13
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN   18.38   56.71  -66.41
 2002   -4.50    6.89  -23.69   46.74  -54.32
 2003   11.77    9.82   14.21   62.93   18.95
 2004   -4.89  -13.14   15.03  -37.23   19.24
 2005    9.03    6.66   31.28  -75.60  -12.16
 2006  -10.93   -6.88  -25.16  -61.84  -10.98
 2007    0.46    4.71  -15.96   46.38   -1.55
 2008   -9.61  -12.20   24.78  -45.21  -55.00
 2009  -17.10   -5.46  -64.60  -58.79   -9.54
 2010  -13.70   -2.99  -30.89  -46.10  -58.16
 2011   -3.10  -15.13   32.59  -16.86   17.74
 2012  -11.17  -14.88   -5.43   76.37    0.90
 2013  -11.92  -10.77  -42.67  116.09   32.49
 2014   -4.93    2.29  -25.37   -8.63  -18.80
 2015    9.81   10.63   -0.91  -60.42   27.86
 2016   -1.52   -6.95   49.22  108.14  -64.51
 2017    4.58    9.07   -1.68   68.22  -19.65
 2018   -1.46  -11.48   61.07   83.83  -52.03
 2019  -17.29  -23.70  -15.28   -4.51   25.60
 2020   -7.93   -9.54   -3.64  -83.34   -0.55
 2021   11.11    2.26    3.82  -61.90   94.15
