Frequency of Cold Nights - Observed Data
NaN indicates insufficient data is available
Refer to Accompanying Documentation
Average Climatology 1970-1999
       Annual     DJF     MAM     JJA     SON
         7.84    7.90    7.82    7.53    8.01
Timeseries (% days occurring)
YEAR   Annual     DJF     MAM     JJA     SON
1960    10.90    9.52   15.81    7.54    4.74
1961     7.39    8.72    1.87    9.35    8.49
1962     9.79   12.04   14.79    8.09   10.62
1963    16.41   12.32   19.29   21.22    7.90
1964    18.33   20.27   15.22   23.97   18.86
1965    19.20    6.45   26.45   17.91   15.20
1966     9.41    7.83   14.54    6.75   11.02
1967    10.35   20.88    7.83   10.98   10.18
1968    16.49    3.93   20.75   17.73   14.24
1969     5.21    7.04    2.72    6.99    7.85
1970    11.65   13.82   22.86    4.81    7.58
1971    13.20   17.34    9.89   11.45   14.30
1972    10.96    7.36    6.80   13.15   12.60
1973    10.37   11.90    6.90   12.47   11.74
1974    11.56   13.09   10.80   13.01   13.84
1975    10.74   12.21    8.35    7.74   16.11
1976    11.18    7.84    6.58   17.03    9.80
1977     5.54    3.64    6.99    5.61    4.40
1978     6.30   11.51    5.11    8.36    6.95
1979     8.43   11.54    7.69    6.48    6.35
1980     8.71    5.35    9.57    9.91    5.69
1981    12.23    7.35   17.70   11.90   13.32
1982     6.06    5.43    7.35    5.25    6.59
1983     4.62   12.22    2.33    5.43    5.06
1984     7.74    7.25    9.75    3.39    5.24
1985     7.83    7.04    7.88    9.75    7.33
1986     7.40    8.60    5.16    8.38    6.31
1987     5.56    3.02    5.89    6.14    5.37
1988     5.99    6.16    4.16    4.03    9.53
1989     5.73    6.92    4.87    4.02    9.82
1990     8.20    4.49    7.93    5.27   12.81
1991     7.23    9.60    5.57    7.64    8.35
1992     5.99    7.20    2.71    5.89    5.60
1993     4.87    7.60    4.19    4.43    4.16
1994    10.27    4.85   15.10   10.71    8.09
1995     4.52    3.80    6.06    4.72    3.21
1996     6.64    3.48    6.59    9.01    4.37
1997     5.46    1.83   10.85    1.94    4.45
1998     3.65    6.07    4.99    3.88    2.41
1999     6.58    8.36    4.14    4.06    8.91
2000     5.16    4.87    2.23    5.84    5.13
2001     3.60    5.18    2.13    4.68    4.66
2002     1.14    1.42     NaN    1.97    5.92
2003      NaN     NaN     NaN    0.31    0.27
