Mean Monthly Precipitation (mm) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
YEAR   Annual     DJF     MAM     JJA     SON
1960      NaN     NaN     NaN     NaN     NaN
1961    90.89  238.44  104.66    1.14   68.51
1962   100.91  251.22   93.48    0.94   58.01
1963   101.69  258.49   72.94    0.69   74.66
1964    74.32  217.80   38.77    0.41   40.29
1965    76.76  208.22   51.83    1.04   45.95
1966    83.09  220.78   75.89    3.01   32.67
1967    89.84  202.29   91.65    1.42   64.00
1968    82.67  206.74   70.72    2.18   51.06
1969    99.02  235.93  104.10    0.52   55.52
1970    84.72  222.78   46.11    0.68   69.32
1971    83.51  229.79   51.78    0.32   52.17
1972    79.13  195.95   81.70    0.39   38.46
1973    69.31  173.83   56.75    0.37   46.28
1974    96.59  232.67  101.23    1.21   51.26
1975    83.04  221.34   83.02    0.62   27.18
1976    98.75  226.65  124.65    0.60   43.11
1977    82.91  203.66   78.02    1.14   48.84
1978   106.94  246.90  121.78    0.69   58.39
1979    95.10  219.40   86.06    0.95   74.00
1980    86.47  199.38   90.82    1.14   54.53
1981    85.05  225.62   74.39    1.48   38.70
1982    78.03  174.73   57.04    1.20   79.16
1983    70.06  174.81   60.17    1.52   43.75
1984    78.30  203.20   54.23    1.06   54.70
1985    84.30  224.60   68.40    1.97   42.24
1986    94.45  216.16   89.82    1.10   70.72
1987    69.99  192.00   50.22    0.87   36.88
1988    82.26  204.81   76.41    2.15   45.65
1989    86.39  226.96   79.88    0.67   38.06
1990    77.38  214.11   64.00    0.53   30.89
1991    82.35  207.39   62.45    7.66   51.89
1992    66.30  154.94   63.91    0.52   45.81
1993    90.00  225.67   81.85    1.23   51.26
1994    66.94  192.96   36.94    2.26   35.58
1995    64.93  175.38   45.13    1.30   37.89
1996    75.57  202.06   62.98    0.46   36.77
1997    88.74  225.39   72.52    1.28   55.76
1998    85.77  237.65   64.49    0.51   40.41
1999   114.74  224.86  105.31    1.47  127.30
2000    78.49  184.49   89.12    0.65   39.72
2001    88.56  223.15   79.51    1.60   49.96
2002    78.12  173.81   75.27    0.78   62.63
2003    85.26  213.81   87.78    1.06   38.40
2004    91.74  215.28  103.06    1.39   47.23
2005    72.25  167.19   62.64    3.67   55.51
2006    83.41  206.76   74.97    0.65   51.26
