Mean Temperature (Degrees C) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual     DJF     MAM     JJA     SON
      21.3189      22.1570      20.8623      18.0073      24.2489
Timeseries in Anomalies relative to 1970-1999 mean (degrees C)
 Year  Annual     DJF     MAM     JJA     SON
 1960   -0.38   -0.73   -0.40    0.03   -0.21
 1961   -0.27    0.22    0.33   -0.42    0.17
 1962   -0.26   -0.28   -0.56   -0.10    0.42
 1963   -0.39   -0.73   -0.58    0.48    0.03
 1964   -0.09    0.13    0.24    0.62   -0.50
 1965   -0.54   -0.69   -0.66    0.03    0.10
 1966   -0.14    0.00    0.08    0.04   -0.03
 1967   -0.27   -0.03   -0.19   -0.14   -0.29
 1968   -0.28   -0.29   -0.24   -0.26    0.86
 1969    0.23   -0.15    0.50    0.35    0.35
 1970    0.51    0.06    0.80    0.87    0.32
 1971   -0.17   -0.59    0.21   -0.06   -0.25
 1972    0.01   -0.29    0.18   -0.25    0.40
 1973    0.14    0.85    0.41   -0.39    0.32
 1974   -0.49   -0.79   -0.96   -0.18    0.02
 1975   -0.28   -0.27   -0.04   -0.35   -0.07
 1976   -0.48   -0.57   -0.68   -0.81    0.25
 1977    0.36    0.28   -0.14    0.73    0.71
 1978   -0.28   -0.10   -0.47   -0.19   -0.23
 1979   -0.14   -0.18    0.01   -0.01   -0.38
 1980    0.18    0.17    0.01   -0.08    0.62
 1981   -0.37    0.21   -0.81   -0.52   -0.05
 1982    0.01    0.61    0.15    0.44   -0.77
 1983    0.71    0.76    1.31    0.78    0.20
 1984    0.09   -0.16    0.39    0.12    0.13
 1985   -0.14   -0.15   -0.02   -0.14    0.01
 1986   -0.37   -0.16   -0.05   -0.30   -0.29
 1987    0.79    0.44    1.24    0.39    1.13
 1988    0.56    0.87    0.60    0.79    0.33
 1989   -0.00    0.02   -0.36    0.14    0.76
 1990    0.56    0.21    0.53    1.00    0.51
 1991    0.18    0.36    0.10    0.30    0.21
 1992    0.84    1.48    1.10    0.46    0.67
 1993    0.08    0.06    0.22    0.27    0.13
 1994    0.38    0.22    0.56    0.31    0.81
 1995    1.37    1.10    1.18    1.39    1.81
 1996    0.88    0.49    0.81    0.70    1.55
 1997    0.65    0.57    0.33    1.40    0.59
 1998    1.09    1.12    1.39    1.01    1.46
 1999    0.15    0.19   -0.00    0.89    0.06
 2000    0.71    0.49    0.30    0.43    1.68
 2001    0.79    0.36    0.95    1.10    0.76
 2002    1.08    1.28    0.90    1.48    0.68
 2003    0.74    0.68    0.46    0.71    1.17
 2004    0.56    0.52    0.24    1.13    0.61
 2005    1.71    1.28    1.87    2.21    1.49
 2006    0.50    0.79    0.48    0.61    0.12
