Mean Monthly Precipitation - Observed Records - % Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual     DJF     MAM     JJA     SON
         80.9   206.0    68.9     0.4    48.2
Timeseries in anomalies relative to 1970-1999 mean (%)
YEAR   Annual     DJF     MAM     JJA     SON
1960      NaN     NaN     NaN     NaN     NaN
1961     8.72   13.99   43.24   -8.54   34.59
1962    20.71   20.09   27.93  -24.73   13.97
1963    21.64   23.57   -0.18  -44.60   46.69
1964   -11.10    4.12  -46.93  -67.27  -20.85
1965    -8.18   -0.46  -29.07  -16.33   -9.72
1966    -0.61    5.54    3.86  141.98  -35.82
1967     7.47   -3.30   25.43   14.16   25.74
1968    -1.11   -1.17   -3.21   74.68    0.31
1969    18.44   12.78   42.47  -57.87    9.07
1970     1.34    6.50  -36.90  -45.76   36.19
1971    -0.10    9.85  -29.14  -74.56    2.50
1972    -5.35   -6.33   11.82  -68.61  -24.44
1973   -17.10  -16.90  -22.34  -69.91   -9.08
1974    15.54   11.23   38.54   -2.47    0.70
1975    -0.67    5.81   13.62  -49.85  -46.59
1976    18.12    8.34   70.59  -52.12  -15.31
1977    -0.82   -2.64    6.77   -8.54   -4.04
1978    27.92   18.03   66.67  -44.52   14.72
1979    13.76    4.88   17.78  -23.63   45.38
1980     3.43   -4.69   24.29   -8.80    7.14
1981     1.73    7.85    1.80   18.75  -23.97
1982    -6.66  -16.47  -21.93   -3.44   55.52
1983   -16.19  -16.43  -17.65   22.04  -14.04
1984    -6.34   -2.86  -25.78  -14.65    7.46
1985     0.84    7.37   -6.39   58.27  -17.01
1986    12.98    3.33   22.92  -11.50   38.95
1987   -16.28   -8.22  -31.27  -30.08  -27.54
1988    -1.61   -2.09    4.57   72.94  -10.30
1989     3.34    8.49    9.32  -45.83  -25.22
1990    -7.44    2.35  -12.41  -57.37  -39.31
1991    -1.50   -0.86  -14.53  515.24    1.95
1992   -20.70  -25.94  -12.53  -58.03  -10.00
1993     7.66    7.88   12.02   -1.38    0.70
1994   -19.93   -7.76  -49.44   81.23  -30.10
1995   -22.34  -16.16  -38.24    4.53  -25.55
1996    -9.61   -3.41  -13.80  -63.40  -27.76
1997     6.15    7.75   -0.75    2.88    9.55
1998     2.59   13.61  -11.74  -59.13  -20.60
1999    37.24    7.49   44.13   17.69  150.11
2000    -6.11  -11.81   21.97  -47.80  -21.97
2001     5.93    6.68    8.82   28.29   -1.84
2002    -6.55  -16.91    3.01  -37.19   23.04
2003     1.99    2.21   20.14  -15.11  -24.55
2004     9.74    2.91   41.05   11.55   -7.20
2005   -13.57  -20.08  -14.27  194.48    9.06
2006    -0.23   -1.16    2.60  -47.54    0.70
